match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_totalContest,player_firstName,player_lastName,stat_shotOffTarget,stat_outfielderBlock,stat_expectedGoals,stat_shotValueNormalized,stat_totalCross,stat_challengeLost,stat_wonContest,captain,stat_blockedScoringAttempt,stat_accurateCross,stat_onTargetScoringAttempt,stat_totalOffside,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,player_sofascoreId,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_hitWoodwork,stat_penaltyConceded
14083150,home,Deportivo Alavés,Antonio Sivera,antonio-sivera,A. Sivera,G,1,184.0,563,M,369004,EUR,839721600,G,1,1,False,22.0,8.0,20.0,6.0,0.0,3.0,3.0,5.0,19.0,1.0,4.0,1.0,1.0,90.0,26.0,7.1,14.0,0.00119742,19.96087683046,5.0,11.025,4.62,0.0189,0,0.2157,0.03,0.0,0.15,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Jonny Otto,jonny-otto,J. Otto,D,17,175.0,572,M,235648,EUR,762652800,D,17,17,False,37.0,30.0,3.0,1.0,0.0,14.0,16.0,16.0,21.0,,2.0,,,90.0,62.0,6.9,15.0,0.00404758,156.95090868428,11.0,98.49,23.94,,0,,0.02,0.09,0.35,,1.0,5.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Nahuel Tenaglia,nahuel-tenaglia,N. Tenaglia,D,14,182.0,1025,M,896073,EUR,824860800,D,14,14,False,26.0,23.0,6.0,3.0,0.0,14.0,15.0,9.0,11.0,5.0,2.0,,,90.0,38.0,6.9,6.0,0.101717,156.90073186386,14.0,76.545,14.7,,0,,0.25,0.09,-0.12,,1.0,3.0,3.0,,,1.0,1.0,1.0,2.0,,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Jon Pacheco,jon-pacheco,J. Pacheco,D,5,184.0,537,M,934383,EUR,978912000,D,5,5,False,32.0,29.0,5.0,3.0,0.0,21.0,21.0,8.0,11.0,6.0,7.0,,,90.0,49.0,7.4,3.0,0.012832,99.046140974565,12.0,31.5,14.805,,1,,0.17,-0.02,0.48,,1.0,1.0,4.0,,,3.0,2.0,2.0,,1.0,,1.0,1.0,,,,1.0,1.0,0.0124,-0.16,,,,,,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Victor Parada,victor-parada,V. Parada,D,24,184.0,129,M,985726,EUR,1017878400,D,24,24,False,18.0,13.0,4.0,1.0,0.0,5.0,6.0,8.0,12.0,3.0,4.0,,,90.0,41.0,6.7,12.0,0.00810853,35.651665517944,5.0,10.395,13.545,,0,,0.05,0.06,-0.04,,1.0,7.0,4.0,,,,2.0,1.0,1.0,,3.0,,1.0,2.0,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Ander Guevara,ander-guevara,A. Guevara,M,6,180.0,265,M,891931,EUR,868233600,M,6,6,False,39.0,34.0,4.0,4.0,0.0,18.0,18.0,16.0,21.0,3.0,5.0,,,76.0,52.0,6.8,9.0,0.0195096,47.332572543368,7.0,22.05,11.55,,0,,0.14,0.08,0.26,,2.0,8.0,3.0,1.0,,1.0,2.0,1.0,2.0,,3.0,,1.0,,,,,,,,1.0,2.0,,True,,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Calebe Gonçalves,calebe,Calebe,M,20,173.0,643,M,1046796,EUR,957052800,M,20,20,False,20.0,17.0,1.0,1.0,0.0,6.0,6.0,11.0,14.0,,3.0,,,51.0,36.0,6.8,12.0,0.0166945,61.813876183271,8.0,18.06,20.055,,1,,0.27,0.02,-0.01,,,5.0,4.0,1.0,,,,,2.0,2.0,3.0,,,3.0,Calebe,,,,0.0193,-0.1,3.0,,2.0,,1.0,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Pablo Ibáñez,pablo-ibanez-lumbreras,P. Ibáñez,M,19,179.0,350,M,1084381,EUR,883612800,M,19,19,False,36.0,30.0,2.0,1.0,0.0,9.0,9.0,21.0,27.0,2.0,4.0,,,90.0,58.0,6.6,12.0,0.0347384,110.74660367416,10.0,68.775,38.535,,3,,0.15,0.11,-0.02,,1.0,8.0,5.0,,,2.0,1.0,,2.0,2.0,3.0,1.0,1.0,4.0,,,2.0,1.0,0.1072,-0.35,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Denis Suárez,denis-suarez,D. Suárez,M,4,176.0,1456,M,138383,EUR,757814400,M,4,4,False,35.0,31.0,2.0,1.0,0.0,12.0,13.0,19.0,22.0,,2.0,,,89.0,43.0,6.4,8.0,0.0320779,101.57294614111,12.0,41.16,13.755,,0,,0.12,0.08,-0.12,,,8.0,2.0,,,1.0,1.0,,1.0,1.0,2.0,3.0,,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,
14083150,home,Deportivo Alavés,Abderrahman Rebbach,abderrahman-rebbach,A. Rebbach,M,21,176.0,1315,M,1082968,EUR,902793600,M,21,21,False,14.0,13.0,1.0,1.0,0.0,4.0,4.0,9.0,10.0,1.0,4.0,,,76.0,36.0,7.2,12.0,0.0939946,191.16027895658,15.0,156.135,36.225,,4,,0.29,0.55,-0.12,,,5.0,2.0,1.0,1.0,,,,,2.0,1.0,1.0,,,,,2.0,,0.1684,-0.56,10.0,3.0,,,1.0,1.0,1.0,1.0,0.2696,,,,,,,,
