match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury
14572771,FT,2.0,0.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,
14572771,,,,,90,0.0,,1,,,injuryTime,3.0,,,,,,,,,
14572771,,,,,88,,,3,,,card,,Derry Murkin,Foul,False,124222119.0,False,yellow,946561.0,Derry Murkin,
14572771,,,,,78,,,13,,,substitution,,,,,124974910.0,False,regular,,,False
14572771,,,,,77,,,14,,,substitution,,,,,124974909.0,False,regular,,,False
14572771,,,,,75,,,16,,,substitution,,,,,124974884.0,True,regular,,,False
14572771,,,,,75,,,16,,,substitution,,,,,124974883.0,True,regular,,,False
14572771,,,,,67,,,24,,,substitution,,,,,124974754.0,False,regular,,,False
14572771,,,,,66,,,25,,,substitution,,,,,124974753.0,False,regular,,,False
14572771,,,,,66,,,25,,,substitution,,,,,124974752.0,True,regular,,,False
14572771,,,,,66,,,25,,,substitution,,,,,124974751.0,True,regular,,,False
14572771,,,,,60,,,31,,,substitution,,,,,124974655.0,False,regular,,,False
14572771,,,,,52,,,39,,,substitution,,,,,124974574.0,True,injury,,,True
14572771,HT,2.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,
14572771,,2.0,0.0,,45,,,1,,,goal,,,,,325463864.0,True,regular,171961.0,Vincenzo Grifo,
14572771,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,
14572771,,1.0,0.0,,20,,,26,,,goal,,,,,325462189.0,True,regular,1020422.0,Yuito Suzuki,
