match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_unsuccessfulTouch,stat_wasFouled,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_keyPass,stat_aerialLost,stat_aerialWon,stat_onTargetScoringAttempt,stat_goals,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_challengeLost,stat_interceptionWon,stat_shotOffTarget,stat_goalAssist,player_sofascoreId,stat_bigChanceCreated,stat_blockedScoringAttempt,captain,stat_totalOffside,stat_penaltyConceded,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_outfielderBlock,stat_penaltyWon
11401894,home,PSV Eindhoven,Walter Benítez,,,walter-benitez,W. Benítez,G,44,193,4345,M,249859,EUR,727401600,G,1,1,False,14.0,13.0,5.0,4.0,12.0,12.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,90.0,20.0,6.6,2.0,0.00023187,0,-0.0039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401894,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183,1080,M,825846,EUR,938649600,D,3,3,False,69.0,59.0,7.0,3.0,24.0,27.0,37.0,45.0,4.0,10.0,,,,85.0,88.0,7.6,13.0,0.349204,0,,3.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
11401894,home,PSV Eindhoven,André Ramalho,,,andre-ramalho,A. Ramalho,D,5,182,5374,M,148155,EUR,698198400,D,5,5,False,87.0,74.0,13.0,7.0,30.0,35.0,44.0,52.0,10.0,6.0,,1.0,,90.0,99.0,8.1,13.0,0.0244412,2,,,,3.0,,,,5.0,2.0,1.0,,2.0,7.0,2.0,1.0,1.0,0.0723,0.3897,,,,,,,,,,,,,,,,,
11401894,home,PSV Eindhoven,Olivier Boscagli,,,boscagli-olivier,O. Boscagli,D,21,181,1043,M,788784,EUR,879811200,D,18,18,False,105.0,97.0,14.0,10.0,27.0,30.0,70.0,76.0,6.0,8.0,,1.0,,90.0,120.0,7.8,10.0,0.0813572,1,,1.0,,5.0,,,,3.0,1.0,1.0,2.0,2.0,4.0,1.0,,1.0,0.0193,0.0939,2.0,4.0,,,,,,,,,,,,,,,
11401894,home,PSV Eindhoven,Patrick van Aanholt,,,patrick-van-aanholt,P. v. Aanholt,D,14,175,555,M,74577,EUR,651888000,D,30,30,False,74.0,67.0,4.0,4.0,21.0,24.0,46.0,52.0,2.0,7.0,2.0,1.0,,90.0,99.0,7.4,14.0,0.101787,1,,2.0,,4.0,1.0,,,2.0,1.0,,2.0,1.0,,,,1.0,0.0361,,1.0,,1.0,,,,,,,,,,,,,,
11401894,home,PSV Eindhoven,Jerdy Schouten,,,jerdy-schouten,J. Schouten,M,22,185,1244,M,844234,EUR,853027200,M,22,22,False,75.0,65.0,4.0,3.0,27.0,31.0,38.0,44.0,3.0,11.0,1.0,,,90.0,83.0,7.0,12.0,0.118703,0,,,,2.0,1.0,,,1.0,1.0,1.0,,1.0,2.0,,,1.0,,,,2.0,,,,,,,,,,,,,,,
11401894,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185,3780,M,850816,EUR,911433600,M,23,23,False,76.0,62.0,6.0,3.0,13.0,17.0,53.0,71.0,6.0,3.0,,1.0,,79.0,100.0,8.7,24.0,0.567845,1,,12.0,4.0,3.0,1.0,4.0,3.0,1.0,,,5.0,1.0,2.0,1.0,,,0.0351,0.4543,,1.0,,2.0,,,,,,,,,,,,,
11401894,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179,6820,M,1088896,EUR,1050796800,M,11,11,False,62.0,52.0,2.0,1.0,11.0,11.0,41.0,54.0,5.0,3.0,3.0,,,90.0,83.0,8.6,19.0,0.338503,3,,3.0,,3.0,1.0,7.0,5.0,1.0,,,2.0,,,1.0,1.0,,0.0526,0.3482,,,,1.0,johanbakayoko,1.0,2.0,,,,,,,,,,
11401894,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183,2263,M,845798,EUR,882748800,M,20,20,False,24.0,19.0,,,2.0,2.0,17.0,22.0,1.0,2.0,,,,79.0,30.0,7.3,5.0,0.0393876,4,,,,3.0,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,0.5992,0.3768,,,,,,,3.0,,,,,,,,,,
11401894,home,PSV Eindhoven,Hirving Lozano,,,hirving-lozano,H. Lozano,F,11,175,6578,M,385320,EUR,807062400,M,27,27,False,43.0,34.0,1.0,1.0,3.0,5.0,31.0,41.0,3.0,4.0,2.0,,,68.0,59.0,7.1,18.0,0.134843,3,,3.0,,5.0,2.0,3.0,1.0,,1.0,1.0,2.0,,1.0,,,,0.092,,1.0,1.0,2.0,,hirvinglozano,,1.0,,,,,,,,,,
