match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_dispossessed,stat_bigChanceCreated,stat_keyPass,stat_totalContest,stat_wonContest,stat_outfielderBlock,stat_accurateCross,stat_totalOffside,stat_shotOffTarget,stat_bigChanceMissed,stat_goals,stat_savedShotsFromInsideTheBox,stat_totalKeeperSweeper,stat_blockedScoringAttempt
12764009,home,Roma,Mile Svilar,svilar-mile,M. Svilar,G,99,189,4533,M,793986,EUR,935712000,G,99,99,False,64.0,47.0,26.0,9.0,0.0,41.0,45.0,6.0,19.0,10.0,3.0,1.0,90.0,75.0,6.7,17.0,0.00461832,0,0.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764009,home,Roma,Gianluca Mancini,gianluca-mancini,G. Mancini,D,23,190,4065,M,611210,EUR,829699200,D,23,23,False,80.0,70.0,10.0,2.0,0.0,61.0,61.0,9.0,21.0,2.0,,,90.0,97.0,7.3,13.0,0.00841531,0,,True,2.0,2.0,1.0,7.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,
12764009,home,Roma,Evan Ndicka,evan-ndicka,E. Ndicka,D,5,190,9187,M,848287,EUR,935107200,D,5,5,False,80.0,76.0,4.0,2.0,0.0,64.0,65.0,12.0,15.0,2.0,,,90.0,90.0,7.2,5.0,0.00472938,0,,,,1.0,,6.0,3.0,1.0,4.0,4.0,,1.0,,,,evanndicka,,,,,,,,,,,,,,,,,,,
12764009,home,Roma,Mario Hermoso,mario-hermoso,M. Hermoso,D,22,184,2636,M,353130,EUR,803433600,D,22,22,False,88.0,80.0,5.0,3.0,0.0,61.0,64.0,19.0,24.0,5.0,,,90.0,104.0,7.0,10.0,0.00671149,1,,,,,6.0,2.0,6.0,1.0,2.0,2.0,1.0,,3.0,,,,2.0,1.0,1.0,0.0762,0.0415,,,,,,,,,,,,,,
12764009,home,Roma,Zeki Çelik,zeki-celik,Z. Çelik,D,19,180,2952,M,893008,EUR,856137600,M,19,19,False,26.0,20.0,2.0,2.0,0.0,13.0,16.0,7.0,12.0,1.0,,,71.0,42.0,7.0,12.0,0.0222398,0,,,2.0,,3.0,3.0,,1.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,,1.0,1.0,1.0,,,,,,,,,,,
12764009,home,Roma,Manu Koné,manu-kone,M. Koné,M,17,186,6978,M,974087,EUR,990057600,M,17,17,False,43.0,38.0,3.0,2.0,0.0,20.0,21.0,18.0,22.0,5.0,,,81.0,58.0,6.9,7.0,0.0114047,0,,,,3.0,6.0,10.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,,,,1.0,,,,,,,,2.0,1.0,,,,,,,,,
12764009,home,Roma,Bryan Cristante,bryan-cristante,B. Cristante,M,4,186,2776,M,186855,EUR,794188800,M,4,4,False,69.0,59.0,5.0,1.0,0.0,37.0,39.0,22.0,30.0,2.0,,,90.0,83.0,7.2,10.0,0.0242783,0,,,,7.0,5.0,8.0,2.0,4.0,1.0,,,,,,,,5.0,,,,,,,1.0,,,1.0,,,,,,,,
12764009,home,Roma,Tommaso Baldanzi,tommaso-baldanzi,T. Baldanzi,M,8,170,2283,M,1012172,EUR,1048377600,M,35,35,False,16.0,15.0,2.0,2.0,0.0,3.0,3.0,12.0,13.0,2.0,,,63.0,29.0,6.5,8.0,0.0413608,0,,,,1.0,6.0,4.0,,1.0,1.0,1.0,2.0,2.0,1.0,,,,,,,,,1.0,,,4.0,,,,,,,,,,
12764009,home,Roma,Angeliño,angelino,Angeliño,M,3,171,3334,M,848355,EUR,852336000,M,3,3,False,39.0,33.0,6.0,3.0,1.0,13.0,13.0,22.0,30.0,3.0,,,90.0,67.0,7.4,12.0,0.166058,0,,,4.0,,4.0,2.0,3.0,1.0,2.0,1.0,1.0,,,,,,3.0,,,,,,1.0,1.0,1.0,,1.0,2.0,2.0,,,,,,
12764009,home,Roma,Paulo Dybala,paulo-dybala,P. Dybala,F,21,177,117206,M,256219,EUR,753321600,F,21,21,False,24.0,21.0,3.0,2.0,0.0,6.0,6.0,15.0,18.0,,,,45.0,31.0,6.7,6.0,0.0157638,1,,,,,3.0,1.0,,,,,,1.0,,,,LaJoya,1.0,,,0.0979,,2.0,,,,,,,,1.0,,,,,
