match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_dispossessed,stat_totalContest,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_fouls,stat_challengeLost,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_totalOffside,stat_wonContest,stat_hitWoodwork,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_clearanceOffLine
10385608,home,Newcastle United,Nick Pope,,,nick-pope,N. Pope,G,1,198,4628,M,npope29,162653,EUR,703641600,G,22,22,False,9.0,7.0,3.0,1.0,7.0,7.0,2.0,3.0,9.0,5.0,9.0,2.0,90.0,29.0,9.0,3.0,0.0,0.0,0.00042544,0,1.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385608,home,Newcastle United,Kieran Trippier,,,kieran-trippier,K. Trippier,D,2,174,8369,M,ktrippier2,69256,EUR,653702400,D,2,2,False,37.0,28.0,9.0,4.0,12.0,12.0,40.0,2.0,9.0,,,,90.0,68.0,8.6,17.0,0.0743,0.0,0.558016,1,,True,24.0,15.0,8.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,2.0,6.0,,,,,,,,,,,,,,,
10385608,home,Newcastle United,Fabian Schär,,,fabian-schar,F. Schär,D,5,186,3172,M,,101882,EUR,693187200,D,5,5,False,51.0,38.0,12.0,5.0,27.0,30.0,21.0,4.0,8.0,,,,90.0,71.0,7.6,15.0,0.2757,0.0,0.0327322,3,,,11.0,,,2.0,5.0,5.0,7.0,,1.0,3.0,2.0,1.0,,,1.0,1.0,1.0,2.0,3.0,1.0,,,,,,,,,
10385608,home,Newcastle United,Sven Botman,,,sven-botman,S. Botman,D,4,193,3377,M,,910046,EUR,947635200,D,4,4,False,49.0,44.0,10.0,6.0,31.0,32.0,17.0,2.0,2.0,,,,90.0,62.0,7.2,5.0,0.2073,0.0482,0.00860118,2,,,13.0,,,,1.0,2.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,
10385608,home,Newcastle United,Matt Targett,,,matt-targett,M. Targett,D,3,183,816,M,,368134,EUR,811382400,D,13,13,False,38.0,29.0,4.0,2.0,15.0,17.0,30.0,,6.0,,,,79.0,58.0,6.9,18.0,0.0,0.0,0.0835436,0,,,15.0,9.0,1.0,3.0,1.0,7.0,3.0,,,3.0,2.0,,,1.0,1.0,,,,,2.0,1.0,,,,,,,,
10385608,home,Newcastle United,Joe Willock,,,joe-willock,J. Willock,M,28,186,2651,M,,888550,EUR,935107200,M,28,28,False,19.0,15.0,2.0,1.0,7.0,9.0,12.0,,3.0,,,,90.0,35.0,6.4,11.0,0.4495,0.2141,0.0136961,2,,,8.0,2.0,,1.0,,7.0,2.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,3.0,,1.0,2.0,1.0,,,,,
10385608,home,Newcastle United,Sean Longstaff,,,sean-longstaff,S. Longstaff,M,8,187,1652,M,,866191,EUR,878169600,M,36,36,False,34.0,31.0,3.0,3.0,15.0,16.0,18.0,2.0,4.0,,,,90.0,52.0,7.1,8.0,0.1541,0.0363,0.0524584,2,,,16.0,,,,2.0,6.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,,,,1.0,3.0,2.0,1.0,2.0,,,,,,
10385608,home,Newcastle United,Joelinton,,,joelinton,Joelinton,M,7,186,10098,M,joelinton34,560128,EUR,839980800,M,7,7,False,50.0,38.0,2.0,,10.0,10.0,40.0,2.0,9.0,,,,90.0,81.0,6.8,25.0,0.6803,0.0,0.0679432,3,,,28.0,,,2.0,1.0,13.0,6.0,,1.0,1.0,4.0,3.0,,2.0,4.0,2.0,,1.0,,3.0,3.0,1.0,7.0,,1.0,,,,
10385608,home,Newcastle United,Miguel Almirón,,,miguel-almiron,M. Almirón,M,10,174,8461,M,miguel_almiron,333373,EUR,760838400,F,24,24,False,21.0,18.0,,,5.0,6.0,19.0,,4.0,,,,70.0,41.0,6.8,12.0,0.1808,0.0,0.0531213,3,,,13.0,4.0,,,,1.0,4.0,,1.0,,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,,,,3.0,,2.0,1.0,,,
10385608,home,Newcastle United,Alexander Isak,,,alexander-isak,A. Isak,F,9,193,100485,M,AlexIsak,823941,EUR,937872000,F,14,14,False,9.0,5.0,,,,,9.0,1.0,2.0,,,,89.0,21.0,6.0,7.0,0.762,0.8122,0.0445598,3,,,5.0,,,4.0,1.0,9.0,3.0,,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,2.0,,2.0,,1.0,,,,,
