match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_fouls,stat_aerialWon,stat_challengeLost,stat_outfielderBlock,stat_dispossessed,stat_blockedScoringAttempt,stat_wonTackle,stat_unsuccessfulTouch,stat_penaltyWon,captain,stat_onTargetScoringAttempt,stat_keyPass,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_goals,stat_shotOffTarget,stat_totalOffside,stat_penaltyFaced,stat_punches,stat_penaltyConceded,player_sofascoreId,stat_goalAssist,stat_hitWoodwork
10389791,home,Clermont Foot,Mory Diaw,mory-diaw,M. Diaw,G,99,197,3450,M,580226,EUR,740707200,G,99,99,False,36.0,25.0,20.0,9.0,20.0,21.0,5.0,15.0,2.0,1.0,13.0,2.0,1.0,2.0,3.0,90.0,49.0,6.8,12.0,0.0,0.0,0.00202545,0,-0.2712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389791,home,Clermont Foot,Alidu Seidu,alidu-seidu,A. Seidu,D,36,173,2225,M,1049515,EUR,960076800,D,36,36,False,50.0,40.0,9.0,3.0,34.0,37.0,6.0,13.0,6.0,2.0,7.0,2.0,,,,90.0,71.0,6.7,15.0,0.0,0.0,0.00976019,0,,Alidu Seidu,,2.0,3.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10389791,home,Clermont Foot,Mateusz Wieteska,mateusz-wieteska,M. Wieteska,D,4,187,1515,M,286087,EUR,855619200,D,4,4,False,35.0,28.0,1.0,,24.0,28.0,4.0,7.0,8.0,3.0,1.0,1.0,,,,70.0,44.0,6.8,7.0,0.0,0.0,0.00154353,0,,,,1.0,,,1.0,1.0,,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10389791,home,Clermont Foot,Maximiliano Caufriez,maximiliano-caufriez,M. Caufriez,D,5,189,161,M,800349,EUR,856051200,D,5,5,False,42.0,40.0,,,33.0,35.0,7.0,7.0,3.0,3.0,10.0,2.0,,,,90.0,56.0,6.5,5.0,0.0442,0.0,0.00132556,1,,,,4.0,2.0,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10389791,home,Clermont Foot,Neto Borges,neto-borges,N. Borges,D,21,183,239,M,920008,EUR,842572800,D,3,3,False,24.0,14.0,2.0,,7.0,13.0,7.0,11.0,4.0,,2.0,3.0,,,,47.0,40.0,5.6,16.0,0.0,0.0,0.0169387,0,,,,2.0,2.0,1.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
10389791,home,Clermont Foot,Maxime Gonalons,maxime-gonalons,M. Gonalons,M,,186,154,M,82555,EUR,605491200,M,12,12,False,54.0,50.0,5.0,5.0,30.0,32.0,20.0,22.0,2.0,,5.0,,,,,90.0,67.0,6.7,8.0,0.0579,0.0204,0.0503087,1,,,,9.0,3.0,2.0,1.0,,3.0,,4.0,,1.0,,,2.0,,True,1.0,2.0,,,,,,,,,,,,
10389791,home,Clermont Foot,Johan Gastien,johan-gastien,J. Gastien,M,25,179,44,M,216222,EUR,570067200,M,25,25,False,58.0,48.0,7.0,4.0,28.0,31.0,22.0,35.0,4.0,1.0,5.0,,,,,90.0,80.0,7.2,20.0,0.0,0.0,0.236473,0,,,,5.0,1.0,,2.0,4.0,,,2.0,,1.0,,4.0,1.0,,,,1.0,8.0,2.0,1.0,,,,,,,,,
10389791,home,Clermont Foot,Jim Allevinah,jim-allevinah,J. Allevinah,M,18,172,920,M,988632,EUR,793843200,M,11,11,False,34.0,28.0,3.0,1.0,16.0,18.0,12.0,16.0,2.0,2.0,5.0,,,,,89.0,54.0,6.3,14.0,0.0368,0.2684,0.10648,1,,,,7.0,5.0,1.0,1.0,1.0,1.0,,1.0,,,,1.0,3.0,,,1.0,,,,1.0,,,,,,,,,
10389791,home,Clermont Foot,Muhammed-Cham Saračević,muhammed-cham-saracevic,M. Cham-Saračević,M,10,180,998,M,958901,EUR,969926400,M,70,70,False,37.0,33.0,,,19.0,20.0,14.0,18.0,3.0,,4.0,,,,,65.0,48.0,6.9,8.0,0.9023,0.9546,0.0462869,3,,,,5.0,2.0,,,3.0,,,1.0,,1.0,2.0,2.0,,,,1.0,,1.0,,1.0,1.0,,,,,,,,
10389791,home,Clermont Foot,Elbasan Rashani,elbasan-rashani,E. Rashani,F,11,181,221,M,113409,EUR,736905600,M,18,18,False,26.0,25.0,,,16.0,16.0,9.0,10.0,3.0,,4.0,1.0,,,,70.0,36.0,6.6,5.0,0.0,0.0,0.0881162,0,,,,6.0,1.0,1.0,2.0,1.0,3.0,,1.0,,1.0,,1.0,3.0,,,,1.0,,,2.0,,,,,,,,,
