match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,captain,stat_totalContest,stat_shotOffTarget,stat_totalClearance,stat_expectedGoals,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_challengeLost,stat_dispossessed,stat_wonContest,stat_blockedScoringAttempt,stat_keyPass,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_outfielderBlock
11540868,home,Beşiktaş JK,Mert Günok,mert-gunok,M. Günok,G,34,196,4070,M,39573,EUR,604713600,G,34,34,False,21.0,11.0,13.0,3.0,0.0,9.0,10.0,2.0,11.0,6.0,1.0,3.0,90.0,28.0,6.3,10.0,0.0003082,0,-0.3191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11540868,home,Beşiktaş JK,Jonas Svensson,jonas-svensson,J. Svensson,D,71,170,1475,M,98199,EUR,731376000,D,2,2,False,48.0,43.0,2.0,1.0,0.0,13.0,14.0,31.0,36.0,3.0,,,90.0,79.0,7.7,11.0,0.116388,0,,2.0,1.0,2.0,2.0,5.0,12.0,2.0,9.0,7.0,5.0,1.0,4.0,,,,,,,,,,,,,,,,,,,,,
11540868,home,Beşiktaş JK,Necip Uysal,necip-uysal,N. Uysal,D,20,180,1751,M,43394,EUR,664675200,D,20,20,False,54.0,46.0,5.0,2.0,0.0,26.0,29.0,20.0,25.0,2.0,,,90.0,65.0,6.4,11.0,0.0105451,1,,,,6.0,3.0,8.0,4.0,1.0,1.0,1.0,2.0,,1.0,True,1.0,1.0,2.0,0.0847,,,,,,,,,,,,,,,,
11540868,home,Beşiktaş JK,Omar Colley,omar-colley,O. Colley,D,15,190,966,M,238408,EUR,719798400,D,6,6,False,38.0,35.0,2.0,1.0,0.0,18.0,19.0,17.0,19.0,3.0,,,45.0,42.0,7.2,3.0,0.0600273,2,,,,,1.0,2.0,1.0,1.0,,,,,2.0,,,1.0,1.0,0.3656,,,1.0,1.0,,,,,,,,,,,,
11540868,home,Beşiktaş JK,Serkan Emrecan Terzi,serkan-emrecan-terzi,S. E. Terzi,D,3,177,716,M,1142614,EUR,1073260800,D,79,79,False,39.0,30.0,4.0,,0.0,11.0,12.0,19.0,29.0,4.0,,,90.0,54.0,6.5,14.0,0.0256494,0,,2.0,,1.0,1.0,6.0,4.0,,2.0,2.0,,1.0,1.0,,2.0,,,,,,,,2.0,,,,,,,,,,,
11540868,home,Beşiktaş JK,Salih Uçan,salih-ucan,S. Uçan,M,8,182,1367,M,135695,EUR,757814400,M,8,8,False,58.0,52.0,8.0,7.0,0.0,25.0,25.0,28.0,34.0,3.0,,,64.0,70.0,7.4,11.0,0.162601,2,,1.0,1.0,,2.0,5.0,3.0,,,,2.0,,2.0,,2.0,,2.0,0.0393,,,,,1.0,1.0,1.0,2.0,2.0,,,,,,,
11540868,home,Beşiktaş JK,Milot Rashica,milot-rashica,M. Rashica,M,7,177,3712,M,800411,EUR,835920000,M,11,11,False,35.0,27.0,5.0,2.0,0.0,6.0,7.0,23.0,34.0,4.0,,,90.0,57.0,7.9,16.0,0.100613,5,,6.0,2.0,3.0,1.0,4.0,3.0,,1.0,,3.0,1.0,,,1.0,2.0,,0.4407,,,2.0,1.0,,,,1.0,2.0,MRashica,,,,,,
11540868,home,Beşiktaş JK,Rachid Ghezzal,rachid-ghezzal,R. Ghezzal,M,18,182,3146,M,123228,EUR,705369600,M,18,18,False,47.0,44.0,9.0,9.0,1.0,7.0,7.0,41.0,49.0,2.0,,,86.0,67.0,8.6,9.0,0.880159,2,,9.0,4.0,,,1.0,4.0,,1.0,,1.0,3.0,1.0,,,1.0,,0.0675,,,,,,,,1.0,7.0,,1.0,1.0,,,,
11540868,home,Beşiktaş JK,Ernest Muçi,ernest-muci,E. Muçi,M,10,180,5691,M,924670,EUR,984960000,M,23,23,False,68.0,62.0,3.0,3.0,0.0,32.0,33.0,30.0,36.0,7.0,,,90.0,84.0,7.2,12.0,0.070701,3,,1.0,,,,5.0,3.0,1.0,,,3.0,2.0,1.0,,2.0,,1.0,0.1924,,,2.0,,2.0,1.0,1.0,1.0,1.0,ernest_muci,,,,,,
11540868,home,Beşiktaş JK,Semih Kılıçsoy,semih-kilicsoy,S. Kilicsoy,F,9,178,11924,M,1142606,EUR,1124064000,M,90,90,False,19.0,15.0,1.0,1.0,0.0,4.0,4.0,11.0,16.0,4.0,,,90.0,42.0,7.0,14.0,0.0415062,3,,1.0,,3.0,1.0,14.0,9.0,,2.0,,2.0,2.0,3.0,,8.0,,,0.1247,,,1.0,,2.0,2.0,4.0,2.0,2.0,semihkilicsoy9,1.0,,,,,
11540868,home,Beşiktaş JK,Jackson Muleka,jackson-muleka,J. Muleka,F,40,180,3687,M,927649,EUR,938995200,F,40,40,False,11.0,9.0,1.0,,0.0,2.0,2.0,7.0,9.0,1.0,,,64.0,19.0,6.8,3.0,0.0149801,3,,,,5.0,1.0,6.0,3.0,,1.0,1.0,,,1.0,,1.0,1.0,,0.3116,,,1.0,,,1.0,1.0,1.0,2.0,,,,1.0,,,
11540868,home,Beşiktaş JK,Joe Worrall,joe-worrall,J. Worrall,D,4,193,315,M,838399,EUR,852854400,D,17,17,True,34.0,26.0,5.0,2.0,0.0,13.0,17.0,13.0,17.0,5.0,,,45.0,38.0,7.2,8.0,0.00442128,2,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,0.2035,,,1.0,1.0,,,,,,,,,,,,
11540868,home,Beşiktaş JK,Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,A. Oxlade-Chamberlain,M,21,180,3255,M,10577,EUR,745372800,M,15,15,True,29.0,26.0,6.0,5.0,0.0,10.0,10.0,16.0,20.0,1.0,,,26.0,33.0,6.6,7.0,0.112616,0,,1.0,,1.0,,3.0,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,AlexOxChambo,,,,,,
11540868,home,Beşiktaş JK,Cenk Tosun,cenk-tosun,C. Tosun,F,23,183,2904,M,72127,EUR,676252800,F,9,9,True,3.0,1.0,,,0.0,1.0,1.0,,2.0,,,,26.0,6.0,6.2,2.0,3.78e-05,2,,,,,,,1.0,,,,,,,,1.0,1.0,,0.2448,,,,,,,1.0,1.0,,,,,,1.0,,
