match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_totalTackle,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_wonTackle,stat_outfielderBlock,stat_wasFouled,stat_shotOffTarget,stat_unsuccessfulTouch,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_fouls,stat_totalOffside,stat_keyPass,player_firstName,player_lastName,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_dispossessed,stat_goals,stat_savedShotsFromInsideTheBox,player_sofascoreId,stat_blockedScoringAttempt,stat_clearanceOffLine,stat_hitWoodwork
11067339,home,Fortaleza,Fernando Miguel,fernando-miguel,F. Miguel,G,16,191,318,M,358418,EUR,476150400,G,16,16,False,21.0,8.0,17.0,4.0,4.0,5.0,4.0,16.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,90.0,27.0,6.2,14.0,0.0,0.0,0.00089993,0,-0.1324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067339,home,Fortaleza,Tinga,tinga,Tinga,D,2,179,424,M,330057,EUR,746841600,D,2,2,False,24.0,17.0,2.0,2.0,7.0,10.0,10.0,14.0,2.0,7.0,4.0,1.0,4.0,,,90.0,44.0,6.6,10.0,0.0,0.0,0.00753693,0,,True,2.0,5.0,3.0,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,
11067339,home,Fortaleza,Emanuel Brítez,emanuel-britez,E. Brítez,D,33,178,532,M,789395,EUR,701568000,D,19,19,False,21.0,16.0,4.0,2.0,10.0,13.0,6.0,8.0,,2.0,2.0,6.0,1.0,,,90.0,30.0,5.9,5.0,0.0,0.0,0.00157342,0,,,1.0,5.0,4.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
11067339,home,Fortaleza,Titi,titi,Titi,D,4,187,324,M,243435,EUR,574128000,D,4,4,False,20.0,17.0,2.0,,12.0,13.0,5.0,7.0,3.0,7.0,7.0,2.0,2.0,,,90.0,37.0,7.0,4.0,0.1072,0.0,0.0009759,1,,,,,,,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
11067339,home,Fortaleza,Bruno Pacheco,bruno-pacheco,B. Pacheco,D,91,174,374,M,870691,EUR,692150400,D,6,6,False,25.0,20.0,5.0,3.0,6.0,8.0,16.0,20.0,1.0,10.0,3.0,8.0,5.0,,,90.0,50.0,8.3,11.0,0.0,0.0,0.270694,0,,,1.0,2.0,,3.0,3.0,2.0,3.0,1.0,1.0,,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,,,,
11067339,home,Fortaleza,Calebe Gonçalves,calebe,Calebe,M,20,173,641,M,1046796,EUR,957052800,M,27,27,False,13.0,12.0,2.0,2.0,5.0,5.0,8.0,11.0,,5.0,,3.0,3.0,,,74.0,30.0,6.6,8.0,0.327,0.3871,0.106315,2,,,1.0,6.0,3.0,3.0,1.0,,1.0,,1.0,,3.0,,3.0,1.0,,,,1.0,Calebe,,1.0,2.0,,,,,,,
11067339,home,Fortaleza,Hércules,hercules,Hércules,M,35,178,3079,M,1104068,EUR,972000000,M,35,35,False,22.0,18.0,3.0,,10.0,12.0,8.0,10.0,,10.0,,8.0,7.0,,,90.0,43.0,7.3,11.0,0.8277,0.9133,0.00867093,1,,,2.0,10.0,4.0,3.0,1.0,,5.0,,2.0,,3.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,
11067339,home,Fortaleza,Caio Alexandre,caio-alexandre,C. Alexandre,M,19,174,1777,M,1008832,EUR,919814400,M,8,8,False,37.0,34.0,4.0,4.0,14.0,15.0,20.0,23.0,,4.0,,7.0,3.0,,,85.0,49.0,6.8,7.0,0.0,0.0,0.0459877,0,,,,6.0,2.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,,2.0,,,,,,
11067339,home,Fortaleza,Moisés,moises,Moisés,M,21,177,1067,M,1046501,EUR,841622400,M,21,21,False,19.0,15.0,1.0,1.0,3.0,4.0,12.0,15.0,3.0,9.0,,4.0,1.0,,,84.0,41.0,9.1,10.0,1.6523,3.1032,0.0955581,8,,,3.0,9.0,2.0,6.0,5.0,1.0,1.0,,1.0,1.0,3.0,,,,2.0,1.0,,2.0,Moisés,,2.0,7.0,2.0,2.0,,,,,
11067339,home,Fortaleza,Tomás Pochettino,tomas-pochettino,T. Pochettino,M,7,178,994,M,824626,EUR,823132800,F,7,7,False,14.0,11.0,,,3.0,4.0,10.0,15.0,,1.0,1.0,1.0,,,,74.0,23.0,7.3,6.0,0.0417,0.1667,0.616832,1,,,1.0,2.0,1.0,,,,,,1.0,,,,5.0,2.0,2.0,,,3.0,,,,1.0,,,,,,,
