match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,stat_keyPass,stat_shotValueNormalized,stat_aerialWon,stat_interceptionWon,stat_errorLeadToAShot,stat_penaltyConceded,stat_challengeLost,stat_bigChanceMissed,stat_shotOffTarget,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_dispossessed,stat_hitWoodwork,stat_goals,stat_bigChanceCreated,stat_totalOffside,player_sofascoreId,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_keeperSaveValue,stat_goalkeeperValueNormalized,stat_errorLeadToAGoal,stat_penaltyWon
13981656,home,Lecce,Wladimiro Falcone,,,wladimiro-falcone,W. Falcone,G,30,195,839,M,256667,EUR,797644800,G,30,30,False,True,43.0,22.0,31.0,10.0,0.0,12.0,15.0,10.0,28.0,11.0,1.0,2.0,2.0,90.0,46.0,6.4,22.0,0.0028277,83.395550139475,11.0,38.358808973305,0.0,0,-0.215,0.08,0.01,-0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13981656,home,Lecce,Danilo Veiga,,,danilo-veiga,D. Veiga,D,17,183,380,M,1002045,EUR,1032912000,D,17,17,False,,24.0,18.0,3.0,1.0,0.0,7.0,8.0,11.0,16.0,5.0,,,,90.0,46.0,7.0,9.0,0.122518,119.79405483864,11.0,43.997588722851,1.0,1,,0.22,0.17,-0.05,2.0,1.0,2.0,4.0,6.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0411,0.1134,9.1946083279147,12.68325388061,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
13981656,home,Lecce,Kialonda Gaspar,Kialonda Gaspar,,kialonda-gaspar,K. Gaspar,D,4,193,1228,M,1090374,EUR,875318400,D,4,4,False,,36.0,23.0,5.0,1.0,0.0,20.0,24.0,3.0,12.0,1.0,,,,90.0,53.0,5.7,14.0,0.00127302,76.342484164748,9.0,31.89199980512,0.0,0,,-0.13,0.03,-0.51,,,3.0,5.0,5.0,,8.0,,,,1.0,3.0,2.0,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
13981656,home,Lecce,Tiago Gabriel,Tiago Gabriel,,tiago-gabriel,T. Gabriel,D,44,194,1285,M,1651825,EUR,1104019200,D,44,44,False,,38.0,34.0,2.0,1.0,0.0,20.0,23.0,14.0,15.0,5.0,,,,90.0,60.0,7.0,4.0,0.00625499,125.59808478294,15.0,52.876515373984,1.0,1,,0.12,0.07,-0.17,,,1.0,3.0,10.0,,11.0,,2.0,1.0,,3.0,,0.262,,30.633286199342,37.544230994921,,-0.52,5.0,3.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
13981656,home,Lecce,Antonino Gallo,,,antonino-gallo,A. Gallo,D,25,183,673,M,945616,EUR,947030400,D,25,25,False,,55.0,42.0,10.0,4.0,0.0,17.0,20.0,25.0,35.0,7.0,,,,90.0,97.0,7.2,22.0,0.224615,164.02018407727,17.0,86.228032113533,5.0,1,,0.46,0.09,-0.22,7.0,5.0,,3.0,6.0,,5.0,,2.0,1.0,1.0,2.0,,0.0423,,22.972915808289,99.441906771671,2.0,0.01,1.0,1.0,1.0,,,,,4.0,1.0,1.0,,,,,,,,,,,,,,
13981656,home,Lecce,Ylber Ramadani,,,ylber-ramadani,Y. Ramadani,M,20,185,1041,M,841977,EUR,829267200,M,20,20,False,,47.0,35.0,10.0,2.0,0.0,11.0,12.0,24.0,35.0,6.0,,,,90.0,64.0,6.6,16.0,0.0602809,103.00917047094,14.0,41.717257826265,1.0,3,,0.2,0.22,-0.17,2.0,,2.0,6.0,5.0,1.0,1.0,,3.0,3.0,2.0,1.0,,0.0671,0.0276,9.9668020993613,12.056882225518,1.0,-0.28,1.0,,,,4.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,
13981656,home,Lecce,Lassana Coulibaly,,,coulibaly-lassana,L. Coulibaly,M,29,183,2761,M,804621,EUR,829094400,M,29,29,False,,35.0,25.0,5.0,1.0,0.0,8.0,11.0,17.0,24.0,5.0,,,,90.0,45.0,6.7,11.0,0.0201994,49.440906674295,7.0,21.506298452959,0.0,2,,0.06,0.1,-0.09,,,1.0,2.0,7.0,1.0,,,2.0,1.0,1.0,2.0,,0.1263,0.2596,,,1.0,-0.37,3.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
13981656,home,Lecce,Santiago Pierotti,,,santiago-pierotti,S. Pierotti,F,50,189,760,M,984998,EUR,986256000,M,50,50,False,,13.0,7.0,1.0,,0.0,3.0,3.0,4.0,10.0,6.0,,,,68.0,23.0,6.2,9.0,0.00450658,60.58199629153,7.0,2.1430377107761,0.0,0,,-0.15,0.08,-0.11,,,3.0,8.0,4.0,,,,2.0,2.0,1.0,,1.0,,,,,,,2.0,,,,2.0,,,1.0,,,1.0,,,,,,,,,,,,,
13981656,home,Lecce,Omri Gandelman,Omri Gandelman,,omri-gandelman,O. Gandelman,M,16,188,964,M,1019125,EUR,958435200,M,16,16,False,,23.0,15.0,2.0,1.0,0.0,3.0,6.0,12.0,17.0,2.0,,,,89.0,36.0,7.3,14.0,0.0109251,23.033278443777,4.0,-2.6334030244812,0.0,3,,0.12,-0.04,-0.03,1.0,,8.0,12.0,7.0,1.0,,,1.0,1.0,2.0,1.0,1.0,0.4968,0.6352,,,,0.51,5.0,,,,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,
13981656,home,Lecce,Riccardo Sottil,,,riccardo-sottil,R. Sottil,M,23,180,1381,M,893640,EUR,928368000,M,23,23,False,,22.0,18.0,3.0,1.0,0.0,2.0,3.0,16.0,19.0,2.0,,,,77.0,46.0,6.8,21.0,0.40384,253.27512374067,18.0,145.35234978244,6.0,1,,0.42,0.31,-0.13,13.0,2.0,,6.0,1.0,,,,,,2.0,,1.0,0.066,,30.066394128116,123.69780798763,3.0,0.0,,,,,1.0,,1.0,4.0,1.0,,1.0,,,2.0,1.0,,,,,,,,,
