match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_unsuccessfulTouch,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_challengeLost,stat_outfielderBlock,player_firstName,player_lastName,stat_shotOffTarget,player_sofascoreId,stat_totalCross,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_clearanceOffLine,captain,stat_aerialLost,stat_goals,stat_keyPass,stat_goalAssist,stat_accurateCross,stat_bigChanceCreated,stat_errorLeadToAShot,stat_totalOffside,stat_lastManTackle,stat_blockedScoringAttempt
10389870,home,Toulouse,Maxime Dupé,maxime-dupe,M. Dupé,G,31,186,170,M,96542,EUR,731203200,G,30,30,False,25.0,16.0,18.0,9.0,11.0,12.0,5.0,13.0,2.0,10.0,1.0,2.0,3.0,3.0,1.0,90.0,41.0,6.7,10.0,0.0,0.0,0.00087349,0,-0.2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389870,home,Toulouse,Mikkel Desler,mikkel-desler,M. Desler,D,3,187,109,M,226958,EUR,793152000,D,3,3,False,20.0,18.0,,,11.0,12.0,7.0,8.0,,2.0,3.0,,,,,60.0,46.0,5.5,10.0,0.0,0.0,0.00303666,0,,1.0,7.0,6.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,
10389870,home,Toulouse,Anthony Rouault,anthony-rouault,A. Rouault,D,24,186,600,M,991479,EUR,991094400,D,4,4,False,34.0,31.0,3.0,1.0,25.0,27.0,6.0,7.0,7.0,7.0,,,,,,90.0,50.0,7.0,3.0,0.0,0.0,0.0028237,0,,3.0,2.0,6.0,,,,1.0,2.0,1.0,1.0,,2.0,3.0,,,,,,,,,,,,,,,,,,,
10389870,home,Toulouse,Rasmus Nicolaisen,rasmus-nicolaisen,R. Nicolaisen,D,2,190,261,M,798124,EUR,858470400,D,2,2,False,35.0,26.0,8.0,5.0,19.0,24.0,7.0,11.0,12.0,5.0,,,,,,90.0,55.0,7.4,9.0,0.1967,0.0,0.00384008,1,,4.0,,5.0,,,,2.0,1.0,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,
10389870,home,Toulouse,Issiaga Sylla,issiaga-sylla,I. Sylla,D,4,180,3382,M,291695,EUR,757382400,D,12,12,False,38.0,28.0,2.0,2.0,9.0,14.0,19.0,25.0,3.0,9.0,2.0,,,,,90.0,71.0,7.0,18.0,0.061,0.1135,0.0369655,2,,1.0,5.0,1.0,3.0,1.0,,4.0,,,,1.0,,1.0,Issiaga,Sylla,1.0,ISylla,1.0,1.0,1.0,1.0,,,,,,,,,,,
10389870,home,Toulouse,Brecht Dejaegere,brecht-dejaegere,B. Dejaegere,M,19,174,153,M,122859,EUR,675475200,M,10,10,False,19.0,17.0,,,8.0,8.0,9.0,11.0,,,,,,,,63.0,31.0,7.5,3.0,0.1835,0.7182,0.0887571,2,,1.0,4.0,3.0,,1.0,,1.0,1.0,1.0,1.0,2.0,,1.0,,,1.0,,,,1.0,,True,1.0,1.0,1.0,,,,,,,
10389870,home,Toulouse,Stijn Spierings,spierings-stijn,S. Spierings,M,6,189,224,M,788977,EUR,826588800,M,17,17,False,51.0,43.0,8.0,6.0,23.0,27.0,20.0,24.0,,13.0,2.0,,,,,90.0,64.0,7.3,12.0,0.5803,0.7721,0.0408814,3,,,7.0,2.0,2.0,1.0,1.0,1.0,,,1.0,5.0,,2.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,
10389870,home,Toulouse,Branco van den Boomen,branco-van-den-boomen,B. van den Boomen,M,8,190,1185,M,190883,EUR,806284800,M,8,8,False,48.0,41.0,7.0,5.0,20.0,22.0,23.0,31.0,,5.0,2.0,,,,,90.0,61.0,8.4,12.0,0.0,0.0,0.259319,0,,1.0,4.0,4.0,,,,1.0,3.0,2.0,,,4.0,,,,,,5.0,,,,,,,6.0,2.0,2.0,1.0,,,,
10389870,home,Toulouse,Farès Chaïbi,fares-chaibi,F. Chaïbi,M,8,183,17753,M,1192318,EUR,1038441600,F,28,28,False,19.0,12.0,1.0,1.0,5.0,8.0,7.0,11.0,2.0,,2.0,,,,,79.0,36.0,8.2,14.0,0.0554,0.5231,0.706518,1,,1.0,9.0,4.0,3.0,2.0,,1.0,3.0,1.0,,1.0,,1.0,,,,fareschaibi28,,,1.0,,,3.0,1.0,2.0,1.0,,2.0,1.0,,,
10389870,home,Toulouse,Thijs Dallinga,thijs-dallinga,T. Dallinga,F,24,190,2354,M,905381,EUR,965260800,F,27,27,False,6.0,4.0,,,,1.0,4.0,5.0,2.0,,2.0,,,,,72.0,16.0,6.5,7.0,0.171,0.0,0.0294978,1,,1.0,3.0,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,
