match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_onTargetScoringAttempt,stat_goals,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_aerialLost,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,captain,stat_totalCross,stat_accurateCross,stat_goalAssist,stat_bigChanceCreated,stat_shotOffTarget,stat_totalOffside,player_sofascoreId,stat_punches
11401919,home,Fortuna Sittard,Ivor Pandur,ivor-pandur,I. Pandur,G,1,187,669,M,943212,EUR,953942400,G,31,31,False,23.0,16.0,11.0,4.0,13.0,13.0,3.0,10.0,1.0,8.0,1.0,1.0,2.0,90.0,31.0,7.0,7.0,0.00047699,0,-0.0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11401919,home,Fortuna Sittard,Rodrigo Guth,rodrigo-guth,R. Guth,D,14,191,291,M,905458,EUR,973814400,D,14,14,False,34.0,24.0,13.0,3.0,17.0,20.0,7.0,14.0,3.0,4.0,,,,90.0,45.0,7.2,12.0,0.00377429,1,,Rodrigo,Guth,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.1808,0.151,,,,,,,,,,,,,,,,
11401919,home,Fortuna Sittard,Dimitrios Siovas,dimitrios-siovas,D. Siovas,D,,191,184,M,41165,EUR,590284800,D,33,33,False,31.0,23.0,3.0,1.0,19.0,23.0,4.0,8.0,5.0,2.0,,,,90.0,38.0,6.6,8.0,0.00594883,0,,Dimitrios,Siovas,3.0,2.0,,,,,3.0,,,2.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
11401919,home,Fortuna Sittard,Mitchell Dijks,mitchell-dijks,M. Dijks,D,24,192,201,M,235400,EUR,729216000,D,35,35,False,30.0,23.0,6.0,2.0,13.0,15.0,10.0,15.0,4.0,4.0,,,,90.0,43.0,6.7,9.0,0.00656412,0,,,,1.0,,,,,,2.0,,1.0,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,
11401919,home,Fortuna Sittard,Rosier Loreintz,loreintz-rosier,R. Loreintz,M,32,190,104,M,954812,EUR,903052800,M,32,32,False,40.0,30.0,3.0,1.0,14.0,17.0,16.0,23.0,5.0,4.0,,,,90.0,57.0,7.0,13.0,0.105762,2,,,,2.0,6.0,1.0,,1.0,,3.0,,,2.0,3.0,3.0,0.1414,0.2786,2.0,2.0,,,1.0,1.0,1.0,,,,,,,,,
11401919,home,Fortuna Sittard,Ivo Pinto,ivo-pinto,I. Pinto,D,12,184,113,M,78730,EUR,631670400,M,12,12,False,24.0,20.0,5.0,2.0,8.0,10.0,13.0,19.0,6.0,5.0,,,,84.0,57.0,7.6,15.0,0.028504,1,,,,,5.0,,3.0,1.0,,1.0,,,6.0,,2.0,0.1471,0.3446,,6.0,,1.0,,,,True,5.0,1.0,,,,,,
11401919,home,Fortuna Sittard,Deroy Duarte,deroy-duarte,D. Duarte,M,23,177,217,M,921089,EUR,931046400,M,6,6,False,20.0,11.0,4.0,1.0,5.0,7.0,6.0,13.0,4.0,3.0,,,,90.0,31.0,6.7,11.0,0.00773128,1,,,,3.0,2.0,,1.0,1.0,,2.0,,,,1.0,1.0,0.044,0.0402,,,,,1.0,1.0,,,,,,,,,,
11401919,home,Fortuna Sittard,Alen Halilović,alen-halilovic,A. Halilović,M,10,169,1721,M,277331,EUR,835056000,M,10,10,False,33.0,29.0,4.0,4.0,17.0,18.0,14.0,21.0,8.0,2.0,,,,77.0,52.0,9.0,9.0,0.181781,2,,,,,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,0.2374,0.7986,,2.0,3.0,2.0,3.0,3.0,,,6.0,2.0,1.0,1.0,1.0,,,
11401919,home,Fortuna Sittard,Íñigo Cordoba,inigo-cordoba,I. Cordoba,M,21,178,215,M,605650,EUR,858211200,M,7,7,False,28.0,21.0,4.0,1.0,9.0,10.0,12.0,20.0,8.0,8.0,,,,69.0,52.0,7.5,16.0,0.175651,0,,,,1.0,5.0,1.0,1.0,,,,,3.0,1.0,3.0,,,,,1.0,2.0,2.0,7.0,4.0,,,2.0,,1.0,1.0,,,,
11401919,home,Fortuna Sittard,Kaj Sierhuis,kaj-sierhuis,K. Sierhuis,F,9,180,498,M,855847,EUR,893635200,F,9,9,False,18.0,14.0,2.0,2.0,3.0,3.0,12.0,17.0,4.0,2.0,,,,77.0,39.0,8.5,13.0,0.155233,4,,,,2.0,8.0,1.0,3.0,1.0,1.0,,,,1.0,4.0,1.0,0.327,0.1905,3.0,1.0,1.0,5.0,1.0,,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,
