match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_totalClearance,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,captain,stat_aerialLost,stat_duelLost,stat_blockedScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_wonTackle,stat_fouls,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_accurateCross,stat_wonContest,stat_bigChanceCreated,stat_hitWoodwork,stat_wasFouled,stat_challengeLost,stat_totalOffside,player_sofascoreId,stat_goals,stat_goalAssist,stat_goodHighClaim,stat_punches
11409160,away,Rio Ave,Bruno Ventura,ventura-bruno,B. Ventura,M,10,172,22,M,1087301,EUR,983232000,F,11,11,False,18.0,16.0,1.0,1.0,3.0,4.0,14.0,16.0,1.0,2.0,2.0,,,90.0,28.0,7.0,4.0,0.0,0.0,0.0890507,0,,Bruno,Ventura,2.0,3.0,1.0,,2.0,,2.0,3.0,,,,,,,,1.0,,,1.0,,,,,,,,,,,
11409160,away,Rio Ave,Leonardo Ruiz,leonardo-ruiz,L. Ruiz,F,17,185,112,M,605426,EUR,829785600,F,9,9,False,12.0,8.0,1.0,1.0,5.0,6.0,3.0,6.0,1.0,3.0,2.0,,,72.0,25.0,7.1,7.0,1.8555,0.9863,0.00120402,3,,,,,1.0,1.0,1.0,,,8.0,11.0,,1.0,2.0,1.0,,1.0,1.0,2.0,,,,,,,1.0,,1.0,,1.0,,,
11409160,away,Rio Ave,Ukra,ukra,Ukra,M,,175,54,M,59586,EUR,574473600,F,17,17,True,6.0,5.0,,,3.0,3.0,2.0,3.0,,1.0,2.0,,,28.0,9.0,6.4,3.0,0.0,0.0,0.00089231,0,,Ukra,,,,,1.0,,,2.0,3.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,
11409160,away,Rio Ave,Vítor Gomes,vitor-gomes,V. Gomes,M,,181,38,M,44739,EUR,567388800,M,8,8,True,5.0,3.0,3.0,1.0,1.0,1.0,2.0,4.0,,,,,,18.0,9.0,6.2,2.0,0.0,0.0,0.00240187,0,,,,,1.0,,,,,,3.0,,,,,,,2.0,,,,,,,,,1.0,,,,,,
11409160,away,Rio Ave,Hernâni,hernani,Hernâni,F,27,181,163,M,143587,EUR,682646400,F,7,7,True,2.0,2.0,,,2.0,2.0,,,,,,,,18.0,4.0,6.4,,0.0,0.0,6.769e-05,0,,,,,,,,,,3.0,4.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,
11409160,away,Rio Ave,Patrick William,patrick-william,P. William,D,,186,83,M,921624,EUR,865296000,D,4,4,True,1.0,1.0,,,,,1.0,1.0,,,1.0,,,16.0,7.0,6.5,1.0,0.0,0.0,0.00016503,0,,,,,2.0,,1.0,,,1.0,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,,,
11409160,away,Rio Ave,Sávio,savio,Sávio,D,16,175,141,M,866369,EUR,801532800,D,16,16,True,4.0,2.0,2.0,,1.0,1.0,1.0,3.0,,,,,,15.0,6.0,6.0,3.0,0.0,0.0,0.00155911,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409160,away,Rio Ave,Magrão,magrao,Magrão,G,15,197,176,M,1083070,EUR,958348800,G,82,82,True,,,,,,,,,,,,,,,,,,,0.0,,0,,Magrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409160,away,Rio Ave,Nuno Namora,nuno-namora,N. Namora,D,75,181,17,M,892248,EUR,887241600,D,75,75,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409160,away,Rio Ave,Julien Lomboto,lomboto-julien,J. Lomboto,D,63,191,40,M,1478890,EUR,1021248000,D,13,13,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409160,away,Rio Ave,André Pereira,andre-pereira,A. Pereira,F,,188,56,M,804313,EUR,799632000,F,95,95,True,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
