match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_bigChanceCreated,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,player_lastName,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_unsuccessfulTouch,stat_totalContest,stat_wonContest,stat_totalCross,stat_dispossessed,stat_blockedScoringAttempt,stat_accurateCross,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_totalOffside,stat_bigChanceMissed,stat_goals,stat_lastManTackle,stat_outfielderBlock,stat_clearanceOffLine
10438179,home,Vitória SC,Bruno Varela,bruno-varela,B. Varela,G,14,191,628,M,138895,EUR,783907200,G,14,14,False,True,33.0,18.0,25.0,10.0,1.0,12.0,15.0,6.0,18.0,1.0,1.0,13.0,2.0,3.0,1.0,1.0,1.0,90.0,42.0,7.9,15.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438179,home,Vitória SC,André Amaro,andre-amaro,A. Amaro,D,13,185,207,M,1095752,EUR,1029196800,D,13,13,False,,29.0,21.0,4.0,2.0,,15.0,19.0,6.0,10.0,,1.0,1.0,,,,,,90.0,36.0,6.9,8.0,,0,André Amaro,,6.0,5.0,9.0,8.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,
10438179,home,Vitória SC,Ibrahima Bamba,ibrahima-bamba,I. Bamba,D,22,184,312,M,1131044,EUR,1019433600,D,22,22,False,,30.0,19.0,4.0,,,14.0,19.0,5.0,11.0,,4.0,6.0,,,,,,90.0,40.0,6.7,14.0,,0,Ibrahima Bamba,,1.0,3.0,4.0,6.0,,,,,3.0,3.0,1.0,,,,,,,,,,,,,,
10438179,home,Vitória SC,Mikel Villanueva,mikel-villanueva,M. Villanueva,D,17,192,343,M,836279,EUR,734745600,D,3,3,False,,31.0,28.0,6.0,4.0,,21.0,22.0,7.0,9.0,,1.0,3.0,,,,,,78.0,38.0,6.8,3.0,,0,,,6.0,2.0,9.0,6.0,1.0,,1.0,1.0,,2.0,,3.0,3.0,,,,,,,,,,,,
10438179,home,Vitória SC,Miguel Maga,miguel-maga,M. Maga,D,2,175,180,M,1131047,EUR,1037404800,M,2,2,False,,23.0,19.0,3.0,2.0,,8.0,11.0,11.0,13.0,,4.0,7.0,,,,,,90.0,52.0,6.8,11.0,,0,Miguel Maga,,1.0,2.0,3.0,4.0,1.0,3.0,,,2.0,,2.0,1.0,,1.0,,,,,,,,,,,
10438179,home,Vitória SC,Dani Silva,daniel-silva,D. Silva,M,80,180,228,M,974863,EUR,955411200,M,80,80,False,,40.0,30.0,4.0,2.0,,8.0,10.0,22.0,30.0,,1.0,7.0,,,,,,90.0,58.0,7.3,12.0,,1,,,3.0,6.0,6.0,13.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,,,,,,,,,
10438179,home,Vitória SC,Tiago Silva,tiago-silva,T. Silva,M,77,170,351,M,252095,EUR,738979200,M,10,10,False,,57.0,42.0,7.0,1.0,,19.0,23.0,24.0,38.0,,,7.0,,,,,,90.0,71.0,6.6,21.0,1.0,0,,,,,5.0,2.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,4.0,2.0,,1.0,,,,,,,,
10438179,home,Vitória SC,Afonso Freitas,afonso-freitas,A. Freitas,D,25,180,35,M,928812,EUR,955065600,M,72,72,False,,32.0,21.0,4.0,1.0,,6.0,10.0,15.0,26.0,,,5.0,,,,,,90.0,56.0,6.8,22.0,,1,,,2.0,5.0,2.0,6.0,,2.0,,,1.0,,1.0,,,4.0,,,,1.0,,,,,,,
10438179,home,Vitória SC,André Silva,andre-silva,A. Silva,F,17,181,2951,M,925072,EUR,865296000,F,17,17,False,,19.0,13.0,2.0,1.0,,3.0,5.0,10.0,15.0,1.0,,1.0,,,,,,71.0,30.0,7.1,11.0,1.0,2,,,1.0,,3.0,3.0,,,1.0,,,1.0,2.0,2.0,2.0,1.0,1.0,,,1.0,1.0,1.0,,,,,
10438179,home,Vitória SC,Jota Silva,jota-silva,J. Silva,F,26,179,2828,M,1011895,EUR,933465600,F,11,11,False,,14.0,8.0,2.0,,,,,8.0,16.0,,,5.0,,,,,,78.0,30.0,7.0,12.0,1.0,3,,,3.0,,11.0,3.0,1.0,,,,2.0,5.0,1.0,2.0,1.0,2.0,2.0,,,1.0,2.0,2.0,1.0,1.0,,,
