match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_totalContest,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalTackle,stat_challengeLost,stat_clearanceOffLine,stat_wonTackle,stat_accurateCross,stat_wonContest,stat_dispossessed,stat_errorLeadToAShot,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,captain,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_blockedScoringAttempt
11067646,home,São Paulo,Jandrei,,,jandrei,Jandrei,G,93,186,1016,M,874979,EUR,730944000,G,93,93,False,45.0,30.0,22.0,7.0,28.0,32.0,2.0,13.0,1.0,4.0,90.0,51.0,6.9,15.0,0.0,0.0,0.00074187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067646,home,São Paulo,Nathan Mendes,Nathan,,nathan-mendes,N. Mendes,D,45,182,358,M,1116955,EUR,1029715200,D,45,45,False,48.0,42.0,3.0,3.0,32.0,35.0,10.0,16.0,2.0,6.0,90.0,72.0,7.0,15.0,0.0925,0.1217,0.027226,2,3.0,2.0,2.0,6.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,
11067646,home,São Paulo,Robert Arboleda,,,robert-arboleda,R. Arboleda,D,5,187,3954,M,338937,EUR,688089600,D,5,5,False,67.0,61.0,6.0,5.0,58.0,63.0,3.0,4.0,4.0,5.0,90.0,80.0,8.2,6.0,0.0352,0.0409,0.00190616,2,,3.0,6.0,3.0,8.0,,1.0,1.0,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,
11067646,home,São Paulo,Diego Costa,Diego,Costa,diego-costa,D. Costa,D,4,184,1151,M,995293,EUR,932515200,D,4,4,False,62.0,57.0,7.0,5.0,45.0,46.0,12.0,16.0,3.0,5.0,90.0,75.0,7.7,5.0,0.0,0.0,0.00626882,0,,2.0,1.0,4.0,3.0,,,,2.0,,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11067646,home,São Paulo,Welington,,,welington,Welington,M,34,170,939,M,1009920,EUR,982540800,D,6,6,False,65.0,57.0,5.0,2.0,42.0,45.0,16.0,25.0,1.0,8.0,90.0,93.0,7.4,16.0,0.0555,0.0,0.0230163,2,5.0,2.0,4.0,6.0,12.0,4.0,2.0,,,1.0,2.0,2.0,,,3.0,1.0,,3.0,1.0,3.0,,,,,,,,,,,,,
11067646,home,São Paulo,Gabriel Neves,,,gabriel-neves,G. Neves,M,8,171,741,M,875294,EUR,871257600,M,20,20,False,63.0,55.0,8.0,6.0,36.0,40.0,21.0,27.0,1.0,5.0,83.0,81.0,7.3,15.0,0.0,0.0,0.071726,0,4.0,,1.0,4.0,6.0,1.0,,,,1.0,,1.0,3.0,,4.0,2.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,
11067646,home,São Paulo,Pablo Maia,Pablo Maia,,pablo-maia,P. Maia,M,29,178,3211,M,1120721,EUR,1010620800,M,29,29,False,10.0,10.0,,,10.0,10.0,,,,,10.0,12.0,6.2,1.0,0.0,0.0,0.0001426,0,,,,2.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,
11067646,home,São Paulo,Michel Araújo,,,michel-araujo,M. Araújo,M,15,178,1551,M,924857,EUR,843868800,M,15,15,False,52.0,47.0,3.0,2.0,24.0,27.0,23.0,28.0,,3.0,90.0,72.0,7.0,14.0,0.0,0.0,0.0372582,0,3.0,1.0,1.0,4.0,7.0,2.0,,,1.0,4.0,2.0,1.0,2.0,,2.0,2.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,
11067646,home,São Paulo,James Rodríguez,,,james-rodriguez,J. Rodríguez,M,10,180,62094,M,107414,EUR,679276800,M,19,19,False,35.0,30.0,5.0,4.0,10.0,10.0,20.0,27.0,,2.0,45.0,44.0,6.2,11.0,0.0,0.0,0.00898825,0,2.0,,,5.0,,,,,,1.0,,1.0,,,,1.0,,,,,3.0,,,James10,,,,,,,,,
11067646,home,São Paulo,Juan Santos da Silva,,,juan,Juan,F,9,176,1031,M,1009928,EUR,1015459200,M,31,31,False,19.0,13.0,,,5.0,6.0,8.0,13.0,,3.0,62.0,32.0,6.5,10.0,0.3514,0.5486,0.0197242,1,,3.0,1.0,5.0,5.0,1.0,,1.0,,1.0,2.0,1.0,1.0,,1.0,,,,,1.0,2.0,,1.0,,1.0,,,,,,,,
11067646,home,São Paulo,Luciano,,,luciano,Luciano,M,10,181,8486,M,282557,EUR,737683200,F,10,10,False,31.0,25.0,3.0,1.0,11.0,12.0,14.0,19.0,,5.0,83.0,41.0,7.0,8.0,0.0866,0.1197,0.0144938,3,,,1.0,3.0,3.0,,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,1.0,,2.0,luciano10,,True,1.0,,,,,,
11067646,home,São Paulo,Luan Santos,,,luan-santos,Luan,M,33,173,2976,M,942426,EUR,926640000,M,8,8,True,38.0,32.0,2.0,,22.0,25.0,10.0,13.0,,5.0,80.0,47.0,6.9,7.0,0.0409,0.0,0.00525286,1,,1.0,3.0,3.0,6.0,1.0,1.0,,2.0,,,,,,2.0,1.0,,,,1.0,1.0,,,,,,,,,,,,
11067646,home,São Paulo,Lucas Moura,,,lucas-moura,L. Moura,M,7,172,12542,M,149710,EUR,713664000,F,7,7,True,16.0,13.0,1.0,1.0,4.0,5.0,10.0,12.0,1.0,3.0,45.0,24.0,6.8,4.0,0.0,0.0,0.0441923,0,1.0,,4.0,2.0,5.0,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,,,lucasmoura7,,,,,,,,,
