match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,captain,stat_aerialLost,stat_challengeLost,stat_shotOffTarget,stat_interceptionWon,stat_totalOffside,stat_wonTackle,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_bigChanceMissed,stat_goals,player_sofascoreId
13472774,home,Fortaleza,Brenno,brenno,Brenno,G,12,188,501,M,914481,EUR,922924800,G,12,12,False,8.0,7.0,3.0,2.0,0.0,6.0,6.0,1.0,2.0,1.0,4.0,1.0,1.0,4.0,4.0,1.0,90.0,16.0,6.8,1.0,0.0001381,0,-0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13472774,home,Fortaleza,Eros Mancuso,eros-mancuso,E. Mancuso,D,40,171,489,M,1116624,EUR,924307200,D,14,14,False,30.0,26.0,3.0,2.0,0.0,8.0,8.0,18.0,22.0,3.0,5.0,,,,,,90.0,50.0,6.8,11.0,0.0817703,1,,Eros Mancuso,,2.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0458,2.0,,,,,,,,,,,,,,
13472774,home,Fortaleza,Emanuel Brítez,emanuel-britez,E. Brítez,D,33,178,532,M,789395,EUR,701568000,D,33,33,False,38.0,32.0,4.0,1.0,0.0,16.0,19.0,16.0,19.0,2.0,2.0,,,,,,90.0,49.0,7.1,6.0,0.0072204,2,,,,,,5.0,3.0,5.0,,,,4.0,,,,1.0,0.3597,,True,1.0,1.0,2.0,2.0,1.0,,,,,,,,
13472774,home,Fortaleza,Gastón Ávila,gaston-avila,G. Ávila,D,13,182,1203,M,975526,EUR,1001808000,D,3,3,False,36.0,24.0,11.0,2.0,0.0,12.0,13.0,12.0,23.0,3.0,6.0,,,,,,90.0,51.0,6.6,15.0,0.00479865,1,,,,2.0,,2.0,6.0,8.0,1.0,,,,3.0,,3.0,2.0,0.0166,1.0,,2.0,1.0,1.0,,,2.0,,,,,,,
13472774,home,Fortaleza,Bruno Pacheco,bruno-pacheco,B. Pacheco,D,91,174,374,M,870691,EUR,692150400,D,6,6,False,32.0,30.0,3.0,2.0,0.0,14.0,14.0,16.0,18.0,2.0,2.0,,,,,,90.0,50.0,6.9,6.0,0.0142691,0,,,,1.0,,1.0,3.0,6.0,,,,,3.0,2.0,2.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,
13472774,home,Fortaleza,Lucas Sasha,lucas-sasha,L. Sasha,M,88,177,479,M,123225,EUR,636249600,M,88,88,False,31.0,29.0,,,0.0,9.0,9.0,20.0,22.0,1.0,3.0,,,,,,45.0,35.0,6.6,3.0,0.0153552,0,,,,,,,2.0,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,
13472774,home,Fortaleza,Pierre,pierre,Pierre,M,5,181,316,M,1017710,EUR,1015977600,M,30,30,False,70.0,67.0,5.0,5.0,0.0,23.0,23.0,44.0,47.0,,7.0,,,,,,82.0,83.0,7.7,6.0,0.318624,1,,,,4.0,1.0,,4.0,5.0,,,,,2.0,,3.0,,0.0258,2.0,,3.0,1.0,,,,1.0,1.0,0.1455,,,,,
13472774,home,Fortaleza,Tomás Pochettino,tomas-pochettino,T. Pochettino,M,7,178,994,M,824626,EUR,823132800,M,7,7,False,10.0,8.0,,,1.0,,1.0,8.0,9.0,1.0,1.0,,,,,,45.0,19.0,7.0,5.0,0.0297794,1,,,,,,1.0,1.0,2.0,1.0,,1.0,1.0,1.0,1.0,,,0.0391,2.0,,,,,1.0,,1.0,,,,,,,
13472774,home,Fortaleza,Breno Lopes,breno-lopes,B. Lopes,M,26,178,1395,M,937552,EUR,822441600,M,26,26,False,32.0,31.0,,,0.0,6.0,6.0,25.0,26.0,,1.0,,,,,,89.0,49.0,7.0,6.0,0.260784,3,,,,5.0,1.0,,2.0,4.0,1.0,,,,1.0,,2.0,1.0,0.1169,2.0,,,,1.0,,1.0,1.0,2.0,0.1278,1.0,1.0,1.0,,
13472774,home,Fortaleza,Lucas Crispim,lucas-crispim,L. Crispim,M,10,178,449,M,795178,EUR,771984000,M,91,91,False,17.0,15.0,,,0.0,4.0,4.0,11.0,13.0,,3.0,,,,,,45.0,24.0,6.9,3.0,0.0118766,2,,,,,,,1.0,2.0,,,,,,1.0,2.0,1.0,0.0993,,,,,,1.0,,,2.0,0.6159,,,,,
