match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_expectedGoals,captain,stat_aerialWon,stat_outfielderBlock,stat_unsuccessfulTouch,stat_shotOffTarget,stat_accurateCross,stat_challengeLost,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_bigChanceMissed,stat_bigChanceCreated,stat_clearanceOffLine,stat_hitWoodwork
11396173,home,1. FC Heidenheim,Kevin Müller,kevin-muller,K. Müller,G,22,190,180,M,121908,EUR,668995200,G,1,1,False,44.0,34.0,18.0,8.0,0.0,30.0,33.0,4.0,11.0,10.0,2.0,4.0,8.0,90.0,63.0,8.3,10.0,0.00069314,0,1.7193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396173,home,1. FC Heidenheim,Haktab Omar Traore,haktab-omar-traore,H. O. Traore,D,23,184,112,M,920022,EUR,886550400,D,23,23,False,24.0,22.0,1.0,1.0,0.0,13.0,14.0,9.0,11.0,2.0,,,,90.0,48.0,6.8,7.0,0.0174063,1,,,,1.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0092,,,,,,,,,,,,,,
11396173,home,1. FC Heidenheim,Patrick Mainka,patrick-mainka,P. Mainka,D,6,194,320,M,254429,EUR,784080000,D,6,6,False,47.0,38.0,6.0,3.0,0.0,29.0,35.0,9.0,12.0,5.0,,,,90.0,59.0,7.2,10.0,0.0030074,0,,,,,3.0,3.0,4.0,,,,,6.0,1.0,,,,,,,True,4.0,3.0,1.0,,,,,,,,,,
11396173,home,1. FC Heidenheim,Benedikt Gimber,benedikt-gimber,B. Gimber,D,5,185,137,M,798936,EUR,856310400,D,5,5,False,51.0,45.0,6.0,3.0,0.0,39.0,41.0,6.0,10.0,7.0,,,,90.0,59.0,6.8,6.0,0.0024542,1,,,,,1.0,3.0,5.0,,1.0,1.0,,3.0,,,,2.0,2.0,,0.0865,,2.0,,,1.0,,,,,,,,,
11396173,home,1. FC Heidenheim,Jonas Föhrenbach,jonas-fohrenbach,J. Föhrenbach,D,19,185,79,M,311676,EUR,822614400,D,19,19,False,46.0,36.0,10.0,4.0,0.0,20.0,23.0,16.0,25.0,6.0,,,,90.0,81.0,7.4,14.0,0.020263,0,,,,2.0,1.0,1.0,7.0,,3.0,3.0,,6.0,,1.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,
11396173,home,1. FC Heidenheim,Jan Schöppner,jan-schoppner,J. Schöppner,M,3,190,163,M,933707,EUR,929145600,M,3,3,False,25.0,17.0,2.0,1.0,0.0,9.0,12.0,9.0,14.0,3.0,,,,87.0,36.0,6.5,11.0,0.0166354,0,,,,1.0,2.0,5.0,4.0,,1.0,,,2.0,1.0,1.0,,1.0,,,,,2.0,,2.0,,1.0,2.0,,,,,,,
11396173,home,1. FC Heidenheim,Lennard Maloney,lennard-maloney,L. Maloney,M,15,187,256,M,893962,EUR,939340800,M,33,33,False,28.0,22.0,3.0,2.0,0.0,16.0,17.0,6.0,11.0,3.0,,,,90.0,39.0,6.7,7.0,0.213591,0,,,,,4.0,6.0,2.0,,1.0,,,2.0,1.0,,,1.0,1.0,,,,2.0,1.0,,,,,1.0,,,,,,
11396173,home,1. FC Heidenheim,Eren Dinkçi,eren-dinkci,E. Dinkçi,M,8,188,848,M,1067120,EUR,1008201600,M,8,8,False,20.0,16.0,1.0,1.0,0.0,6.0,7.0,11.0,14.0,6.0,,,,80.0,41.0,9.0,9.0,0.191193,5,,,,1.0,,2.0,7.0,,7.0,5.0,2.0,,,1.0,1.0,1.0,,,0.4658,,,,3.0,1.0,1.0,,,2.0,2.0,,,,
11396173,home,1. FC Heidenheim,Kevin Sessa,sessa-kevin,K. Sessa,M,8,175,67,M,929806,EUR,962841600,M,16,16,False,32.0,26.0,1.0,1.0,0.0,13.0,14.0,14.0,20.0,3.0,,,,66.0,50.0,7.8,11.0,0.104703,4,,,,2.0,1.0,3.0,7.0,,3.0,1.0,1.0,,,2.0,1.0,4.0,,,0.1138,,1.0,,2.0,2.0,1.0,,1.0,1.0,1.0,,,,
11396173,home,1. FC Heidenheim,Jan-Niklas Beste,jan-niklas-beste,J. Beste,D,19,177,1027,M,836711,EUR,915408000,M,37,37,False,23.0,16.0,2.0,1.0,1.0,8.0,8.0,9.0,27.0,2.0,,,,87.0,65.0,8.7,23.0,0.0329233,1,,,,12.0,,4.0,13.0,2.0,3.0,2.0,,,,4.0,3.0,7.0,1.0,,0.0181,,,,,,1.0,,3.0,1.0,1.0,,,,
