match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,id,injury,isHome,incidentClass,player_id,player_name,playerName,reason,rescinded,from
14994248,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
14994248,,,,,90,0.0,,1,,,injuryTime,2.0,,,,,,,,,,
14994248,,,,,88,,,3,,,substitution,,125216872.0,False,True,regular,,,,,,
14994248,,,,,82,,,9,,,substitution,,125216840.0,False,False,regular,,,,,,
14994248,,,,,82,,,9,,,substitution,,125216839.0,False,True,regular,,,,,,
14994248,,,,,71,,,20,,,substitution,,125216772.0,False,False,regular,,,,,,
14994248,,,,,66,,,25,,,substitution,,125216727.0,False,True,regular,,,,,,
14994248,,,,,59,,,32,,,substitution,,125216708.0,False,False,regular,,,,,,
14994248,,,,,58,,,33,,,substitution,,125216709.0,False,False,regular,,,,,,
14994248,,3.0,1.0,,54,,,37,,,goal,,330987963.0,,True,regular,825956.0,Christoph Baumgartner,,,,
14994248,,,,,46,,,45,,,substitution,,125216635.0,False,False,regular,,,,,,
14994248,,,,,46,,,45,,,substitution,,125216605.0,False,True,regular,,,,,,
14994248,,,,,46,,,45,,,substitution,,125216603.0,False,True,regular,,,,,,
14994248,HT,2.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
14994248,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,,
14994248,,,,,39,,,7,,,card,,124405840.0,,False,yellow,289203.0,Tobias Müller,Tobias Müller,Foul,False,
14994248,,2.0,1.0,,29,,,17,,,goal,,330985244.0,,True,regular,825956.0,Christoph Baumgartner,,,,
14994248,,,,,21,,,25,,,card,,124405802.0,,False,yellow,1065557.0,Falko Michel,Falko Michel,Foul,False,
14994248,,,,,20,,,26,,,card,,124405801.0,,True,yellow,1155383.0,Ezechiel Banzuzi,Ezechiel Banzuzi,Foul,False,
14994248,,1.0,1.0,,19,,,27,,,goal,,330984495.0,,True,regular,1121923.0,Antonio Nusa,,,,
14994248,,0.0,1.0,,11,,,35,,,goal,,330983716.0,,False,penalty,867399.0,Silas Gnaka,,,,penalty
14994248,,,,,8,,,38,,,card,,124405746.0,,False,yellow,352986.0,Marcus Mathisen,Marcus Mathisen,Foul,False,
