match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_duelWon,stat_totalContest,stat_totalClearance,stat_totalTackle,stat_fouls,stat_aerialWon,stat_shotOffTarget,stat_unsuccessfulTouch,stat_expectedGoals,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_goalAssist,stat_challengeLost,stat_bigChanceCreated,stat_wonTackle,stat_errorLeadToAGoal,stat_keyPass,player_sofascoreId,stat_dispossessed,stat_blockedScoringAttempt,stat_wasFouled,stat_totalOffside,captain,stat_wonContest,player_firstName,player_lastName,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goodHighClaim,stat_hitWoodwork
11352462,home,Fulham,Bernd Leno,bernd-leno,B. Leno,G,1,190,2695,M,103335,EUR,699667200,G,17,17,False,38.0,35.0,5.0,2.0,34.0,34.0,1.0,4.0,5.0,1.0,1.0,90.0,41.0,6.4,3.0,0.00015244,0,-0.3168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352462,home,Fulham,Timothy Castagne,timothy-castagne,T. Castagne,D,21,185,2321,M,329417,EUR,818121600,D,21,21,False,37.0,31.0,5.0,2.0,18.0,20.0,14.0,19.0,4.0,,,90.0,52.0,6.5,8.0,0.0230384,0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352462,home,Fulham,Issa Diop,issa-diop,I. Diop,D,31,194,838,M,825719,EUR,852768000,D,31,31,False,67.0,57.0,4.0,1.0,39.0,43.0,18.0,24.0,2.0,,,90.0,75.0,6.5,11.0,0.00322296,1,,,,,4.0,,2.0,3.0,,1.0,1.0,1.0,0.027,,,,,,,,,,,,,,,,,,,,,,,,
11352462,home,Fulham,Tim Ream,tim-ream,T. Ream,D,3,185,548,M,118179,EUR,560390400,D,13,13,False,62.0,58.0,5.0,4.0,39.0,41.0,19.0,21.0,2.0,,,75.0,69.0,6.8,4.0,0.00531453,0,,,,3.0,2.0,,3.0,,,2.0,,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352462,home,Fulham,Antonee Robinson,antonee-robinson,A. Robinson,D,33,183,2862,M,803174,EUR,870998400,D,33,33,False,33.0,23.0,4.0,,9.0,13.0,15.0,30.0,2.0,,,90.0,62.0,6.7,24.0,0.128551,0,,10.0,1.0,3.0,4.0,1.0,,4.0,,,,1.0,,,1.0,,1.0,2.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,
11352462,home,Fulham,João Palhinha,joao-palhinha,J. Palhinha,M,6,189,16491,M,364612,EUR,805248000,M,26,26,False,44.0,42.0,7.0,5.0,25.0,25.0,17.0,19.0,8.0,,,89.0,62.0,6.9,6.0,0.0109608,1,,,,6.0,5.0,1.0,1.0,4.0,3.0,,,2.0,0.0304,,,1.0,,1.0,,3.0,,2.0,Palhinha,1.0,1.0,1.0,1.0,,,,,,,,,,
11352462,home,Fulham,Tom Cairney,tom-cairney,T. Cairney,M,10,185,581,M,82566,EUR,664329600,M,10,10,False,61.0,53.0,9.0,4.0,18.0,18.0,35.0,43.0,6.0,,,90.0,72.0,7.1,11.0,0.0335563,0,,,,1.0,4.0,3.0,,,,,,2.0,,,,1.0,,1.0,,,,,,,,1.0,,True,3.0,,,,,,,,
11352462,home,Fulham,Bobby Decordova-Reid,bobby-decordova-reid,B. Reid,M,14,170,1230,M,151499,EUR,728611200,M,14,14,False,11.0,7.0,,,4.0,5.0,3.0,7.0,1.0,,,64.0,21.0,6.4,8.0,0.00049882,1,,1.0,,1.0,,1.0,1.0,,,,1.0,2.0,0.1145,,,,,,,,,,,,,,,,,,,,,,,,
11352462,home,Fulham,Andreas Pereira,andreas-pereira,A. Pereira,M,8,177,14092,M,285949,EUR,820454400,M,18,18,False,26.0,18.0,6.0,3.0,8.0,8.0,13.0,27.0,,,,75.0,40.0,7.1,17.0,0.451913,1,,9.0,3.0,7.0,,,,,2.0,,1.0,,0.0166,2.0,,,,1.0,,,,4.0,andreaspereira,2.0,,,,,,,,,,,,,
11352462,home,Fulham,Willian,willian,Willian,F,88,175,9698,M,31417,EUR,587088000,M,20,20,False,18.0,17.0,2.0,2.0,8.0,8.0,10.0,12.0,,,,45.0,24.0,6.8,3.0,0.0849185,0,,2.0,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,,1.0,,1.0,willianborges88,,,,,,,,,,,,,,
