match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_duelWon,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,player_firstName,player_lastName,stat_aerialWon,stat_dispossessed,stat_totalCross,stat_aerialLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,stat_bigChanceCreated,stat_shotOffTarget,stat_keyPass,stat_goalAssist,stat_clearanceOffLine,stat_bigChanceMissed,stat_accurateCross,stat_hitWoodwork
10385423,home,Aston Villa,Emiliano Martínez,emiliano-martinez,E. Martínez,G,23,195,61053,M,EmiMartínez,158263,EUR,715392000,G,1,1,False,True,49.0,35.0,17.0,4.0,33.0,36.0,2.0,13.0,1.0,1.0,10.0,1.0,2.0,2.0,2.0,2.0,90.0,61.0,6.7,14.0,0.0,0.0,0.00023604,0,0.7765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385423,home,Aston Villa,Ashley Young,ashley-young,A. Young,D,15,180,1712,M,,10589,EUR,489715200,D,18,18,False,,34.0,18.0,12.0,3.0,12.0,15.0,6.0,19.0,3.0,2.0,7.0,,,,,,90.0,68.0,7.3,24.0,0.0,0.0,0.00831205,0,,9.0,2.0,2.0,1.0,8.0,4.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10385423,home,Aston Villa,Ezri Konsa,ezri-konsa,E. Konsa,D,4,183,3197,M,,827679,EUR,877564800,D,4,4,False,,54.0,44.0,7.0,3.0,38.0,45.0,6.0,9.0,,,7.0,,,,,,90.0,73.0,7.6,11.0,0.0,0.0,0.00235526,0,,7.0,5.0,2.0,3.0,3.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,
10385423,home,Aston Villa,Tyrone Mings,tyrone-mings,T. Mings,D,5,195,1992,M,,303638,EUR,731980800,D,5,5,False,,44.0,33.0,10.0,3.0,28.0,35.0,5.0,9.0,,,3.0,,,,,,90.0,58.0,6.8,13.0,0.0,0.0,0.00292301,0,,3.0,6.0,1.0,3.0,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,
10385423,home,Aston Villa,Lucas Digne,lucas-digne,L. Digne,D,12,178,4442,M,LDigne,96538,EUR,743126400,D,27,27,False,,2.0,2.0,,,2.0,2.0,,,2.0,,1.0,,,,,,10.0,7.0,6.2,3.0,0.0,0.0,1.307e-05,0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,
10385423,home,Aston Villa,Leon Bailey,leon-bailey,L. Bailey,M,31,178,7677,M,leonbailey,808590,EUR,871084800,M,31,31,False,,17.0,13.0,2.0,1.0,8.0,9.0,5.0,9.0,13.0,,5.0,,,,,,90.0,44.0,6.6,16.0,0.2456,0.6176,0.00360611,3,,5.0,1.0,,,2.0,,1.0,,1.0,,,,6.0,1.0,2.0,7.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,
10385423,home,Aston Villa,Douglas Luiz,douglas-luiz,D. Luiz,M,21,175,11801,M,Douglas_Luiz,867887,EUR,894672000,M,6,6,False,,48.0,35.0,5.0,2.0,18.0,23.0,17.0,26.0,8.0,1.0,7.0,,,,,,90.0,73.0,7.7,17.0,0.1399,0.0,0.217977,2,,10.0,2.0,1.0,4.0,5.0,2.0,1.0,1.0,4.0,,,3.0,1.0,1.0,1.0,2.0,1.0,,,,,1.0,2.0,2.0,,,,,
10385423,home,Aston Villa,Boubacar Kamara,boubacar-kamara,B. Kamara,M,44,184,3386,M,,826204,EUR,943315200,M,44,44,False,,56.0,45.0,7.0,4.0,34.0,37.0,11.0,19.0,1.0,,6.0,,,,,,90.0,69.0,7.6,12.0,0.0,0.0,0.0243071,0,,8.0,2.0,2.0,,3.0,2.0,,2.0,,,,2.0,,,,2.0,1.0,,,,,,,1.0,1.0,,,,
10385423,home,Aston Villa,Jacob Ramsey,jacob-ramsey,J. Ramsey,M,41,180,3186,M,,975937,EUR,991008000,M,41,41,False,,26.0,22.0,3.0,2.0,9.0,12.0,13.0,14.0,4.0,,1.0,,,,,,81.0,35.0,7.1,4.0,0.0,0.0,0.0554727,0,,6.0,3.0,,1.0,1.0,1.0,,3.0,1.0,,,2.0,,,3.0,,,,,,,,,2.0,,,,,
10385423,home,Aston Villa,Emiliano Buendía,emiliano-buendia,E. Buendía,M,10,170,7699,M,EM10Buendia,783126,EUR,851472000,F,10,10,False,,21.0,16.0,3.0,2.0,11.0,13.0,5.0,8.0,8.0,1.0,3.0,,,,,,81.0,38.0,7.4,9.0,0.3024,0.2549,0.00410329,1,,7.0,1.0,,1.0,2.0,2.0,1.0,3.0,1.0,,,1.0,3.0,,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,
