match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_unsuccessfulTouch,stat_dispossessed,stat_blockedScoringAttempt,stat_totalOffside,stat_expectedGoals,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_keyPass,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_errorLeadToAShot
11408425,home,Estoril Praia,Marcelo Carné,,,marcelo-carne,M. Carné,G,1,188,61,M,243463,EUR,634262400,G,31,31,False,32.0,15.0,25.0,8.0,8.0,10.0,7.0,22.0,1.0,1.0,10.0,2.0,2.0,90.0,37.0,6.9,17.0,0.00371491,0,0.0755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,João Basso,,,joao-basso,J. Basso,D,13,189,677,M,850955,EUR,853113600,D,13,13,False,18.0,12.0,8.0,4.0,8.0,11.0,4.0,7.0,6.0,,4.0,,,90.0,44.0,7.6,9.0,0.00126309,0,,4.0,1.0,5.0,1.0,1.0,7.0,2.0,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Bernardo Vital,,,vital-bernardo,B. Vital,D,13,187,192,M,1065442,EUR,978048000,D,3,3,False,19.0,14.0,6.0,1.0,12.0,14.0,2.0,5.0,3.0,,4.0,,,90.0,32.0,6.4,6.0,0.0005835,0,,1.0,2.0,4.0,,,7.0,,1.0,,,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Eliaquim Mangala,,,eliaquim-mangala,E. Mangala,D,,188,392,M,42892,EUR,666403200,D,22,22,False,15.0,12.0,3.0,1.0,11.0,12.0,1.0,3.0,1.0,,,,,90.0,22.0,7.2,3.0,0.00021284,0,,1.0,1.0,2.0,,,3.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Wagner Pina,,,wagner-pina,W. Pina,M,20,180,484,M,1513625,EUR,1036281600,M,79,79,False,16.0,8.0,6.0,1.0,5.0,10.0,3.0,6.0,4.0,,6.0,,,90.0,46.0,6.9,16.0,0.00281872,1,,,3.0,9.0,2.0,,6.0,,1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0778,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Vinicius Zanocelo,,,vinicius-zanocelo,Vinicius Zanocelo,M,25,184,577,M,973841,EUR,980812800,M,7,7,False,15.0,14.0,1.0,1.0,11.0,12.0,3.0,3.0,4.0,1.0,4.0,,,86.0,29.0,6.7,4.0,0.00456695,0,,1.0,1.0,5.0,2.0,1.0,4.0,,2.0,3.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Mateus Fernandes,,,mateus-fernandes,M. Fernandes,M,18,178,3830,M,1142562,EUR,1089417600,M,82,82,False,27.0,16.0,7.0,5.0,10.0,14.0,6.0,13.0,8.0,1.0,10.0,,,90.0,47.0,7.3,15.0,0.012185,0,,2.0,,13.0,2.0,,1.0,,,11.0,7.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Tiago Araújo,,,tiago-araujo,T. Araújo,D,20,184,265,M,997024,EUR,985651200,M,78,78,False,18.0,12.0,3.0,1.0,5.0,8.0,8.0,12.0,7.0,2.0,5.0,,,90.0,45.0,7.1,13.0,0.0735373,0,,2.0,2.0,5.0,4.0,2.0,7.0,,1.0,,,1.0,,1.0,1.0,,,,2.0,1.0,1.0,2.0,,,,,,,,,,,
11408425,home,Estoril Praia,Heriberto Tavares,,,heriberto-tavares,H. Tavares,F,91,180,195,M,845789,EUR,856310400,F,91,91,False,9.0,7.0,,,4.0,4.0,3.0,6.0,7.0,1.0,2.0,,,86.0,18.0,6.2,8.0,0.00266111,1,,1.0,,1.0,1.0,,,,,,,1.0,4.0,3.0,1.0,,,0.354,1.0,,,,1.0,1.0,,,,,,,,,
11408425,home,Estoril Praia,Rodrigo Gomes,,,gomes-rodrigo,R. Gomes,M,21,171,1190,M,1006073,EUR,1057536000,F,21,21,False,13.0,10.0,1.0,,6.0,6.0,4.0,9.0,5.0,1.0,2.0,,,80.0,27.0,6.7,8.0,0.446368,0,,2.0,,3.0,2.0,1.0,4.0,,2.0,1.0,,1.0,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Cassiano,,,cassiano,Cassiano,F,90,184,251,M,157023,EUR,613958400,F,11,11,False,8.0,3.0,2.0,,2.0,2.0,1.0,6.0,7.0,,2.0,,,80.0,21.0,7.4,7.0,0.00038218,3,,3.0,,6.0,,,,,,5.0,3.0,1.0,3.0,1.0,1.0,,,0.7531,,,1.0,1.0,1.0,1.0,True,2.0,1.0,1.0134,,,,,
11408425,home,Estoril Praia,Joao Marques,,,marques-joao,J. Marques,M,11,179,304,M,1087321,EUR,1013558400,M,33,33,True,,,,,,,,,3.0,,,,,10.0,2.0,6.2,1.0,,0,,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,João Carlos,,,joao-carlos,J. Carlos,F,,187,69,M,880129,EUR,794016000,F,20,20,True,5.0,2.0,,,1.0,1.0,1.0,4.0,5.0,,1.0,,,10.0,14.0,6.6,6.0,0.0120519,0,,,1.0,3.0,1.0,1.0,1.0,,,,,1.0,3.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Mor Ndiaye,,,mor-ndiaye,M. Ndiaye,M,19,185,163,M,979225,EUR,974764800,M,64,64,True,3.0,1.0,2.0,,,1.0,1.0,2.0,1.0,,,,,17.0,4.0,6.5,2.0,0.000364,0,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
11408425,home,Estoril Praia,Fabrício Garcia,,,fabricio-garcia,F. Garcia,F,98,172,81,M,1190120,EUR,988934400,F,98,98,True,,,,,,,,,1.0,,,,,8.0,4.0,6.4,3.0,,0,,,,1.0,1.0,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
