match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_shotOffTarget,stat_hitWoodwork,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_totalCross,player_sofascoreId,stat_accurateCross,stat_blockedScoringAttempt,stat_totalOffside,captain,stat_goals,stat_penaltyWon,stat_penaltyFaced,stat_clearanceOffLine,stat_bigChanceCreated,stat_penaltyConceded,stat_bigChanceMissed
10434109,home,Fenerbahçe,İrfan Can Eğribayat,irfan-can-egribayat,İ. C. Eğribayat,G,71,193.0,1983,M,594618,EUR,891216000,G,70,70,False,27.0,21.0,15.0,9.0,14.0,15.0,7.0,12.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,90.0,32.0,6.9,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10434109,home,Fenerbahçe,Bright Osayi-Samuel,bright-osayi-samuel,B. Osayi-Samuel,D,26,175.0,5509,M,791616,EUR,883526400,D,21,21,False,56.0,48.0,1.0,1.0,17.0,19.0,31.0,37.0,2.0,10.0,1.0,8.0,,,,,,90.0,80.0,7.3,10.0,1,5.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
10434109,home,Fenerbahçe,Samet Akaydın,samet-akaydin,S. Akaydın,D,3,190.0,969,M,863600,EUR,763516800,D,3,3,False,76.0,60.0,9.0,2.0,40.0,45.0,20.0,31.0,8.0,9.0,4.0,10.0,,,,,,90.0,90.0,7.4,17.0,2,3.0,,,,,1.0,2.0,1.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
10434109,home,Fenerbahçe,Attila Szalai,attila-szalai,A. Szalai,D,41,192.0,2464,M,823092,EUR,885254400,D,41,41,False,62.0,51.0,7.0,2.0,29.0,32.0,22.0,30.0,4.0,5.0,8.0,10.0,,,,,,90.0,74.0,7.2,12.0,1,1.0,,,,,,,,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
10434109,home,Fenerbahçe,Ezgjan Alioski,ezgjan-alioski,E. Alioski,D,7,173.0,797,M,137060,EUR,697852800,D,6,6,False,63.0,54.0,3.0,2.0,25.0,26.0,29.0,41.0,2.0,6.0,,3.0,,,,,,90.0,87.0,6.7,15.0,3,5.0,1.0,,,,,,,,4.0,1.0,,3.0,3.0,,,1.0,,,4.0,,,,,,,,,,,,
10434109,home,Fenerbahçe,Arda Güler,arda-guler,A. Güler,M,15,176.0,398152,M,1091116,EUR,1109289600,M,10,10,False,41.0,36.0,6.0,4.0,9.0,10.0,31.0,42.0,1.0,9.0,,4.0,,,,,,78.0,77.0,7.8,19.0,3,8.0,2.0,2.0,8.0,5.0,2.0,,,1.0,2.0,,4.0,1.0,,,1.0,1.0,Arda Guler,,11.0,AGüler,4.0,1.0,,,,,,,,,
10434109,home,Fenerbahçe,İsmail Yüksek,ismail-yuksek,İ. Yüksek,M,5,183.0,3147,M,952600,EUR,917308800,M,80,80,False,52.0,43.0,6.0,4.0,18.0,19.0,25.0,33.0,,6.0,1.0,6.0,,,,,,64.0,70.0,6.8,12.0,1,6.0,3.0,1.0,,,,,2.0,2.0,4.0,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
10434109,home,Fenerbahçe,Miha Zajc,miha-zajc,M. Zajc,M,8,180.0,1173,M,139256,EUR,773020800,M,26,26,False,61.0,54.0,3.0,2.0,26.0,27.0,29.0,35.0,3.0,5.0,,8.0,,,,,,78.0,71.0,6.4,11.0,0,10.0,3.0,1.0,2.0,,,,1.0,1.0,1.0,4.0,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,
10434109,home,Fenerbahçe,Diego Rossi,diego-rossi,D. Rossi,F,10,170.0,1997,M,831809,EUR,894153600,M,9,9,False,25.0,24.0,,,7.0,7.0,17.0,19.0,,5.0,,3.0,,,,,,64.0,41.0,7.2,6.0,2,3.0,,1.0,4.0,4.0,2.0,,1.0,,1.0,1.0,,1.0,,,,3.0,,,1.0,,,,2.0,,,,,,,,
10434109,home,Fenerbahçe,Enner Valencia,enner-valencia,E. Valencia,F,10,177.0,9801,M,106456,EUR,626140800,F,13,13,False,25.0,17.0,,,5.0,6.0,12.0,20.0,3.0,11.0,,,,,,,,90.0,55.0,7.6,17.0,3,7.0,,3.0,5.0,3.0,2.0,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,,1.0,2.0,,,1.0,ennervalencia,,,1.0,True,1.0,,,,,,
10434109,home,Fenerbahçe,Serdar Dursun,serdar-dursun,S. Dursun,F,19,190.0,1064,M,123917,EUR,687830400,F,19,19,False,9.0,7.0,,,4.0,4.0,3.0,6.0,,1.0,,,,,,,,45.0,13.0,6.6,3.0,1,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
10434109,home,Fenerbahçe,João Pedro Galvão,joao-pedro-galvao,João Pedro Galvão,F,9,184.0,2071,M,123208,EUR,700099200,F,20,20,True,13.0,11.0,,,5.0,5.0,6.0,8.0,1.0,2.0,,,,,,,,45.0,17.0,6.6,3.0,0,2.0,,,,,,,,,1.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
10434109,home,Fenerbahçe,Willian Arão,willian-arao,Willian Arão,M,15,181.0,1888,M,242213,EUR,700358400,M,5,5,True,27.0,24.0,3.0,2.0,13.0,14.0,11.0,13.0,,3.0,1.0,4.0,,,,,,26.0,32.0,6.9,3.0,0,3.0,,,2.0,2.0,,,1.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
