match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_unsuccessfulTouch,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_bigChanceCreated,stat_penaltyConceded,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_bigChanceMissed,stat_goodHighClaim,stat_totalOffside
10411451,home,Sampdoria,Emil Audero,emil-audero,E. Audero,G,1,190,10668,M,318603,EUR,853545600,G,1,1,False,24.0,15.0,11.0,2.0,14.0,16.0,1.0,8.0,13.0,1.0,1.0,2.0,90.0,36.0,6.5,9.0,0.0,0.0,0.00017289,0,-0.5069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411451,home,Sampdoria,Bartosz Bereszyński,bartosz-bereszynski,B. Bereszyński,D,19,182,2549,M,109461,EUR,710899200,D,24,24,False,23.0,20.0,3.0,1.0,8.0,9.0,12.0,14.0,2.0,,,,59.0,38.0,6.2,6.0,0.0,0.0,0.00996962,0,,True,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
10411451,home,Sampdoria,Alex Ferrari,alex-ferrari,A. Ferrari,D,25,183,99,M,327429,EUR,773020800,D,25,25,False,58.0,54.0,6.0,4.0,36.0,38.0,18.0,20.0,6.0,,,,90.0,70.0,7.1,4.0,0.0,0.0,0.0227511,0,,,,2.0,3.0,,,,3.0,,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411451,home,Sampdoria,Jeison Murillo,jeison-murillo,J. Murillo,D,24,182,828,M,158599,EUR,706924800,D,21,21,False,50.0,47.0,2.0,2.0,25.0,26.0,22.0,24.0,4.0,,,,90.0,60.0,6.8,4.0,0.0,0.0,0.0120717,0,,,4.0,3.0,7.0,,,,3.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10411451,home,Sampdoria,Tommaso Augello,tommaso-augello,T. Augello,M,3,181,354,M,596736,EUR,778204800,D,3,3,False,49.0,45.0,4.0,4.0,24.0,24.0,23.0,29.0,5.0,,,,90.0,64.0,7.3,8.0,0.0,0.0,0.372141,0,,,1.0,2.0,2.0,,2.0,1.0,1.0,,,1.0,1.0,,,,1.0,2.0,,,1.0,4.0,2.0,1.0,,,,,,,,,,,
10411451,home,Sampdoria,Gonzalo Villar,gonzalo-villar,G. Villar,M,12,181,1019,M,914765,EUR,890611200,M,4,4,False,42.0,40.0,4.0,3.0,18.0,19.0,22.0,23.0,4.0,,,,86.0,53.0,6.5,3.0,0.0,0.0,0.0249469,0,,,,6.0,6.0,2.0,2.0,2.0,1.0,1.0,2.0,,,3.0,2.0,1.0,3.0,,,,,,,,1.0,,,,,,,,,,
10411451,home,Sampdoria,Mehdi Léris,mehdi-leris,M. Léris,M,7,186,1543,M,851222,EUR,895881600,M,37,37,False,40.0,33.0,2.0,1.0,11.0,13.0,22.0,32.0,5.0,,,,90.0,66.0,6.5,18.0,0.0667,0.0,0.0438119,1,,,2.0,7.0,7.0,2.0,,,,3.0,,,,4.0,3.0,1.0,2.0,,,,,5.0,,,,3.0,1.0,,,,,,,,
10411451,home,Sampdoria,Tomás Rincón,tomas-rincon,T. Rincón,M,8,175,2735,M,46798,EUR,569030400,M,8,8,False,58.0,50.0,5.0,2.0,22.0,25.0,29.0,34.0,5.0,,,,90.0,67.0,6.6,9.0,0.0649,0.0,0.0557368,2,,,1.0,4.0,4.0,2.0,1.0,,,,1.0,,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,2.0,,,,,,,
10411451,home,Sampdoria,Abdelhamid Sabiri,abdelhamid-sabiri,A. Sabiri,M,11,186,4184,M,807400,EUR,849139200,M,11,11,False,53.0,43.0,2.0,2.0,17.0,19.0,27.0,37.0,,,,,90.0,72.0,6.5,19.0,0.0,0.0,0.126537,0,,,2.0,7.0,5.0,1.0,3.0,1.0,,4.0,1.0,,,1.0,,1.0,2.0,1.0,,,,3.0,1.0,,,1.0,,,abdelhamidsabiri,,,,,,
10411451,home,Sampdoria,Filip Đuričić,filip-duricic,F. Đuričić,M,31,181,1068,M,69367,EUR,696729600,M,7,7,False,25.0,18.0,1.0,1.0,5.0,9.0,13.0,16.0,3.0,,,,79.0,41.0,6.9,14.0,0.2884,0.8948,0.0077391,2,,,,6.0,3.0,1.0,3.0,1.0,,1.0,,,,1.0,,1.0,,,,,,,,,,3.0,,1.0,,1.0,1.0,1.0,,,
