match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_accurateCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_wasFouled,stat_expectedGoals,stat_aerialLost,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_totalOffside,stat_bigChanceMissed,stat_goodHighClaim,stat_punches,stat_outfielderBlock,player_sofascoreId,stat_goals
12117152,home,Cuiabá,Walter,walter,Walter,G,22,188,774,M,329055,EUR,564192000,G,1,1,False,True,22.0,17.0,8.0,3.0,0.0,15.0,16.0,2.0,6.0,5.0,3.0,3.0,90.0,29.0,7.0,6.0,0.00208192,0,0.1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12117152,home,Cuiabá,Matheus Alexandre,matheus-alexandre,M. Alexandre,D,33,188,291,M,953736,EUR,923443200,D,2,2,False,,38.0,29.0,4.0,1.0,0.0,12.0,17.0,19.0,26.0,4.0,,,90.0,63.0,6.6,17.0,0.0590069,0,,,,5.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
12117152,home,Cuiabá,Marllon,marllon,Marllon,D,3,184,365,M,221206,EUR,703382400,D,4,4,False,,51.0,46.0,8.0,4.0,0.0,38.0,39.0,8.0,12.0,3.0,,,90.0,66.0,7.4,5.0,0.00301648,1,,,,,,3.0,,9.0,,,1.0,,4.0,4.0,,,,1.0,1.0,4.0,1.0,0.0263,,,,,,,,,,,,
12117152,home,Cuiabá,Alan Empereur,alan-empereur,A. Empereur,D,33,186,199,M,373740,EUR,763257600,D,33,33,False,,64.0,57.0,11.0,6.0,0.0,34.0,36.0,23.0,28.0,5.0,,,90.0,69.0,7.1,7.0,0.0144977,0,,,,,,3.0,1.0,5.0,,,,,2.0,2.0,,,1.0,,,2.0,,,1.0,,,,,,,,,,,
12117152,home,Cuiabá,Ramon,ramon,Ramon,D,13,176,862,M,980761,EUR,984441600,D,23,23,False,,37.0,32.0,1.0,1.0,0.0,13.0,14.0,20.0,27.0,4.0,,,90.0,65.0,7.0,15.0,0.0746027,2,,,,4.0,1.0,1.0,8.0,5.0,2.0,1.0,4.0,2.0,2.0,2.0,,1.0,2.0,2.0,,1.0,,0.0491,2.0,1.0,2.0,,,,,,,,,
12117152,home,Cuiabá,Jonathan Cafú,jonathan-cafu,Jonathan Cafú,M,11,175,197,M,790103,EUR,679104000,M,7,7,False,,10.0,9.0,,,0.0,2.0,2.0,7.0,8.0,1.0,,,57.0,20.0,7.1,4.0,0.00666047,1,,,,,,1.0,2.0,6.0,,1.0,3.0,,1.0,,2.0,1.0,1.0,3.0,,,1.0,0.0273,,,,1.0,0.1698,,,,,,,
12117152,home,Cuiabá,Fernando Sobral,fernando-sobral,F. Sobral,M,88,178,655,M,931479,EUR,787708800,M,88,88,False,,18.0,17.0,3.0,3.0,0.0,5.0,5.0,14.0,19.0,,,,45.0,32.0,6.9,9.0,0.181042,0,,,,6.0,2.0,,2.0,,,1.0,,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
12117152,home,Cuiabá,Lucas Mineiro,lucas-mineiro,L. Mineiro,M,8,188,116,M,840077,EUR,825120000,M,30,30,False,,42.0,39.0,3.0,3.0,0.0,18.0,20.0,21.0,22.0,5.0,,,75.0,49.0,7.0,4.0,0.0553821,2,,,,,,1.0,4.0,3.0,,,,1.0,1.0,1.0,1.0,4.0,1.0,,1.0,,1.0,0.1718,,,1.0,,,,,,,,,
12117152,home,Cuiabá,Denilson,denilson,Denilson,M,8,180,370,M,1175760,EUR,985305600,M,27,27,False,,54.0,50.0,3.0,1.0,0.0,24.0,25.0,26.0,30.0,6.0,,,90.0,73.0,6.9,13.0,0.0450591,1,,Denilson,,1.0,,1.0,12.0,7.0,1.0,5.0,5.0,1.0,3.0,3.0,1.0,5.0,1.0,3.0,,,,0.0087,,,,1.0,0.2777,,,,,,,
12117152,home,Cuiabá,Derik Lacerda,derik-lacerda,D. Lacerda,F,18,190,839,M,994190,EUR,938390400,M,22,22,False,,22.0,18.0,3.0,1.0,0.0,5.0,5.0,13.0,17.0,4.0,,,84.0,38.0,6.7,9.0,0.0166513,3,,,,,,3.0,6.0,6.0,,2.0,1.0,,3.0,2.0,2.0,3.0,,,1.0,,1.0,0.0708,,,1.0,1.0,0.2786,1.0,,,,,,
