match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_totalShots,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_possessionLostCtrl,stat_keyPass,stat_aerialWon,stat_dispossessed,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_fouls,player_firstName,player_lastName,player_sofascoreId,stat_challengeLost,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_goals,stat_totalOffside,captain,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_hitWoodwork,stat_clearanceOffLine
11453181,home,Al-Nassr,Raghed Al-Najjar,raghid-najjar,R. Al-Najjar,G,36,188.0,830,M,925920,EUR,843177600,G,36,36,False,5.0,5.0,5.0,5.0,1.0,26.0,5.0,6.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11453181,home,Al-Nassr,Sultan Al-Ghannam,sultan-al-ghannam,S. Al-Ghannam,D,2,173.0,1607,M,830126,EUR,768182400,D,2,2,False,39.0,35.0,17.0,18.0,6.0,81.0,65.0,8.4,1,1.0,1.0,2.0,22.0,27.0,6.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,,
11453181,home,Al-Nassr,Ali Lajami,ali-lajami,A. Lajami,D,78,175.0,1281,M,818667,EUR,830390400,D,78,78,False,61.0,59.0,41.0,41.0,2.0,90.0,73.0,6.8,0,2.0,2.0,,18.0,20.0,,,1.0,4.0,3.0,,,,,5.0,,,1.0,4.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
11453181,home,Al-Nassr,Aymeric Laporte,aymeric-laporte,A. Laporte,D,14,191.0,10350,M,149734,EUR,769996800,D,27,27,False,63.0,61.0,45.0,45.0,7.0,90.0,74.0,7.0,1,4.0,2.0,,16.0,18.0,,,2.0,4.0,2.0,,,,1.0,3.0,2.0,,,3.0,,1.0,,,1.0,1.0,1.0,,,laporte27,1.0,,,,,,,,,,,
11453181,home,Al-Nassr,Alex Telles,alex-telles,A. Telles,D,13,181.0,7625,M,312110,EUR,724377600,D,15,15,False,63.0,57.0,20.0,21.0,9.0,90.0,93.0,7.7,0,5.0,2.0,,41.0,52.0,10.0,4.0,2.0,3.0,5.0,1.0,1.0,,,3.0,1.0,1.0,2.0,14.0,3.0,1.0,,,1.0,1.0,,,,alextelles13,1.0,,,,,,,,,,,
11453181,home,Al-Nassr,Abdullah Al-Khaibari,abdullah-alkhaibari,A. Al-Khaibari,M,17,178.0,1250,M,867179,EUR,840153600,M,17,17,False,68.0,63.0,33.0,33.0,9.0,90.0,84.0,7.6,0,2.0,2.0,,30.0,35.0,,,,1.0,10.0,,,,,2.0,1.0,1.0,5.0,6.0,,,,,5.0,3.0,1.0,,,,,,,,,,,,,,,
11453181,home,Al-Nassr,Marcelo Brozović,marcelo-brozovic,M. Brozović,M,11,181.0,13081,M,108800,EUR,721872000,M,77,77,False,88.0,79.0,41.0,41.0,4.0,90.0,110.0,7.0,3,3.0,1.0,,40.0,51.0,4.0,2.0,,6.0,3.0,2.0,,,1.0,1.0,1.0,2.0,1.0,17.0,1.0,1.0,2.0,,1.0,,1.0,,,marcelo_brozovic,1.0,2.0,,,,,,,,,,
11453181,home,Al-Nassr,Anderson Talisca,anderson-talisca,A. Talisca,M,94,191.0,20484,M,329245,EUR,760060800,M,94,94,False,39.0,32.0,5.0,6.0,2.0,90.0,55.0,7.7,6,5.0,4.0,,27.0,33.0,,,4.0,4.0,4.0,1.0,1.0,,1.0,2.0,,2.0,3.0,9.0,2.0,,,1.0,,,,,,AndersonTalisca,,3.0,1.0,2.0,,,,,,,,
11453181,home,Al-Nassr,Otávio,otavio,Otávio,M,25,171.0,6951,M,244801,EUR,792288000,M,25,25,False,57.0,44.0,18.0,20.0,1.0,89.0,74.0,8.2,1,3.0,1.0,,26.0,38.0,1.0,,1.0,5.0,6.0,4.0,3.0,1.0,,,,3.0,,18.0,2.0,,,1.0,3.0,3.0,4.0,,,otavio,,1.0,,,1.0,,,,,,,
11453181,home,Al-Nassr,Sadio Mané,sadio-mane,S. Mané,M,10,175.0,169227,M,217704,EUR,702864000,M,10,10,False,48.0,40.0,8.0,10.0,7.0,90.0,74.0,7.9,1,2.0,1.0,,34.0,41.0,3.0,2.0,,7.0,7.0,6.0,2.0,1.0,1.0,,1.0,3.0,,19.0,6.0,1.0,2.0,,4.0,3.0,1.0,,,SadioMané,1.0,,,,,1.0,,,,,,
