match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialWon,stat_shotOffTarget,stat_aerialLost,stat_outfielderBlock,player_firstName,player_lastName,captain,stat_errorLeadToAShot,stat_accurateCross,stat_goals,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_blockedScoringAttempt,stat_clearanceOffLine,player_sofascoreId
12825259,home,Al-Taawoun,Mailson,mailson,Mailson,G,1,198.0,587,M,883367,EUR,840499200,G,1,1,False,27.0,16.0,17.0,7.0,0.0,10.0,11.0,6.0,16.0,7.0,1.0,4.0,5.0,90.0,34.0,6.8,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12825259,home,Al-Taawoun,Fahad Bin Jumayah,fahad-bin-jumayah,F. B. Jumayah,D,14,170.0,22,M,893514,EUR,800064000,D,14,14,False,27.0,23.0,3.0,2.0,0.0,12.0,12.0,11.0,16.0,1.0,,,,90.0,55.0,6.8,11.0,1,1.0,8.0,3.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
12825259,home,Al-Taawoun,Andrei Girotto,andrei-girotto,A. Girotto,D,3,186.0,274,M,794836,EUR,698284800,D,3,3,False,38.0,31.0,5.0,1.0,0.0,24.0,26.0,7.0,12.0,3.0,,,,90.0,50.0,6.6,7.0,1,,2.0,4.0,1.0,,,,,1.0,,9.0,,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,
12825259,home,Al-Taawoun,Muteb Al-Mufarrij,muteb-almufarrij,M. Al-Mufarrij,D,32,181.0,105,M,847379,EUR,840412800,D,32,32,False,28.0,25.0,2.0,1.0,0.0,21.0,23.0,4.0,5.0,1.0,,,,90.0,36.0,7.0,3.0,1,,1.0,2.0,,,,,,,,5.0,,,,,,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,
12825259,home,Al-Taawoun,Saad Fahad Al Nasser,saad-fahad-al-nasser,S. F. A. Nasser,D,96,172.0,581,M,1118494,EUR,978912000,D,8,8,False,24.0,21.0,4.0,3.0,0.0,13.0,14.0,8.0,10.0,6.0,,,,90.0,38.0,7.1,6.0,0,,2.0,5.0,1.0,,,,,,,1.0,3.0,4.0,3.0,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
12825259,home,Al-Taawoun,Ashraf El Mahdioui,ashraf-el-mahdioui,A. E. Mahdioui,M,18,183.0,1641,M,788348,EUR,832896000,M,18,18,False,54.0,51.0,4.0,4.0,0.0,24.0,26.0,27.0,28.0,6.0,,,,90.0,63.0,7.2,6.0,1,,4.0,1.0,,2.0,1.0,,1.0,,,3.0,,1.0,1.0,,,1.0,2.0,,1.0,,,,,True,,,,,,,,
12825259,home,Al-Taawoun,Sultan Mandash,sultan-mandash,S. Mandash,F,23,175.0,362,M,818568,EUR,782352000,M,27,27,False,17.0,15.0,,,0.0,6.0,6.0,9.0,12.0,3.0,,,,60.0,37.0,7.2,8.0,1,1.0,6.0,9.0,,2.0,8.0,6.0,,,,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,
12825259,home,Al-Taawoun,Flávio,flavio,Flávio,M,8,177.0,261,M,839521,EUR,823910400,M,24,24,False,24.0,22.0,,,0.0,10.0,11.0,12.0,13.0,1.0,,,,49.0,33.0,5.5,4.0,0,,3.0,2.0,,,2.0,1.0,,,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,
12825259,home,Al-Taawoun,Fayçal Fajr,faycal-fajr,F. Fajr,M,76,178.0,1037,M,143786,EUR,586396800,M,76,76,False,14.0,14.0,1.0,1.0,0.0,7.0,7.0,8.0,9.0,2.0,,,,35.0,19.0,6.8,2.0,0,2.0,,1.0,,,1.0,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,
12825259,home,Al-Taawoun,Musa Barrow,musa-barrow,M. Barrow,F,99,183.0,3277,M,916680,EUR,911001600,M,99,99,False,26.0,22.0,1.0,,0.0,6.0,6.0,17.0,23.0,2.0,,,,89.0,38.0,6.6,9.0,2,3.0,4.0,1.0,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,1.0,,1.0,2.0,,,1.0,,,,,,1.0,,,,,,
12825259,home,Al-Taawoun,Joao Pedro,joao-pedro,J. Pedro,F,9,182.0,429,M,351734,EUR,735436800,F,11,11,False,29.0,18.0,4.0,4.0,0.0,7.0,9.0,11.0,20.0,4.0,,,,90.0,47.0,7.5,19.0,5,,11.0,4.0,2.0,5.0,1.0,1.0,,,3.0,2.0,,,,2.0,1.0,1.0,,2.0,2.0,3.0,,,,,,,1.0,,,,,
12825259,home,Al-Taawoun,Sultan Farhan,sultan-farhan,S. Farhan,M,5,180.0,54,M,908619,EUR,843609600,M,6,6,True,27.0,24.0,2.0,2.0,0.0,12.0,15.0,12.0,12.0,1.0,,,,55.0,37.0,6.7,5.0,0,,5.0,4.0,1.0,1.0,,,,,,,1.0,3.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,
