match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_shotOffTarget,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_keyPass,stat_accurateLongBalls,stat_outfielderBlock,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_challengeLost,stat_goals,stat_totalOffside,player_firstName,player_lastName,stat_bigChanceMissed,stat_goodHighClaim,stat_punches
13473342,home,Red Bull Bragantino,Cleiton,cleiton,Cleiton,G,1,190,551,M,844576,EUR,871948800,G,1,1,False,True,17.0,15.0,2.0,0.0,15.0,15.0,2.0,1.0,10.0,2.0,4.0,1.0,1.0,90.0,31.0,6.8,2.0,9.189e-05,0,-0.8591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13473342,home,Red Bull Bragantino,José Andrés Hurtado,andres-hurtado,J. A. Hurtado,D,34,178,537,M,987589,EUR,1009065600,D,34,34,False,,47.0,41.0,2.0,0.0,15.0,18.0,29.0,7.0,5.0,,,,,90.0,76.0,7.2,13.0,0.407811,2,,26.0,8.0,3.0,4.0,3.0,6.0,7.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0674,2.0,,,,,,,,,,,,,,,,
13473342,home,Red Bull Bragantino,Pedro Henrique,pedro-henrique,P. Henrique,D,14,188,417,M,551774,EUR,812592000,D,14,14,False,,52.0,43.0,6.0,0.0,35.0,38.0,14.0,10.0,5.0,,,,,90.0,78.0,7.4,10.0,0.00200722,1,,8.0,,,4.0,5.0,5.0,9.0,,1.0,1.0,,1.0,,1.0,1.0,0.045,,2.0,1.0,5.0,2.0,1.0,,,,,,,,,,,
13473342,home,Red Bull Bragantino,Guzmán Rodríguez,guzman-rodriguez,G. Rodríguez,D,2,185,481,M,997239,EUR,949968000,D,2,2,False,,59.0,54.0,5.0,0.0,36.0,37.0,22.0,3.0,3.0,,,,,90.0,65.0,6.7,5.0,0.0103226,0,,18.0,,,2.0,2.0,2.0,4.0,,,,,,,1.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,
13473342,home,Red Bull Bragantino,Juninho Capixaba,juninho-capixaba,J. Capixaba,D,29,176,909,M,870556,EUR,868147200,D,29,29,False,,70.0,57.0,9.0,0.0,14.0,15.0,55.0,3.0,4.0,,,,,90.0,102.0,8.0,17.0,0.212168,4,,43.0,6.0,3.0,2.0,2.0,3.0,8.0,,1.0,1.0,,2.0,1.0,5.0,5.0,0.0535,5.0,6.0,,,,1.0,1.0,1.0,0.0361,,,,,,,,
13473342,home,Red Bull Bragantino,Matheus Fernandes,matheus-fernandes,M. Fernandes,M,35,183,759,M,840150,EUR,899164800,M,35,35,False,,40.0,34.0,2.0,0.0,13.0,15.0,25.0,2.0,7.0,,,,,67.0,54.0,6.2,10.0,0.0140055,1,,21.0,1.0,1.0,,1.0,9.0,4.0,2.0,1.0,,,,1.0,2.0,1.0,0.0143,,1.0,,,1.0,4.0,,1.0,,2.0,,,,,,,
13473342,home,Red Bull Bragantino,Gabriel Girotto,gabriel-girotto,Gabriel,M,6,171,540,M,242052,EUR,710726400,M,6,6,False,,62.0,51.0,3.0,0.0,26.0,32.0,30.0,,8.0,,,,,75.0,70.0,6.8,11.0,0.152153,0,,25.0,,,,,4.0,5.0,,,,,,,4.0,2.0,,1.0,1.0,,,1.0,1.0,,,,3.0,,,,,,,
13473342,home,Red Bull Bragantino,Ignacio Laquintana,ignacio-laquintana,I. Laquintana,M,19,177,612,M,948004,EUR,917827200,M,33,33,False,,25.0,21.0,,0.0,2.0,3.0,22.0,,3.0,,,,,64.0,35.0,7.3,10.0,0.0203931,2,,19.0,3.0,,,,1.0,,1.0,,,,1.0,,,,0.3123,,,,1.0,,,1.0,2.0,0.7949,,1.0,2.0,,,,,
13473342,home,Red Bull Bragantino,Jhon Jhon,jhon-jhon,Jhon Jhon,M,10,178,2841,M,1167069,EUR,1031529600,M,10,10,False,,41.0,30.0,7.0,0.0,4.0,4.0,37.0,,3.0,,,,,75.0,65.0,7.1,21.0,0.117339,1,,26.0,8.0,2.0,1.0,,5.0,6.0,3.0,3.0,3.0,,,1.0,1.0,1.0,0.2344,4.0,2.0,,,2.0,,,1.0,,1.0,,,Jhon Jhon,,,,
13473342,home,Red Bull Bragantino,Vinicinho,vinicinho,Vinicinho,F,17,174,339,M,1587965,EUR,1077235200,M,17,17,False,,13.0,10.0,,0.0,3.0,3.0,10.0,,3.0,,,,,67.0,26.0,6.5,9.0,0.0098155,0,,7.0,1.0,,2.0,,7.0,5.0,1.0,2.0,,,,,2.0,,,1.0,,,,3.0,2.0,,1.0,,,,,Vinicius,Mendonça Pereira,,,
