match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_progressiveBallCarriesCount,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_outfielderBlock,stat_interceptionWon,player_firstName,stat_totalCross,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_keyPass,stat_wonContest,stat_unsuccessfulTouch,stat_bestBallCarryProgression,stat_totalProgressiveBallCarriesDistance,player_lastName,stat_dispossessed,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_shotOffTarget,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_totalOffside,stat_expectedGoalsOnTarget,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_penaltyConceded,player_sofascoreId
15237911,home,Athletico,Santos,santos,Santos,G,23,188.0,1020,M,166491,EUR,637632000,G,23,23,False,True,16.0,9.0,10.0,3.0,0.0,7.0,10.0,2.0,6.0,1.0,4.0,2.0,4.0,1.0,1.0,90.0,24.0,7.1,7.0,0.00024464,10.287308880363,1.0,-0.25204128526606,0.0,0.782,0,0.9256,-0.01,-0.01,-0.03,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237911,home,Athletico,Carlos Terán,carlos-teran,C. Terán,D,13,188.0,341,M,974512,EUR,969753600,D,13,13,False,,46.0,33.0,10.0,2.0,0.0,28.0,33.0,5.0,13.0,10.0,3.0,,,,,90.0,65.0,6.4,15.0,0.00406117,113.84276951711,18.0,15.014800223201,0.0,,0,,0.02,0.07,0.45,,3.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237911,home,Athletico,Arthur Dias,arthur-dias,A. Dias,D,4,183.0,310,M,2063956,EUR,1176163200,D,4,4,False,,44.0,38.0,6.0,2.0,0.0,31.0,33.0,7.0,11.0,6.0,3.0,,,,,90.0,56.0,6.5,6.0,0.00358909,131.55499086689,21.0,18.211196826993,0.0,,0,,0.12,0.08,-0.05,,3.0,1.0,4.0,1.0,,,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15237911,home,Athletico,Lucas Esquivel,lucas-esquivel,L. Esquivel,D,37,183.0,1067,M,1087079,EUR,1003017600,D,37,37,False,,65.0,55.0,8.0,3.0,1.0,34.0,38.0,21.0,27.0,2.0,8.0,,,,,90.0,80.0,7.2,16.0,0.385663,171.74923097164,23.0,44.502747663572,0.0,,0,,0.53,0.07,-0.2,,1.0,1.0,4.0,3.0,,,,2.0,1.0,,,Lucas Esquivel,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
15237911,home,Athletico,Gastón Benavídez,gaston-benavidez,G. Benavídez,D,29,175.0,226,M,981452,EUR,814406400,M,29,29,False,,38.0,28.0,1.0,1.0,0.0,12.0,13.0,16.0,25.0,4.0,3.0,,,,,90.0,55.0,6.9,15.0,0.050272,72.389786497189,9.0,24.792730230665,1.0,,0,,0.27,0.09,0.44,,2.0,,3.0,1.0,,,,,2.0,1.0,1.0,,2.0,,1.0,,2.0,1.0,1.0,24.600698019385,32.015781358574,,,,,,,,,,,,,,,,,,
15237911,home,Athletico,Camilo Portilla,portilla-camilo,C. Portilla,M,27,183.0,1423,M,980580,EUR,905558400,M,27,27,False,,13.0,9.0,1.0,,0.0,6.0,6.0,3.0,7.0,,1.0,,,,,42.0,19.0,6.3,7.0,0.00108583,48.114221498679,7.0,-9.0399664051095,0.0,,1,,-0.08,0.12,-0.03,,,,4.0,1.0,,1.0,1.0,,2.0,,1.0,Camilo,1.0,1.0,,,,,1.0,,,Portilla,1.0,1.0,0.0661,-0.13,,,,,,,,,,,,,
15237911,home,Athletico,Bruno Zapelli,bruno-zapelli,Bruno Zapelli,M,10,181.0,1443,M,1092354,EUR,1021507200,M,10,10,False,,49.0,41.0,7.0,5.0,0.0,25.0,26.0,16.0,23.0,,11.0,,,,,89.0,73.0,7.6,14.0,0.345986,182.61146156705,25.0,68.224010909137,2.0,,2,,0.53,0.33,-0.07,,1.0,,7.0,6.0,,3.0,1.0,1.0,2.0,,3.0,,4.0,1.0,3.0,1.0,2.0,2.0,2.0,20.975166628287,29.77936664541,,2.0,1.0,0.0423,-0.17,3.0,1.0,,,,,,,,,,,
15237911,home,Athletico,Leonardo Derik,leonardo-derik,Leonardo Derik,D,6,168.0,217,M,1199277,EUR,1122163200,M,61,61,False,,24.0,23.0,1.0,1.0,0.0,11.0,12.0,12.0,12.0,2.0,3.0,,,,,67.0,41.0,7.2,3.0,0.0925553,108.17064259378,11.0,47.63913364321,2.0,,0,,0.38,0.04,0.21,,1.0,1.0,2.0,2.0,,,,,,1.0,,Leonardo Derik,3.0,1.0,1.0,,1.0,1.0,1.0,30.778506814555,52.644274754019,,,,,,2.0,,,,,,,,,,,,
15237911,home,Athletico,Stiven Mendoza,steven-mendoza,S. Mendoza,M,7,171.0,1016,M,354510,EUR,709603200,F,7,7,False,,26.0,22.0,1.0,1.0,0.0,8.0,8.0,14.0,18.0,,2.0,,,,,89.0,37.0,6.4,10.0,0.0634949,128.76075959577,13.0,62.266336878085,2.0,,2,,0.08,0.13,-0.03,,,,3.0,,,,,,1.0,,,,4.0,,1.0,,2.0,,1.0,39.413468232186,53.740275284623,,1.0,1.0,0.3599,-0.4,1.0,1.0,2.0,,,,,,,,,,
15237911,home,Athletico,Kevin Viveros,kevin-viveros,K. Viveros,F,9,180.0,1951,M,925124,EUR,954806400,F,9,9,False,,11.0,7.0,1.0,,0.0,2.0,3.0,5.0,8.0,,,,,,,90.0,27.0,7.9,11.0,0.0276942,134.51061271821,15.0,48.580880405274,3.0,,3,,-0.36,0.49,-0.02,,4.0,,11.0,5.0,,,,5.0,3.0,,,,1.0,,3.0,1.0,1.0,,2.0,15.150239330967,46.181203014162,,1.0,1.0,0.8832,0.57,,,,2.0,1.0,1.0,1.0,1.2079,,,,,
