match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_shotOffTarget,stat_totalClearance,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_keyPass,stat_aerialLost,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_challengeLost,stat_totalContest,stat_wonContest,stat_wonTackle,player_firstName,player_lastName,stat_dispossessed,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_hitWoodwork,stat_bigChanceMissed,stat_penaltyWon,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded
11352321,home,Chelsea,Đorđe Petrović,dorde-petrovic,Đ. Petrović,G,1,194,8562,M,dj.petrovic12,882604,EUR,939340800,G,28,28,False,19.0,14.0,8.0,4.0,13.0,16.0,1.0,3.0,1.0,1.0,7.0,2.0,3.0,4.0,90.0,30.0,8.0,5.0,6.538e-05,0,0.9963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11352321,home,Chelsea,Malo Gusto,gusto-malo,M. Gusto,D,27,179,19313,M,malogst,996958,EUR,1053302400,D,27,27,False,50.0,40.0,4.0,2.0,19.0,22.0,22.0,31.0,,1.0,2.0,,,,89.0,69.0,7.2,15.0,0.129609,1,,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0204,3.0,,,,,,,,,,,,,,,,,,,,,,,
11352321,home,Chelsea,Axel Disasi,axel-disasi,A. Disasi,D,4,190,9725,M,axel_disasi,827243,EUR,889574400,D,2,2,False,62.0,54.0,2.0,1.0,35.0,36.0,19.0,26.0,5.0,5.0,4.0,,,,90.0,71.0,7.3,11.0,0.00919558,1,,,,1.0,1.0,4.0,1.0,,,0.1048,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
11352321,home,Chelsea,Thiago Silva,thiago-silva,T. Silva,D,3,181,42659,M,ThiagoSilva,33541,EUR,464659200,D,6,6,False,66.0,59.0,4.0,,33.0,37.0,26.0,29.0,,1.0,3.0,,,,90.0,82.0,7.1,7.0,0.0141957,0,,,,4.0,,11.0,,,3.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,
11352321,home,Chelsea,Levi Colwill,levi-colwill,L. Colwill,D,6,187,17899,M,LColwill,996911,EUR,1046217600,D,26,26,False,57.0,43.0,7.0,3.0,15.0,21.0,28.0,38.0,2.0,10.0,10.0,,,,90.0,96.0,7.7,21.0,0.112205,1,,2.0,,8.0,1.0,6.0,1.0,,3.0,0.1047,1.0,2.0,,3.0,6.0,1.0,4.0,2.0,2.0,,,,,,,,,,,,,,,
11352321,home,Chelsea,Moisés Caicedo,moises-caicedo,M. Caicedo,M,25,178,79319,M,MoisesCaicedo55,987650,EUR,1004659200,M,25,25,False,51.0,47.0,2.0,2.0,25.0,28.0,22.0,23.0,2.0,6.0,6.0,,,,90.0,61.0,7.0,5.0,0.0298853,0,,,,8.0,,2.0,,,2.0,,1.0,2.0,1.0,,4.0,3.0,1.0,,3.0,,,,,,,,,,,,,,,
11352321,home,Chelsea,Enzo Fernández,enzo-fernandez,E. Fernández,M,8,177,121227,M,Enzo8,974505,EUR,979689600,M,8,8,False,63.0,52.0,9.0,6.0,21.0,22.0,33.0,43.0,,9.0,6.0,,,,90.0,95.0,8.0,20.0,0.347006,2,,2.0,2.0,7.0,1.0,3.0,4.0,2.0,2.0,0.1552,3.0,,1.0,1.0,3.0,2.0,6.0,4.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,
11352321,home,Chelsea,Cole Palmer,cole-palmer,C. Palmer,M,10,185,363781,M,ColdPalmer,982780,EUR,1020643200,M,20,20,False,44.0,37.0,3.0,3.0,7.0,9.0,30.0,41.0,,2.0,2.0,,,,89.0,64.0,8.2,17.0,0.679474,3,,6.0,,1.0,1.0,1.0,2.0,,,0.8503,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,2.0,1.0,1.058,,,,,,,
11352321,home,Chelsea,Conor Gallagher,conor-gallagher,C. Gallagher,M,22,182,16658,M,conorgallagher92,904970,EUR,949795200,M,23,23,False,50.0,44.0,1.0,,14.0,15.0,30.0,36.0,1.0,4.0,7.0,,,,90.0,65.0,7.4,10.0,0.0832056,3,,1.0,,7.0,2.0,1.0,2.0,1.0,,0.1986,2.0,5.0,,,2.0,1.0,,,1.0,,,1.0,,1.0,,,,True,1.0,,,,,
11352321,home,Chelsea,Raheem Sterling,raheem-sterling,R. Sterling,F,,170,36469,M,Sterling7,138534,EUR,786844800,M,7,7,False,24.0,19.0,,,3.0,4.0,16.0,21.0,,5.0,3.0,,,,77.0,45.0,7.2,11.0,0.0489435,3,,1.0,,7.0,1.0,2.0,1.0,3.0,2.0,0.4112,,1.0,,2.0,1.0,,3.0,1.0,,,,2.0,,2.0,,,,,1.0,1.0,1.0,2.0,,
