match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,captain,stat_dispossessed,stat_outfielderBlock,stat_wasFouled,stat_totalOffside,stat_totalContest,stat_wonTackle,stat_fouls,stat_challengeLost,stat_accurateCross,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_wonContest,stat_goals,stat_hitWoodwork,stat_goalAssist,stat_bigChanceCreated
10352155,home,Kickers Offenbach,David Richter,david-richter,D. Richter,G,26,196.0,7,M,941100,EUR,921628800,G,23,23,False,23.0,15.0,10.0,3.0,14.0,18.0,1.0,5.0,1.0,12.0,2.0,2.0,3.0,1.0,1.0,90.0,35.0,5.9,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10352155,home,Kickers Offenbach,Jayson Breitenbach,jayson-breitenbach,J. Breitenbach,D,27,183.0,2,M,886150,EUR,894931200,D,27,27,False,19.0,8.0,6.0,,7.0,11.0,1.0,10.0,,6.0,,,,,,72.0,32.0,6.2,16.0,1,,,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10352155,home,Kickers Offenbach,Sebastian Zieleniecki,sebastian-zieleniecki,S. Zieleniecki,D,5,188.0,5,M,189119,EUR,792892800,D,5,5,False,35.0,24.0,9.0,3.0,20.0,26.0,4.0,9.0,5.0,5.0,,,,,,90.0,48.0,6.2,13.0,0,Sebastian,Zieleniecki,,2.0,,3.0,2.0,,1.0,1.0,1.0,,True,1.0,1.0,1.0,1.0,,,,,,,,,,,,
10352155,home,Kickers Offenbach,Jakob Zitzelsberger,jakob-zitzelsberger,J. Zitzelsberger,D,,188.0,1,M,879164,EUR,853718400,D,36,36,False,35.0,29.0,7.0,5.0,18.0,21.0,11.0,15.0,8.0,6.0,,,,,,90.0,62.0,6.6,17.0,2,Jakob,Zitzelsberger,1.0,1.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0,,,,,,,1.0,2.0,2.0,,,,,,,,,
10352155,home,Kickers Offenbach,Ronny Marcos,ronny-marcos,R. Marcos,D,31,174.0,5,M,169073,EUR,749433600,D,31,31,False,8.0,4.0,5.0,2.0,2.0,3.0,2.0,6.0,,2.0,,,,,,61.0,18.0,6.1,9.0,0,Ronny,Marcos,1.0,1.0,2.0,3.0,3.0,,2.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,
10352155,home,Kickers Offenbach,Jost Mairose,jost-mairose,J. Mairose,M,21,,1,M,920409,EUR,907286400,M,18,18,False,10.0,7.0,2.0,2.0,2.0,4.0,5.0,6.0,,6.0,,,,,,45.0,18.0,6.7,4.0,0,,,,1.0,,3.0,2.0,,3.0,1.0,,,,,,1.0,,1.0,,1.0,,,,,,,,,
10352155,home,Kickers Offenbach,Björn Jopek,bjorn-jopek,B. Jopek,M,,182.0,1,M,142796,EUR,746150400,M,25,25,False,37.0,18.0,11.0,2.0,11.0,16.0,8.0,23.0,2.0,11.0,,,,,,90.0,55.0,6.6,23.0,2,,,2.0,1.0,2.0,3.0,6.0,1.0,1.0,2.0,2.0,2.0,,,1.0,2.0,,,1.0,2.0,,1.0,1.0,,,,,,
10352155,home,Kickers Offenbach,Semir Šarić,semir-saric,S. Šarić,M,7,176.0,6,M,844936,EUR,873676800,M,10,10,False,7.0,3.0,,,,,3.0,9.0,,2.0,,,,,,61.0,16.0,6.4,7.0,2,,,2.0,1.0,,4.0,,,1.0,,,1.0,,1.0,,,,,,2.0,,,1.0,1.0,,,,,
10352155,home,Kickers Offenbach,Lucas Hermes,hermes-lucas,L. Hermes,F,27,182.0,5,M,991241,EUR,953769600,F,13,13,False,12.0,9.0,2.0,2.0,2.0,4.0,8.0,10.0,,3.0,,,,,,90.0,24.0,6.8,8.0,2,Lucas,Hermes,2.0,2.0,1.0,3.0,2.0,1.0,,1.0,3.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,,,,,,
10352155,home,Kickers Offenbach,Jakob Lemmer,jakob-lemmer,J. Lemmer,F,10,179.0,97,M,992144,EUR,956620800,F,19,19,False,9.0,6.0,,,1.0,1.0,5.0,8.0,1.0,2.0,,,,,,90.0,21.0,7.1,6.0,4,,,,3.0,,4.0,2.0,,,,1.0,,,,,1.0,,2.0,,,,,3.0,1.0,1.0,1.0,,,
