match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,captain,stat_duelLost,stat_challengeLost,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_aerialLost,stat_blockedScoringAttempt,stat_keyPass,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_wasFouled,stat_penaltyWon,stat_wonContest,stat_outfielderBlock,stat_fouls,stat_dispossessed,stat_bigChanceCreated,stat_goals,stat_totalOffside,stat_totalCross,stat_accurateCross,stat_bigChanceMissed,stat_penaltyMiss,stat_goalAssist,stat_penaltySave,stat_penaltyFaced,stat_ownGoals,stat_penaltyConceded,stat_lastManTackle,stat_errorLeadToAShot
10385602,home,Nottingham Forest,Cheikhou Kouyaté,cheikhou-kouyate,C. Kouyaté,M,8,189,2529,M,,45944,EUR,630201600,M,21,21,True,5.0,3.0,,,1.0,2.0,2.0,3.0,,3.0,2.0,3.0,,,,,25.0,13.0,6.7,3.0,0.0,0.0,0.00592181,0,,,2.0,,,,2.0,1.0,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,
10385602,home,Nottingham Forest,André Ayew,andre-ayew,A. Ayew,F,24,176,5860,M,andreayew10,27035,EUR,629856000,F,34,34,True,4.0,1.0,,,,,1.0,4.0,,1.0,,1.0,,,,,10.0,5.0,6.6,3.0,0.0,0.0,9.67e-05,0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,home,Nottingham Forest,Harry Toffolo,harry-toffolo,H. Toffolo,D,15,183,338,M,,358218,EUR,808790400,D,15,15,True,1.0,,,,,,,2.0,,,,,,,,,19.0,4.0,6.5,2.0,0.0,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
10385602,home,Nottingham Forest,Wayne Hennessey,wayne-hennessey,W. Hennessey,G,,198,248,M,,16620,EUR,538444800,G,13,13,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,home,Nottingham Forest,Remo Freuler,remo-freuler,R. Freuler,M,8,181,1928,M,,115516,EUR,703296000,M,23,23,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,home,Nottingham Forest,Jesse Lingard,jesse-lingard,J. Lingard,F,10,174,12067,M,JLingz,205508,EUR,724377600,M,11,11,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,home,Nottingham Forest,Sam Surridge,sam-surridge,S. Surridge,F,9,191,1588,M,,817567,EUR,901584000,F,16,16,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,home,Nottingham Forest,Emmanuel Dennis,emmanuel-dennis,E. B. Dennis,F,17,174,1390,M,,844424,EUR,879552000,F,25,25,True,,,,,,,,,,,,,,,,,,,,,,0.0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10385602,away,Brighton & Hove Albion,Jason Steele,jason-steele,J. Steele,G,23,188,538,M,,31867,EUR,650937600,G,23,23,False,33.0,32.0,1.0,,32.0,32.0,,1.0,,,2.0,7.0,,3.0,3.0,1.0,90.0,41.0,6.7,1.0,0.0,0.0,0.00012069,0,-0.4911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
10385602,away,Brighton & Hove Albion,Pascal Groß,pascal-gross,P. Groß,M,30,181,4733,M,pascalgross65,48480,EUR,676944000,D,13,13,False,56.0,45.0,5.0,2.0,22.0,27.0,25.0,35.0,2.0,6.0,,3.0,,,,,90.0,74.0,6.5,16.0,0.0,0.0,0.139369,0,,,4.0,1.0,1.0,,3.0,3.0,,,,1.0,,3.0,,,,,1.0,,1.0,1.0,,,,6.0,2.0,,,,,,1.0,,,
