match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,from,length,confirmed,injury,description
10385602,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,,,
10385602,,,,,90,14.0,,1,,,card,Keylor Navas,Time wasting,False,120735439.0,True,yellow,56113.0,Keylor Navas,,,,,
10385602,,3.0,1.0,,90,1.0,,1,,,goal,,,,168746592.0,True,penalty,865912.0,Morgan Gibbs-White,penalty,,,,
10385602,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,,10.0,,,
10385602,,,,,89,,,2,,,varDecision,,,,17060.0,True,penaltyNotAwarded,865912.0,Morgan Gibbs-White,,,False,,
10385602,,,,,88,,,3,,,substitution,,,,121734704.0,False,regular,,,,,,False,
10385602,,,,,86,,,5,,,substitution,,,,121734703.0,True,regular,,,,,,False,
10385602,,,,,80,,,11,,,substitution,,,,121734680.0,True,regular,,,,,,False,
10385602,,,,,75,,,16,,,substitution,,,,121734672.0,False,regular,,,,,,False,
10385602,,,,,72,,,19,,,substitution,,,,121734660.0,False,regular,,,,,,False,
10385602,,2.0,1.0,,69,,,22,,,goal,,,,168746475.0,True,regular,1064039.0,Danilo,,,,,
10385602,,,,,65,,,26,,,substitution,,,,121734639.0,True,injury,,,,,,True,
10385602,HT,1.0,1.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,,,
10385602,,1.0,1.0,,45,3.0,,1,,,goal,,,,168746017.0,True,ownGoal,48480.0,Pascal Groß,owngoal,,,,
10385602,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,,3.0,,,
10385602,,0.0,1.0,,38,,,8,,,goal,,,,168745873.0,False,regular,1117025.0,Facundo Buonanotte,,,,,
10385602,,,,,14,,,32,,,substitution,,,,121734437.0,True,injury,,,,,,True,
10385602,,,,,11,,,35,,,inGamePenalty,,goalkeeperSave,,118420962.0,True,missed,1085180.0,Brennan Johnson,,,,,Goalkeeper save
10385602,,,,,4,,,42,,,card,Felipe,Argument,False,120735289.0,True,yellow,242211.0,Felipe,,,,,
