match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_crossNotClaimed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_expectedGoals,stat_expectedGoalsOnTarget,captain,stat_wonTackle,stat_challengeLost,stat_lastManTackle,stat_totalCross,stat_totalOffside,stat_keyPass,stat_accurateCross,stat_bigChanceMissed,stat_blockedScoringAttempt,stat_shotOffTarget,player_sofascoreId,stat_bigChanceCreated,stat_hitWoodwork,stat_goals
12530790,home,Adana Demirspor,Deniz Eren Dönmezer,donmezer-deniz-eren,D. E. Donmezer,G,27,190,590,M,1550760,EUR,1221955200,G,27,27,False,31.0,19.0,20.0,9.0,0.0,12.0,15.0,7.0,16.0,1.0,13.0,1.0,1.0,3.0,5.0,7.0,1.0,90.0,51.0,7.1,12.0,0.00136831,0,-0.3495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530790,home,Adana Demirspor,Arda Kurtulan,arda-kurtulan,A. Kurtulan,D,2,183,386,M,1063395,EUR,1037664000,D,99,99,False,33.0,20.0,3.0,,0.0,9.0,13.0,11.0,20.0,2.0,3.0,,,,,,,90.0,56.0,5.9,18.0,0.00742556,0,,Arda Kurtulan,,2.0,6.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,
12530790,home,Adana Demirspor,Tolga Kalender,tolga-kalender,T. Kalender,D,5,191,42,M,903851,EUR,998006400,D,55,55,False,22.0,15.0,6.0,1.0,0.0,14.0,16.0,1.0,6.0,,1.0,,,,,,,66.0,36.0,7.0,9.0,0.0004283,1,,,,1.0,1.0,4.0,,,,1.0,1.0,,1.0,,2.0,1.0,1.0,0.0333,0.0637,,,,,,,,,,,,,,,
12530790,home,Adana Demirspor,Semih Güler,semih-guler,S. Güler,D,6,184,112,M,325155,EUR,786153600,D,4,4,False,48.0,36.0,15.0,4.0,0.0,28.0,29.0,8.0,19.0,7.0,4.0,,,,,,,90.0,69.0,6.8,14.0,0.00262628,0,,,,,1.0,5.0,,1.0,1.0,,4.0,,,1.0,,,2.0,,,True,3.0,,,,,,,,,,,,,
12530790,home,Adana Demirspor,Jovan Manev,jovan-manev,J. Manev,D,29,185,186,M,1111781,EUR,980380800,D,15,15,False,32.0,28.0,8.0,4.0,0.0,24.0,24.0,4.0,8.0,5.0,5.0,,,,,,,90.0,44.0,6.3,6.0,0.236963,0,,Jovan Manev,,4.0,5.0,5.0,,,,1.0,,1.0,1.0,,4.0,,,,,,,1.0,,,,,,,,,,,,
12530790,home,Adana Demirspor,Abdulsamet Burak,abdulsamet-burak,A. Burak,D,3,182,40,M,900798,EUR,831945600,D,23,23,False,41.0,29.0,2.0,1.0,0.0,21.0,25.0,8.0,16.0,2.0,5.0,,,,,,,90.0,54.0,6.1,14.0,0.00278108,0,,,,3.0,4.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,
12530790,home,Adana Demirspor,Ali Yavuz Kol,ali-yavuz-kol,A. Y. Kol,M,11,175,109,M,910091,EUR,980726400,M,80,80,False,18.0,9.0,1.0,1.0,0.0,5.0,6.0,4.0,15.0,1.0,5.0,,,,,,,80.0,37.0,6.5,18.0,0.00239752,0,,,,2.0,8.0,9.0,1.0,1.0,,,3.0,4.0,1.0,4.0,5.0,,,,,,3.0,,,3.0,1.0,,,,,,,,,
12530790,home,Adana Demirspor,İzzet Çelik,celik-izzet,İ. Çelik,M,6,166,68,M,826836,EUR,1087689600,M,16,16,False,28.0,23.0,3.0,2.0,0.0,9.0,10.0,14.0,18.0,,4.0,,,,,,,80.0,34.0,6.3,6.0,0.0595898,0,,,,,4.0,4.0,,1.0,,,3.0,,1.0,1.0,,,,,,,2.0,2.0,,,,1.0,,,,,,,,
12530790,home,Adana Demirspor,Maestro,maestro,Maestro,M,58,173,1198,M,1002146,EUR,1059955200,M,58,58,False,31.0,27.0,1.0,1.0,0.0,13.0,13.0,14.0,18.0,2.0,8.0,,,,,,,89.0,48.0,6.7,8.0,0.0116707,0,,,,1.0,3.0,4.0,1.0,1.0,,2.0,1.0,2.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,
12530790,home,Adana Demirspor,Yusuf Barası,yusuf-barasi,Y. Barası,F,9,182,285,M,1000187,EUR,1049068800,M,11,11,False,9.0,8.0,1.0,1.0,0.0,2.0,2.0,6.0,7.0,,,,,,,,,56.0,23.0,5.6,7.0,0.00420576,0,,,,2.0,9.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,,,,,,,1.0,,,,1.0,,,,,,,,,
12530790,home,Adana Demirspor,Nabil Alioui,alioui-nabil,N. Alioui,F,10,175,374,M,873049,EUR,919296000,F,10,10,False,2.0,1.0,,,0.0,1.0,1.0,1.0,3.0,,,,,,,,,45.0,9.0,6.7,4.0,0.0459839,1,,,,1.0,2.0,,,1.0,,,,1.0,,1.0,,1.0,,0.1821,0.1673,,,,,2.0,,1.0,1.0,,,,,,,
