match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_goodHighClaim,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,stat_totalCross,stat_aerialLost,stat_duelLost,stat_blockedScoringAttempt,stat_totalClearance,stat_fouls,stat_totalOffside,stat_expectedGoals,stat_keyPass,stat_interceptionWon,stat_unsuccessfulTouch,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceCreated,captain,stat_challengeLost,stat_accurateCross,stat_totalContest,stat_shotOffTarget,stat_wonContest,stat_goals,stat_dispossessed,stat_bigChanceMissed,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_outfielderBlock
12764362,home,AS Monaco,Philipp Köhn,,,philipp-kohn,P. Köhn,G,16,191,727,M,868964,EUR,891475200,G,16,16,False,18.0,12.0,9.0,3.0,0.0,11.0,16.0,1.0,2.0,1.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,26.0,6.6,6.0,0.00019698,0,-0.7403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12764362,home,AS Monaco,Wilfried Singo,,,wilfried-singo,W. Singo,D,90,190,12176,M,978285,EUR,977702400,D,17,17,False,44.0,37.0,5.0,1.0,0.0,21.0,22.0,16.0,28.0,,3.0,7.0,1.0,2.0,2.0,1.0,,,,90.0,65.0,7.1,14.0,0.225084,1,,stephane_singo,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0346,1.0,,,,,,,,,,,,,,,,,,
12764362,home,AS Monaco,Thilo Kehrer,,,thilo-kehrer,T. Kehrer,D,5,186,1906,M,281277,EUR,843264000,D,5,5,False,58.0,54.0,6.0,4.0,0.0,37.0,40.0,17.0,18.0,,1.0,6.0,,1.0,1.0,,,,,90.0,63.0,6.8,6.0,0.00895148,1,,,,1.0,2.0,1.0,,1.0,,0.0712,,1.0,2.0,,,,,,,,,,,,,,,,
12764362,home,AS Monaco,Mohammed Salisu,,,mohammed-salisu,M. Salisu,D,22,188,5698,M,946158,EUR,924307200,D,22,22,False,57.0,50.0,12.0,8.0,0.0,26.0,28.0,24.0,29.0,5.0,7.0,1.0,,2.0,1.0,,,,,90.0,70.0,7.4,9.0,0.0173939,1,,salisu_sarki,,1.0,2.0,,3.0,1.0,,0.0501,,2.0,1.0,1.0,0.3017,,,,,,,,,,,,,,
12764362,home,AS Monaco,Vanderson,Vanderson,,vanderson,Vanderson,D,2,173,6128,M,1090694,EUR,993081600,D,2,2,False,42.0,31.0,9.0,4.0,2.0,6.0,9.0,25.0,33.0,2.0,4.0,6.0,,1.0,1.0,1.0,,,,88.0,62.0,8.2,16.0,0.237645,1,,,,1.0,3.0,,3.0,2.0,,0.0146,3.0,2.0,2.0,1.0,0.0943,1.0,,,,,,,,,,,,,
12764362,home,AS Monaco,Denis Zakaria,,,denis-zakaria,D. Zakaria,M,6,191,3240,M,770677,EUR,848448000,M,6,6,False,45.0,44.0,3.0,3.0,0.0,26.0,26.0,18.0,19.0,,2.0,7.0,,1.0,1.0,1.0,,,,90.0,54.0,7.1,2.0,0.0300054,0,,,,1.0,2.0,,,1.0,,,3.0,,1.0,,,,True,1.0,,,,,,,,,,,
12764362,home,AS Monaco,Lamine Camara,Lamine Camara,,camara-lamine,L. Camara,M,15,174,20386,M,1389846,EUR,1072915200,M,15,15,False,19.0,14.0,4.0,1.0,0.0,6.0,7.0,9.0,14.0,,1.0,2.0,,,,1.0,,,,45.0,34.0,6.4,10.0,0.0959938,2,,lamine_camara_5,2.0,,2.0,1.0,,1.0,,0.1209,1.0,,2.0,,,,,,1.0,1.0,1.0,,,,,,,,
12764362,home,AS Monaco,Maghnes Akliouche,,,maghnes-akliouche,M. Akliouche,M,11,183,5956,M,1130939,EUR,1014595200,M,11,11,False,39.0,35.0,3.0,1.0,0.0,9.0,10.0,27.0,32.0,,4.0,4.0,,1.0,1.0,1.0,,,,90.0,53.0,7.8,9.0,0.129578,1,,,3.0,1.0,4.0,,,2.0,,0.0863,1.0,1.0,2.0,1.0,0.6189,,,1.0,1.0,2.0,,2.0,1.0,,,,,,
12764362,home,AS Monaco,Takumi Minamino,,,takumi-minamino,T. Minamino,M,18,174,8843,M,155818,EUR,790214400,M,18,18,False,10.0,6.0,1.0,,0.0,1.0,1.0,5.0,9.0,,3.0,2.0,,2.0,1.0,1.0,,,,69.0,21.0,7.0,7.0,0.0062412,3,,Minamino,,,1.0,2.0,,,1.0,0.1366,2.0,1.0,1.0,,,,,,,,1.0,,,1.0,,,,,
12764362,home,AS Monaco,Eliesse Ben Seghir,,,eliesse-ben-seghir,E. Ben Seghir,M,17,178,21522,M,1394353,EUR,1108512000,M,7,7,False,34.0,25.0,,,0.0,5.0,6.0,21.0,29.0,,6.0,5.0,,2.0,2.0,2.0,,,,70.0,49.0,7.0,14.0,0.0354889,2,,benseghir44,1.0,,6.0,,,2.0,,0.0636,,,2.0,1.0,0.1495,,,1.0,1.0,5.0,1.0,2.0,,,,,,,
