match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_duelLost,stat_dispossessed,stat_totalContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_aerialLost,stat_fouls,stat_keyPass,stat_goalAssist,stat_blockedScoringAttempt,stat_challengeLost,stat_wonContest,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_totalOffside,captain,stat_bigChanceCreated,stat_bigChanceMissed,stat_shotOffTarget,player_firstName,player_lastName
10411594,home,Bologna,Łukasz Skorupski,lukasz-skorupski,Ł. Skorupski,G,1,187.0,4421,M,lukaszskorupski28,44906,EUR,673401600,G,28,28,False,24.0,18.0,12.0,6.0,13.0,16.0,5.0,8.0,1.0,1.0,1.0,9.0,1.0,1.0,2.0,3.0,1.0,90.0,36.0,7.7,6.0,0.0,0.0,0.00158637,0,0.5291,,,,,,,,,,,,,,,,,,,,,,,,,,
10411594,home,Bologna,Stefan Posch,stefan-posch,S. Posch,D,4,188.0,1364,M,,355486,EUR,863568000,D,3,3,False,45.0,31.0,7.0,1.0,25.0,28.0,7.0,19.0,2.0,9.0,2.0,4.0,,,,,,90.0,78.0,7.4,22.0,0.0,0.0,0.0130747,0,,2.0,1.0,2.0,1.0,1.0,2.0,7.0,5.0,3.0,,,,,,,,,,,,,,,,,
10411594,home,Bologna,Adama Soumaoro,adama-soumaoro,A. Soumaoro,D,,187.0,123,M,,158573,EUR,708825600,D,5,5,False,51.0,49.0,2.0,1.0,45.0,46.0,4.0,5.0,3.0,3.0,4.0,1.0,,,,,,84.0,59.0,6.9,4.0,0.0,0.0,0.00171143,0,,,,3.0,,,1.0,,,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,
10411594,home,Bologna,Jhon Lucumí,jhon-lucumi,J. Lucumí,D,26,185.0,4571,M,,818481,EUR,898819200,D,26,26,False,74.0,69.0,5.0,2.0,55.0,57.0,15.0,18.0,,,2.0,6.0,,,,,,90.0,81.0,7.3,5.0,0.0,0.0,0.0660879,0,,1.0,1.0,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,
10411594,home,Bologna,Charalampos Lykogiannis,charalampos-lykogiannis,C. Lykogiannīs,D,22,188.0,706,M,,98212,EUR,751248000,D,22,22,False,37.0,26.0,7.0,3.0,16.0,22.0,11.0,22.0,1.0,3.0,3.0,2.0,,,,,,90.0,61.0,7.3,18.0,0.0128,0.0,0.0188139,1,,7.0,1.0,,,,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,
10411594,home,Bologna,Gary Medel,gary-medel,G. Medel,D,17,171.0,1848,M,,22975,EUR,554947200,M,17,17,False,61.0,57.0,3.0,3.0,34.0,34.0,23.0,27.0,3.0,5.0,1.0,11.0,1.0,,,,,77.0,68.0,7.1,5.0,0.0,0.0,0.0230424,0,,,,2.0,,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,,,,
10411594,home,Bologna,Nicolás Domínguez,nicolas-dominguez,N. Domínguez,M,16,179.0,3183,M,,871765,EUR,898992000,M,8,8,False,62.0,51.0,7.0,3.0,17.0,22.0,34.0,40.0,,4.0,1.0,5.0,1.0,,,,,90.0,71.0,7.3,12.0,0.0239,0.1127,0.258037,1,,,,4.0,,,,3.0,3.0,1.0,,2.0,1.0,1.0,,2.0,,,1.0,,,,,,,,
10411594,home,Bologna,Michel Aebischer,michel-aebischer,M. Aebischer,M,20,182.0,1236,M,,850891,EUR,852508800,M,20,20,False,21.0,17.0,1.0,,7.0,8.0,10.0,15.0,,,1.0,2.0,,,,,,68.0,29.0,7.2,8.0,0.067,0.5245,0.0204013,1,,2.0,,,,,1.0,,,2.0,,,,,,,,,1.0,1.0,2.0,,,,,,
10411594,home,Bologna,Lewis Ferguson,lewis-ferguson,L. Ferguson,M,19,181.0,1972,M,,907152,EUR,935452800,M,19,19,False,38.0,31.0,5.0,2.0,17.0,18.0,14.0,20.0,1.0,5.0,3.0,4.0,1.0,,,,,90.0,60.0,7.2,12.0,0.0607,0.6775,0.0230276,1,,,,9.0,3.0,,1.0,4.0,,2.0,1.0,5.0,,,,,,,1.0,1.0,,,,,,,
10411594,home,Bologna,Roberto Soriano,roberto-soriano,R. Soriano,M,,182.0,251,,,80406,EUR,665971200,M,21,21,False,43.0,35.0,1.0,1.0,11.0,12.0,24.0,31.0,,3.0,1.0,7.0,1.0,,,,,90.0,55.0,7.7,9.0,0.0452,0.0,0.210057,2,,,,,,1.0,,1.0,1.0,1.0,,,2.0,1.0,2.0,,1.0,1.0,,,,True,1.0,,,,
