match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_totalCross,stat_duelLost,stat_totalContest,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_aerialLost,stat_interceptionWon,stat_dispossessed,stat_goals,stat_unsuccessfulTouch,stat_accurateCross,stat_wonContest,stat_shotOffTarget,player_sofascoreId,stat_challengeLost,stat_fouls,stat_keyPass,stat_goalAssist,stat_bigChanceCreated,captain,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_blockedScoringAttempt
10995489,home,PSV Eindhoven,Joël Drommel,,,joel-drommel,J. Drommel,G,1,189.0,377,M,610396,EUR,848102400,G,16,16,False,25.0,22.0,13.0,10.0,17.0,17.0,5.0,8.0,1.0,1.0,1.0,3.0,1.0,1.0,90.0,28.0,6.4,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10995489,home,PSV Eindhoven,Jordan Teze,,,jordan-teze,J. Teze,D,4,183.0,1078,M,825846,EUR,938649600,D,3,3,False,107.0,94.0,9.0,5.0,44.0,49.0,50.0,62.0,2.0,7.0,,9.0,,,90.0,132.0,7.6,18.0,1,4.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,
10995489,home,PSV Eindhoven,André Ramalho,,,andre-ramalho,A. Ramalho,D,5,182.0,5367,M,148155,EUR,698198400,D,5,5,False,107.0,99.0,1.0,1.0,63.0,68.0,36.0,39.0,5.0,5.0,,8.0,,,90.0,112.0,6.9,10.0,0,,1.0,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,
10995489,home,PSV Eindhoven,Jarrad Branthwaite,,,jarrad-branthwaite,J. Branthwaite,D,32,195.0,2594,M,979563,EUR,1025136000,D,22,22,False,91.0,80.0,5.0,3.0,50.0,55.0,30.0,36.0,4.0,8.0,3.0,9.0,,,85.0,104.0,9.0,13.0,2,,2.0,,2.0,,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,
10995489,home,PSV Eindhoven,Patrick van Aanholt,,,patrick-van-aanholt,P. v. Aanholt,D,14,175.0,555,M,74577,EUR,651888000,D,30,30,False,37.0,33.0,,,12.0,13.0,23.0,29.0,,8.0,1.0,4.0,,,80.0,58.0,7.6,7.0,1,5.0,,3.0,,,5.0,3.0,,,1.0,,,,2.0,3.0,1.0,,,,,,,,,,
10995489,home,PSV Eindhoven,Ibrahim Sangaré,,,ibrahim-sangare,I. Sangaré,M,6,191.0,10122,M,843754,EUR,881020800,M,6,6,False,90.0,79.0,3.0,1.0,29.0,32.0,50.0,59.0,1.0,6.0,1.0,18.0,,,90.0,107.0,7.6,13.0,3,1.0,6.0,1.0,2.0,1.0,4.0,2.0,,,2.0,1.0,,,,1.0,1.0,ibrahim_sangare,3.0,2.0,1.0,,,,,,
10995489,home,PSV Eindhoven,Joey Veerman,,,joey-veerman,J. Veerman,M,23,185.0,3777,M,850816,EUR,911433600,M,23,23,False,85.0,74.0,14.0,11.0,26.0,26.0,48.0,64.0,,3.0,,9.0,,,90.0,101.0,8.2,19.0,1,5.0,5.0,1.0,1.0,,1.0,,2.0,,2.0,,,2.0,,,,,3.0,1.0,4.0,2.0,1.0,,,,
10995489,home,PSV Eindhoven,Johan Bakayoko,Johan Bakayoko,,johan-bakayoko,J. Bakayoko,F,9,179.0,6810,M,1088896,EUR,1050796800,M,27,27,False,32.0,27.0,,,6.0,8.0,21.0,29.0,1.0,5.0,,2.0,,,61.0,48.0,6.7,14.0,2,5.0,4.0,3.0,,,1.0,1.0,1.0,2.0,,,,3.0,,2.0,2.0,johanbakayoko,1.0,,,,,,,,
10995489,home,PSV Eindhoven,Guus Til,,,guus-til,G. Til,M,20,183.0,2259,M,845798,EUR,882748800,M,20,20,False,29.0,23.0,2.0,1.0,5.0,7.0,18.0,24.0,1.0,1.0,,1.0,,,61.0,34.0,6.4,9.0,0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,
10995489,home,PSV Eindhoven,Xavi Simons,,,xavi-simons,X. Simons,M,7,179.0,50727,M,997183,EUR,1050883200,M,7,7,False,66.0,54.0,3.0,2.0,10.0,12.0,44.0,54.0,2.0,10.0,,7.0,,,90.0,87.0,6.4,24.0,0,,10.0,6.0,,,4.0,4.0,3.0,1.0,,2.0,,5.0,,1.0,,XaviSimons,2.0,1.0,2.0,,,,,,
