match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_blockedScoringAttempt,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_shotValueNormalized,stat_aerialLost,stat_totalClearance,stat_outfielderBlock,stat_challengeLost,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_penaltyWon,player_sofascoreId,stat_accurateCross,stat_goals,stat_keyPass,stat_totalOffside,stat_penaltyFaced,stat_penaltyConceded,stat_bigChanceCreated
14035976,home,RSC Anderlecht,Colin Coosemans,,,colin-coosemans,C. Coosemans,G,26,185,265,M,122399,EUR,712800000,G,26,26,False,True,19.0,17.0,4.0,2.0,0.0,15.0,15.0,2.0,4.0,6.0,2.0,3.0,90.0,25.0,6.6,2.0,0.00041804,26.258065610345,3.0,25.305,11.655,0.0774,0,-0.4077,0.03,0.01,-0.16,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14035976,home,RSC Anderlecht,Ali Maamar,,,ali-maamar,A. Maamar,M,79,182,2960,M,1440668,EUR,1111536000,D,79,79,False,,31.0,26.0,1.0,1.0,0.0,8.0,8.0,18.0,23.0,9.0,,,89.0,62.0,6.4,14.0,0.0311239,147.50039102401,12.0,15.75,22.89,,3,,0.1,0.1,-0.27,,2.0,2.0,5.0,6.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0891,23.591927517691,1.0,0.01,,,,,,,,,,,,,,,
14035976,home,RSC Anderlecht,Killian Sardella,,,killian-sardella,K. Sardella,D,54,177,482,M,909964,EUR,1020297600,D,54,54,False,,71.0,65.0,6.0,4.0,0.0,40.0,40.0,25.0,31.0,5.0,,,90.0,79.0,6.9,8.0,0.0741662,240.05282844451,30.0,175.875,34.65,,1,,0.28,0.15,-0.21,,,2.0,2.0,4.0,,1.0,1.0,1.0,,,,,2.0,1.0,1.0,0.0659,36.527470484554,1.0,-0.38,1.0,1.0,1.0,,,,,,,,,,,,
14035976,home,RSC Anderlecht,Lucas Hey,Lucas Hey,,lucas-hey,L. Hey,D,3,189,338,M,1122698,EUR,1050192000,D,3,3,False,,70.0,60.0,10.0,2.0,0.0,35.0,35.0,25.0,35.0,6.0,,,90.0,84.0,6.4,10.0,0.012569,152.10140611822,26.0,74.865,12.705,,0,,0.26,0.16,0.14,,,2.0,5.0,2.0,,,,,,3.0,,,,,1.0,,,,,4.0,8.0,1.0,,,,,,,,,,,,
14035976,home,RSC Anderlecht,Moussa Ndiaye,,,moussa-ndiaye,M. Ndiaye,D,16,181,1546,M,982315,EUR,1024358400,D,5,5,False,,77.0,64.0,5.0,,0.0,16.0,19.0,48.0,58.0,3.0,,,90.0,102.0,6.6,18.0,0.0139451,248.75913324648,30.0,147.525,15.33,,0,,0.15,0.15,-0.36,,1.0,3.0,5.0,9.0,,1.0,,,,4.0,3.0,1.0,2.0,3.0,1.0,,15.015615904784,1.0,,1.0,1.0,,2.0,,,,,,,,,,,
14035976,home,RSC Anderlecht,Nathan De Cat,Nathan De Cat,,nathan-de-cat,N. D. Cat,M,74,192,1673,M,1637689,EUR,1216425600,M,74,74,False,,29.0,20.0,3.0,1.0,0.0,6.0,8.0,14.0,21.0,3.0,,,90.0,55.0,7.1,14.0,0.0179841,90.641582609776,13.0,8.085,13.02,,2,,0.04,0.06,-0.08,,1.0,3.0,3.0,11.0,,1.0,,2.0,,1.0,5.0,3.0,3.0,3.0,1.0,0.1206,,,-0.1,1.0,2.0,,,,,,,,,,,,,
14035976,home,RSC Anderlecht,Nathan-Dylan Saliba,Nathan Saliba,,nathan-saliba,N. Saliba,M,13,173,636,M,1093229,EUR,1076112000,M,13,13,False,,27.0,23.0,1.0,1.0,0.0,8.0,9.0,15.0,18.0,2.0,,,64.0,37.0,6.7,5.0,0.0265668,46.483811711811,7.0,13.44,7.245,,3,,0.14,0.15,-0.04,,,1.0,2.0,3.0,,,,1.0,1.0,,2.0,2.0,1.0,,,0.084,7.8647075597253,1.0,-0.39,2.0,1.0,,,1.0,0.0088,,,,,,,,,
14035976,home,RSC Anderlecht,Adriano Bertaccini,,,adriano-bertaccini,A. Bertaccini,F,91,173,746,M,867250,EUR,966124800,M,91,91,False,,19.0,13.0,,,0.0,3.0,4.0,10.0,15.0,2.0,,,76.0,30.0,6.2,11.0,0.01318,69.104712025797,6.0,48.72,24.675,,3,,-0.12,0.22,-0.11,,,,4.0,1.0,1.0,2.0,,1.0,2.0,,,,2.0,1.0,,0.1678,42.879120048767,3.0,-0.61,1.0,,,,,,1.0,,,,,,,,
14035976,home,RSC Anderlecht,Thorgan Hazard,,,thorgan-hazard,T. Hazard,F,11,174,3646,M,94286,EUR,733363200,M,11,11,False,,40.0,30.0,2.0,,0.0,7.0,8.0,23.0,32.0,1.0,,,90.0,64.0,7.0,23.0,0.224443,146.60184038281,11.0,98.91,37.59,,2,,0.2,0.24,-0.1,,11.0,,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,1.0,3.0,,,0.8169,85.423768938917,3.0,0.31,2.0,1.0,,,1.0,0.9629,,THazard,2.0,1.0,5.0,,,,
14035976,home,RSC Anderlecht,Nilson Angulo,Nilson Angulo,,nilson-angulo,N. Angulo,F,10,182,4530,M,1116571,EUR,1055980800,M,19,19,False,,42.0,34.0,2.0,2.0,0.0,8.0,9.0,26.0,33.0,5.0,,,90.0,81.0,6.5,28.0,0.254503,262.88374482446,24.0,153.93,30.87,,0,,0.29,0.3,-0.27,,6.0,1.0,13.0,9.0,3.0,9.0,3.0,,,1.0,,,4.0,5.0,1.0,,146.52990095357,7.0,,1.0,,,2.0,,,,,,,3.0,,,,
