match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_accurateOppositionHalfPasses,stat_duelWon,stat_totalTackle,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_shotOffTarget,stat_outfielderBlock,stat_interceptionWon,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_keyPass,captain,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,stat_unsuccessfulTouch,stat_challengeLost,stat_totalOffside,player_sofascoreId,stat_bigChanceMissed,stat_bigChanceCreated,stat_goodHighClaim,stat_penaltyFaced,stat_penaltyConceded,stat_goalAssist
11407405,home,Cagliari,Simone Scuffet,simone-scuffet,S. Scuffet,G,22,193,684,M,284349,EUR,833500800,G,22,22,False,26.0,21.0,9.0,4.0,21.0,22.0,4.0,1.0,4.0,1.0,1.0,1.0,90.0,31.0,6.1,5.0,0.0,0.0,7.956e-05,0,-0.6123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407405,home,Cagliari,Pantelis Hatzidiakos,hatzidiakos-pantelis,P. Hatzidiakos,D,6,185,762,M,822163,EUR,853545600,D,17,17,False,25.0,23.0,6.0,4.0,15.0,15.0,10.0,2.0,1.0,,,,45.0,30.0,6.4,2.0,0.0,0.0,0.0078126,0,,,,8.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407405,home,Cagliari,Mateusz Wieteska,mateusz-wieteska,M. Wieteska,D,4,187,1515,M,286087,EUR,855619200,D,23,23,False,59.0,48.0,10.0,4.0,33.0,37.0,22.0,2.0,9.0,,,,90.0,68.0,6.5,11.0,0.1737,0.0,0.0388858,1,,,,15.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,
11407405,home,Cagliari,Adam Obert,adam-obert,A. Obert,D,33,186,654,M,964153,EUR,1030060800,D,33,33,False,45.0,35.0,8.0,5.0,22.0,27.0,19.0,,6.0,,,,68.0,58.0,6.3,11.0,0.0,0.0,0.0777461,0,,,,14.0,2.0,,4.0,1.0,7.0,,2.0,2.0,,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
11407405,home,Cagliari,Nahitan Nández,nahitan-nandez,N. Nandez,M,8,175,1922,M,589620,EUR,820108800,M,8,8,False,36.0,27.0,5.0,3.0,5.0,5.0,42.0,,,,,,90.0,57.0,7.1,20.0,0.8557,0.9229,0.0888879,2,,,,24.0,3.0,1.0,,,3.0,,,,,1.0,2.0,11.0,2.0,1.0,2.0,True,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
11407405,home,Cagliari,Ibrahim Sulemana,ibrahim-sulemana,I. Sulemana,M,25,180,1979,M,105905,EUR,1053561600,M,25,25,False,11.0,10.0,1.0,1.0,4.0,5.0,6.0,,3.0,,,,39.0,15.0,6.2,3.0,0.0,0.0,0.00478678,0,,,,6.0,,,1.0,,2.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,
11407405,home,Cagliari,Matteo Prati,matteo-prati,M. Prati,M,4,182,705,M,1111640,EUR,1072569600,M,16,16,False,36.0,31.0,3.0,2.0,15.0,17.0,20.0,1.0,9.0,,,,90.0,50.0,6.5,7.0,0.1216,0.0,0.0316332,3,,,,16.0,3.0,2.0,,1.0,4.0,1.0,,,1.0,,2.0,1.0,,,1.0,,1.0,,,2.0,,,1.0,,,,,,,,
11407405,home,Cagliari,Antoine Makoumbou,antoine-makoumbou,A. Makoumbou,M,29,186,535,M,920391,EUR,900720000,M,29,29,False,62.0,60.0,9.0,8.0,21.0,22.0,40.0,,3.0,,,,90.0,71.0,7.0,5.0,0.0,0.0,0.0277407,0,,,,39.0,5.0,2.0,1.0,1.0,3.0,,,,1.0,1.0,,,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,
11407405,home,Cagliari,Paulo Azzi,paulo-azzi,P. Azzi,M,7,188,184,M,383314,EUR,774230400,M,37,37,False,45.0,38.0,,,14.0,17.0,34.0,1.0,5.0,,,,90.0,69.0,7.0,15.0,0.1754,0.0,0.103208,4,,,,25.0,4.0,,2.0,1.0,4.0,3.0,,1.0,,,,6.0,1.0,1.0,1.0,,4.0,3.0,,1.0,,1.0,,1.0,,,,,,,
11407405,home,Cagliari,Gaetano Oristanio,gaetano-oristanio,G. Oristanio,F,21,174,968,M,965009,EUR,1033171200,F,19,19,False,13.0,13.0,,,1.0,1.0,18.0,1.0,6.0,,,,74.0,34.0,7.3,6.0,0.0351,0.0,0.268521,1,,,,15.0,6.0,,1.0,1.0,4.0,1.0,,,,1.0,1.0,6.0,3.0,,3.0,,6.0,4.0,,,,1.0,,,,,,,,,
