match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_accurateOppositionHalfPasses,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_totalTackle,stat_interceptionWon,stat_totalCross,stat_accurateCross,stat_challengeLost,stat_dispossessed,stat_blockedScoringAttempt,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,captain,stat_totalContest,stat_wonContest,stat_goals,stat_bigChanceCreated,stat_shotOffTarget,stat_outfielderBlock,stat_goalAssist,stat_totalOffside,stat_hitWoodwork,stat_penaltyWon,stat_bigChanceMissed,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_goalsPrevented,stat_errorLeadToAShot,stat_penaltyConceded
10411599,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187.0,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,34.0,23.0,15.0,4.0,23.0,26.0,8.0,4.0,90.0,37.0,6.9,11.0,0.0,0.0,5.431e-05,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411599,home,Monza,Marlon,,,marlon,Marlon,D,4,182.0,529,M,,331853,EUR,810432000,D,4,4,False,52.0,51.0,1.0,1.0,34.0,34.0,18.0,4.0,90.0,57.0,7.1,1.0,0.0848,0.0969,0.00483676,1,17.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411599,home,Monza,Luca Caldirola,,,luca-caldirola,L. Caldirola,D,33,189.0,134,M,,100565,EUR,665366400,D,5,5,False,69.0,67.0,2.0,2.0,63.0,63.0,6.0,2.0,90.0,74.0,7.1,2.0,0.0,0.0,0.00135917,0,4.0,1.0,1.0,1.0,1.0,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411599,home,Monza,Armando Izzo,,,armando-izzo,A. Izzo,D,4,183.0,521,M,,165583,EUR,699494400,D,55,55,False,75.0,66.0,11.0,9.0,46.0,50.0,26.0,7.0,90.0,90.0,7.7,12.0,0.1456,0.0,0.149808,1,21.0,,,3.0,7.0,,2.0,5.0,,1.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,
10411599,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178.0,222,M,,346676,EUR,792288000,M,84,84,False,29.0,24.0,2.0,2.0,13.0,16.0,13.0,3.0,77.0,41.0,6.9,6.0,0.2318,0.0729,0.0422129,2,11.0,,,2.0,,2.0,2.0,,,,,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
10411599,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183.0,659,M,,350210,EUR,861580800,M,32,32,False,73.0,69.0,5.0,4.0,30.0,31.0,42.0,4.0,90.0,85.0,7.6,5.0,0.7884,0.9894,0.0701236,1,39.0,1.0,2.0,5.0,3.0,1.0,3.0,,4.0,,,1.0,,,,1.0,,3.0,2.0,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
10411599,home,Monza,Nicolò Rovella,,,nicolo-rovella,N. Rovella,M,6,179.0,2966,M,,937324,EUR,1007424000,M,6,6,False,76.0,70.0,5.0,4.0,42.0,46.0,31.0,10.0,90.0,98.0,7.7,10.0,0.05,0.0,0.230103,2,29.0,,,4.0,4.0,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,2.0,,1.0,1.0,1.0,,,,,,,,,,,,,,
10411599,home,Monza,Carlos Augusto,,,carlos-augusto,C. Augusto,D,30,184.0,7355,M,,929199,EUR,915667200,M,30,30,False,29.0,25.0,3.0,2.0,12.0,15.0,15.0,5.0,84.0,52.0,8.5,8.0,0.2758,0.2402,0.075688,3,13.0,,,3.0,4.0,1.0,4.0,2.0,1.0,1.0,,1.0,,2.0,2.0,1.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,
10411599,home,Monza,Andrea Colpani,,,colpani-andrea,A. Colpani,M,28,186.0,944,M,,928122,EUR,926380800,F,28,28,False,24.0,19.0,2.0,1.0,5.0,7.0,21.0,3.0,66.0,39.0,7.0,13.0,0.0603,0.0,0.0310502,1,14.0,1.0,,4.0,5.0,,,2.0,,4.0,,1.0,,,1.0,1.0,2.0,,,,3.0,1.0,,,1.0,,,,1.0,,,,,,,,,,,
10411599,home,Monza,Gianluca Caprari,,,gianluca-caprari,G. Caprari,F,24,170.0,457,M,,148458,EUR,743990400,F,17,17,False,33.0,29.0,1.0,1.0,15.0,16.0,20.0,4.0,77.0,48.0,6.7,10.0,0.1738,0.0,0.103281,3,16.0,4.0,1.0,6.0,3.0,,,1.0,1.0,3.0,2.0,,1.0,3.0,1.0,3.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
