match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_ballRecovery,stat_lastManTackle,stat_totalTackle,stat_wonTackle,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keeperSaveValue,stat_keyPass,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_totalClearance,stat_interceptionWon,stat_wasFouled,stat_fouls,stat_shotValueNormalized,stat_bigChanceCreated,stat_clearanceOffLine,stat_outfielderBlock,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,stat_accurateCross,captain,stat_totalOffside,stat_errorLeadToAShot,stat_goodHighClaim,stat_hitWoodwork,stat_goals,player_sofascoreId
14073455,home,Northampton Town,Ross Fitzsimons,,,ross-fitzsimons,R. Fitzsimons,G,34,185.0,16,M,213116,EUR,770083200,G,34,34,False,33.0,10.0,31.0,8.0,0.0,3.0,5.0,7.0,28.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,90.0,36.0,6.6,23.0,-0.0004,1.0,0,0.34,-0.06,0.61,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14073455,home,Northampton Town,Joe Wormleighton,,,joe-wormleighton,J. Wormleighton,D,16,178.0,17,M,1102369,EUR,1072742400,D,16,16,False,15.0,9.0,1.0,,0.0,2.0,2.0,7.0,13.0,10.0,6.0,,2.0,1.0,,,,90.0,37.0,6.7,9.0,,,1,-0.11,0.19,-0.16,,1.0,3.0,2.0,7.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,4.0,2.0,-0.05,,,,,,,,,,,,,,,
14073455,home,Northampton Town,Conor McCarthy,,,conor-mccarthy,C. McCarthy,D,3,184.0,45,M,838865,EUR,892252800,D,3,3,False,14.0,12.0,2.0,,0.0,10.0,10.0,2.0,4.0,2.0,,,,,,,,45.0,29.0,8.6,5.0,,1.0,0,0.03,0.01,1.0,,1.0,2.0,2.0,2.0,,,,,,2.0,1.0,,,,1.0,1.0,2.0,,,,,,,,,,,,
14073455,home,Northampton Town,Jordan Willis,,,jordan-willis,J. Willis,D,6,180.0,18,M,193546,EUR,777686400,D,6,6,False,25.0,13.0,10.0,,0.0,10.0,11.0,3.0,14.0,1.0,2.0,,,,,,,64.0,33.0,6.2,12.0,,,2,-0.03,0.01,-0.11,,,,1.0,,,,,,1.0,5.0,,,,0.03,,,,1.0,1.0,,,,,,,,,,
14073455,home,Northampton Town,Max Dyche,Max Dyche,,max-dyche,M. Dyche,D,35,186.0,30,M,1067269,EUR,1045872000,D,35,35,False,35.0,18.0,13.0,3.0,0.0,13.0,15.0,5.0,20.0,7.0,1.0,,1.0,,,,,90.0,59.0,6.8,20.0,,,1,0.01,-0.01,0.25,,,4.0,6.0,7.0,2.0,,1.0,,,11.0,2.0,,,-0.1,,,1.0,,,1.0,1.0,,,,,,,,
14073455,home,Northampton Town,Jack Perkins,Jack Perkins,,jack-perkins,J. Perkins,M,21,178.0,17,M,1394816,EUR,1067126400,D,21,21,False,34.0,26.0,1.0,,0.0,11.0,11.0,15.0,23.0,3.0,2.0,,,,,,,90.0,47.0,6.3,14.0,,1.0,0,0.07,0.07,-0.09,,2.0,3.0,1.0,6.0,,1.0,,,,,,2.0,2.0,,,,2.0,,,,3.0,1.0,,,,,,,
14073455,home,Northampton Town,Cameron McGeehan,,,cameron-mcgeehan,C. McGeehan,M,8,180.0,57,M,149817,EUR,797126400,M,8,8,False,12.0,11.0,,,0.0,6.0,6.0,5.0,6.0,7.0,1.0,,1.0,1.0,,,,64.0,32.0,6.7,6.0,,1.0,1,0.05,0.22,0.27,,,3.0,1.0,9.0,,3.0,,,,2.0,1.0,5.0,3.0,-0.15,,,1.0,,1.0,,2.0,,,,,,,,
14073455,home,Northampton Town,Dean Campbell,,,dean-campbell,D. Campbell,M,4,181.0,18,M,880702,EUR,984960000,M,4,4,False,41.0,36.0,1.0,,0.0,16.0,17.0,20.0,24.0,5.0,5.0,,2.0,1.0,,,,90.0,58.0,7.5,8.0,,3.0,3,0.46,0.15,-0.04,,6.0,,,2.0,1.0,,1.0,1.0,,1.0,1.0,2.0,1.0,0.02,1.0,,,,2.0,1.0,,3.0,,,,,,,
14073455,home,Northampton Town,Tyrese Fornah,,,tyrese-fornah,T. Fornah,M,14,181.0,183,M,1014098,EUR,937008000,M,14,14,False,33.0,26.0,3.0,3.0,0.0,5.0,5.0,21.0,28.0,2.0,7.0,,2.0,2.0,,,,90.0,53.0,6.5,17.0,,,1,0.34,0.15,-0.07,,5.0,1.0,,7.0,1.0,5.0,,,,1.0,2.0,,,-0.09,,,,,,1.0,2.0,2.0,,,,,,,
14073455,home,Northampton Town,Sam Hoskins,,,sam-hoskins,S. Hoskins,F,7,172.0,78,M,204340,EUR,728784000,M,7,7,False,19.0,12.0,1.0,1.0,0.0,4.0,6.0,8.0,13.0,3.0,1.0,,,,,,,90.0,38.0,6.6,11.0,,3.0,2,0.3,0.02,-0.05,,2.0,3.0,1.0,6.0,,2.0,,,1.0,,3.0,2.0,1.0,-0.18,,,,,,1.0,1.0,1.0,True,,,,,,
