match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,length,playerName,reason,rescinded,id,isHome,incidentClass,player_id,player_name,injury,from
11396367,FT,2.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11396367,,,,,90,0.0,,1,,,injuryTime,6.0,,,,,,,,,,
11396367,,,,,88,,,3,,,card,,Kevin Akpoguma,Foul,False,121044835.0,False,yellow,187423.0,Kevin Akpoguma,,
11396367,,,,,84,,,7,,,substitution,,,,,122256228.0,False,regular,,,False,
11396367,,,,,84,,,7,,,substitution,,,,,122256226.0,True,regular,,,False,
11396367,,,,,84,,,7,,,substitution,,,,,122256225.0,True,regular,,,False,
11396367,,,,,84,,,7,,,substitution,,,,,122256224.0,True,regular,,,False,
11396367,,,,,84,,,7,,,substitution,,,,,122256227.0,False,regular,,,False,
11396367,,,,,82,,,9,,,card,,Rocco Reitz,Handball,False,121044810.0,True,yellow,1048650.0,Rocco Reitz,,
11396367,,2.0,1.0,,80,,,11,,,goal,,,,,175396502.0,True,regular,962409.0,Nathan N'Goumou,,
11396367,,,,,74,,,17,,,substitution,,,,,122256134.0,False,regular,,,False,
11396367,,,,,68,,,23,,,substitution,,,,,122256099.0,True,regular,,,False,
11396367,,1.0,1.0,,60,,,31,,,goal,,,,,175395371.0,False,regular,252215.0,Wout Weghorst,,
11396367,,,,,59,,,32,,,substitution,,,,,122256041.0,False,regular,,,False,
11396367,,,,,59,,,32,,,substitution,,,,,122256042.0,False,regular,,,False,
11396367,,1.0,0.0,,58,,,33,,,goal,,,,,175395286.0,True,penalty,192308.0,Alassane Pléa,,penalty
11396367,,,,,54,,,37,,,substitution,,,,,122256008.0,True,regular,,,False,
11396367,,,,,54,,,37,,,card,,Nico Elvedi,Foul,False,121044683.0,True,yellow,282229.0,Nico Elvedi,,
11396367,,,,,50,,,41,,,card,,Umut Tohumcu,Foul,False,121044666.0,False,yellow,1083410.0,Umut Tohumcu,,
11396367,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11396367,,,,,45,0.0,,1,,,injuryTime,2.0,,,,,,,,,,
