match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_errorLeadToAShot,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_blockedScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_expectedGoals,stat_challengeLost,stat_totalContest,stat_wonContest,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_accurateCross,stat_shotOffTarget,captain,player_firstName,player_lastName,stat_goalAssist,stat_bigChanceCreated,stat_onTargetScoringAttempt,stat_goals,stat_penaltyWon,stat_expectedGoalsOnTarget,stat_totalOffside,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyConceded,player_sofascoreId,stat_bigChanceMissed
11396367,home,Borussia M'gladbach,Moritz Nicolas,moritz-nicolas,M. Nicolas,G,33,193,411,M,578166,EUR,877392000,G,33,33,False,33.0,27.0,8.0,3.0,25.0,27.0,2.0,6.0,13.0,1.0,1.0,2.0,4.0,90.0,44.0,7.1,6.0,0.00066517,0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Joseph Scally,scally-joseph,J. Scally,D,29,184,1087,M,1002920,EUR,1041292800,D,29,29,False,68.0,56.0,5.0,1.0,39.0,44.0,17.0,24.0,2.0,,,,,90.0,91.0,6.6,15.0,0.0521485,1,,2.0,1.0,6.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0182,,,,,,,,,,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Marvin Friedrich,marvin-friedrich,M. Friedrich,D,5,193,161,M,254449,EUR,818812800,D,5,5,False,75.0,68.0,6.0,,59.0,62.0,9.0,13.0,4.0,,,,,90.0,83.0,6.8,8.0,0.00794605,0,,1.0,1.0,2.0,3.0,,,3.0,2.0,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Nico Elvedi,nico-elvedi,N. Elvedi,D,30,188,1059,M,282229,EUR,844041600,D,30,30,False,50.0,47.0,2.0,1.0,34.0,36.0,13.0,15.0,4.0,,,,,54.0,57.0,6.7,4.0,0.00687325,0,,,1.0,1.0,3.0,,,2.0,,,2.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Franck Honorat,franck-honorat,F. Honorat,M,9,180,718,M,280453,EUR,839721600,M,9,9,False,32.0,26.0,2.0,2.0,8.0,13.0,19.0,26.0,5.0,,,,,84.0,44.0,6.8,13.0,0.0587583,0,,1.0,,3.0,1.0,,,1.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,7.0,1.0,,,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Rocco Reitz,rocco-reitz,R. Reitz,M,27,175,1025,M,1048650,EUR,1022630400,M,27,27,False,46.0,33.0,3.0,,17.0,20.0,16.0,26.0,5.0,,,,,90.0,71.0,7.4,17.0,0.0210918,1,,1.0,,3.0,8.0,,,4.0,3.0,2.0,4.0,4.0,4.0,1.0,0.0167,1.0,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Florian Neuhaus,florian-neuhaus,F. Neuhaus,M,10,185,880,M,837205,EUR,858470400,M,10,10,False,32.0,29.0,4.0,3.0,10.0,10.0,19.0,22.0,3.0,,,,,68.0,35.0,6.9,4.0,0.1259,0,,,1.0,2.0,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,True,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Manu Koné,manu-kone,M. Koné,M,17,186,6974,M,974087,EUR,990057600,M,17,17,False,39.0,37.0,,,16.0,18.0,21.0,21.0,5.0,,,,,90.0,53.0,6.9,6.0,0.0456003,0,,1.0,,4.0,5.0,1.0,,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Luca Netz,netz-luca,L. Netz,D,25,180,641,M,979144,EUR,1052956800,M,20,20,False,24.0,17.0,4.0,2.0,7.0,10.0,10.0,16.0,4.0,,,,,90.0,48.0,7.3,14.0,0.485131,0,,,4.0,2.0,6.0,1.0,,4.0,,1.0,2.0,1.0,,1.0,,,,,,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,
11396367,home,Borussia M'gladbach,Alassane Pléa,alassane-plea,A. Pléa,M,14,180,1816,M,192308,EUR,731721600,F,14,14,False,27.0,20.0,2.0,,6.0,10.0,15.0,19.0,4.0,,,,,84.0,47.0,7.7,15.0,0.112136,5,,2.0,,8.0,4.0,1.0,,,,,1.0,,2.0,3.0,1.0035,,3.0,1.0,4.0,,2.0,1.0,4.0,,,,,,1.0,1.0,1.0,0.9861,,,,,,,
