match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_duelLost,stat_totalContest,stat_wonContest,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_outfielderBlock,stat_wasFouled,player_sofascoreId,stat_aerialLost,stat_challengeLost,stat_totalCross,stat_accurateCross,stat_dispossessed,stat_blockedScoringAttempt,stat_shotOffTarget,captain,stat_onTargetScoringAttempt,stat_goals,stat_keyPass,stat_goalAssist,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_hitWoodwork,stat_totalOffside
10390047,home,RC Strasbourg,Matz Sels,matz-sels,M. Sels,G,26,188,2413,M,78152,EUR,699062400,G,1,1,False,23.0,13.0,16.0,6.0,10.0,11.0,3.0,12.0,1.0,1.0,10.0,2.0,2.0,90.0,35.0,6.7,10.0,0.0,0.0,0.00074208,0,-0.2996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10390047,home,RC Strasbourg,Ronaël Pierre-Gabriel,ronael-pierre-gabriel,R. Pierre-Gabriel,D,18,175,899,M,826293,EUR,897696000,D,18,18,False,41.0,36.0,4.0,2.0,24.0,25.0,12.0,16.0,2.0,6.0,6.0,,,90.0,56.0,7.1,7.0,0.0,0.0,0.00597625,0,,,,1.0,1.0,1.0,4.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10390047,home,RC Strasbourg,Ismael Doukouré,ismael-doukoure,I. Doukouré,D,6,183,1100,M,1049517,EUR,1059004800,D,29,29,False,32.0,26.0,5.0,2.0,23.0,26.0,3.0,6.0,,2.0,5.0,,,90.0,40.0,6.7,7.0,0.0,0.0,0.00186437,0,,Ismael Doukoure,,2.0,1.0,1.0,2.0,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
10390047,home,RC Strasbourg,Alexander Djiku,alexander-djiku,A. Djiku,D,6,182,4730,M,289977,EUR,776390400,D,24,24,False,61.0,49.0,10.0,4.0,27.0,30.0,22.0,31.0,5.0,10.0,5.0,,,90.0,81.0,7.5,13.0,0.0,0.0,0.0128348,0,,,,4.0,,,7.0,3.0,4.0,2.0,1.0,2.0,1.0,1.0,alex_djiku,1.0,1.0,,,,,,,,,,,,,,
10390047,home,RC Strasbourg,Thomas Delaine,thomas-delaine,T. Delaine,M,,180,116,M,153218,EUR,701395200,M,3,3,False,40.0,25.0,1.0,,8.0,9.0,18.0,38.0,1.0,7.0,6.0,,,90.0,74.0,6.8,26.0,0.0,0.0,0.245183,0,,,,5.0,3.0,2.0,,,2.0,1.0,1.0,2.0,,2.0,,1.0,,7.0,1.0,1.0,,,,,,,,,,,
10390047,home,RC Strasbourg,Jean-Eudes Aholou,jean-eudes-aholou,J. Aholou,M,6,187,438,M,156004,EUR,764121600,M,6,6,False,21.0,14.0,3.0,,8.0,9.0,6.0,12.0,,8.0,3.0,,,73.0,42.0,6.4,14.0,0.0417,0.0,0.0140378,1,,,,8.0,5.0,2.0,2.0,,2.0,1.0,2.0,,,4.0,,3.0,,,,2.0,1.0,,,,,,,,,,
10390047,home,RC Strasbourg,Jean-Ricner Bellegarde,jean-ricner-bellegarde,J.-R. Bellegarde,M,27,170,28999,M,845273,EUR,898905600,M,17,17,False,52.0,41.0,4.0,3.0,15.0,19.0,26.0,36.0,,12.0,8.0,,,90.0,82.0,7.3,19.0,0.0295,0.0,0.0482873,1,,,,7.0,4.0,4.0,1.0,,3.0,2.0,2.0,3.0,1.0,5.0,,2.0,,3.0,,2.0,,1.0,,,,,,,,,
10390047,home,RC Strasbourg,Habib Diarra,habib-diarra,H. Diarra,M,19,179,12696,M,1128532,EUR,1073088000,M,19,19,False,21.0,16.0,1.0,,5.0,5.0,11.0,16.0,1.0,1.0,6.0,,,73.0,28.0,6.2,8.0,0.0,0.0,0.0184299,0,,Habib,Diarra,8.0,,,,2.0,,,1.0,3.0,,,,1.0,2.0,,,2.0,,,,,,,,,,,
10390047,home,RC Strasbourg,Dimitri Liénard,dimitri-lienard,D. Liénard,M,,184,77,M,365358,EUR,571708800,M,11,11,False,15.0,14.0,2.0,1.0,7.0,7.0,7.0,10.0,1.0,3.0,2.0,,,24.0,23.0,6.7,3.0,0.0,0.0,0.00331444,0,,,,1.0,,,1.0,,1.0,,,,,2.0,,,1.0,2.0,,,,,True,,,,,,,,
10390047,home,RC Strasbourg,Habib Diallo,habib-diallo,H. Diallo,F,30,186,7542,M,802159,EUR,803433600,F,20,20,False,27.0,21.0,1.0,,6.0,7.0,15.0,20.0,3.0,6.0,5.0,,,90.0,39.0,7.2,12.0,0.2075,0.3604,0.145443,1,,,,10.0,2.0,1.0,,1.0,1.0,,4.0,,,1.0,habibdiallo28,7.0,1.0,,,1.0,,,,1.0,1.0,,,,,,
