match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_expectedGoals,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_penaltyConceded,stat_wasFouled,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_outfielderBlock,stat_keyPass,player_firstName,player_lastName,stat_accurateCross,stat_wonContest,stat_interceptionWon,player_sofascoreId,stat_totalOffside,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_penaltyWon,stat_goals,stat_bigChanceMissed,stat_bigChanceCreated
11067422,home,Cruzeiro,Rafael Cabral,rafael-cabral,Rafael Cabral,G,1,186,340,M,124980,EUR,643161600,G,1,1,False,True,23.0,19.0,10.0,6.0,18.0,18.0,1.0,5.0,1.0,3.0,1.0,90.0,27.0,6.1,4.0,0.00023022,0,-0.0475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11067422,home,Cruzeiro,Helibelton Palacios,helibelton-palacios,H. Palacios,D,13,181,374,M,329597,EUR,739584000,D,24,24,False,,26.0,21.0,1.0,1.0,8.0,8.0,13.0,21.0,3.0,4.0,,90.0,56.0,6.4,13.0,0.0176325,1,,3.0,4.0,2.0,12.0,8.0,2.0,1.0,1.0,1.0,6.0,5.0,4.0,0.0156,,,,,,,,,,,,,,,,,,,,,,
11067422,home,Cruzeiro,Neris,neris,Neris,D,77,190,332,M,840247,EUR,708739200,D,27,27,False,,43.0,39.0,5.0,3.0,28.0,30.0,11.0,13.0,1.0,6.0,,90.0,52.0,6.1,7.0,0.00445541,1,,,2.0,1.0,4.0,2.0,,1.0,,,,,1.0,0.0088,1.0,1.0,1.0,1.0,0.1419,,,,,,,,,,,,,,,,,
11067422,home,Cruzeiro,Luciano Castan,luciano-castan,Luciano Castan,D,4,187,212,M,845110,EUR,621648000,D,4,4,False,,46.0,37.0,5.0,1.0,27.0,28.0,10.0,18.0,4.0,4.0,,90.0,56.0,6.5,9.0,0.0115628,1,,,5.0,1.0,6.0,2.0,1.0,,,,1.0,,,0.0543,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,
11067422,home,Cruzeiro,Marlon,marlon,Marlon,D,23,178,1921,M,870787,EUR,864086400,D,3,3,False,,42.0,32.0,9.0,5.0,11.0,17.0,23.0,29.0,,10.0,,90.0,68.0,6.7,18.0,0.145792,1,,4.0,,,6.0,5.0,2.0,2.0,1.0,,3.0,2.0,2.0,0.0176,1.0,2.0,,1.0,0.0329,,,2.0,,,2.0,1.0,2.0,,,,,,,,,
11067422,home,Cruzeiro,Matheus Jussa,matheus-jussa,Matheus Jussa,M,22,183,183,M,794849,EUR,827452800,M,18,18,False,,36.0,30.0,3.0,,15.0,16.0,15.0,20.0,3.0,8.0,,90.0,51.0,6.4,10.0,0.0102169,0,,,1.0,1.0,6.0,3.0,,1.0,,,2.0,1.0,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,
11067422,home,Cruzeiro,Lucas Silva,lucas-silva,L. Silva,M,16,182,2401,M,245159,EUR,729820800,M,16,16,False,,48.0,41.0,3.0,1.0,15.0,15.0,26.0,36.0,,10.0,,90.0,67.0,6.8,15.0,0.0380853,1,,3.0,2.0,2.0,7.0,9.0,1.0,3.0,2.0,,2.0,2.0,2.0,0.02,1.0,1.0,,3.0,0.1887,,,2.0,,,,2.0,,,,,,,,,,
11067422,home,Cruzeiro,Matheus Pereira,matheus-pereira,M. Pereira,M,10,175,14140,M,377238,EUR,831254400,M,96,96,False,,33.0,24.0,4.0,2.0,13.0,15.0,11.0,22.0,,1.0,,69.0,42.0,6.6,14.0,0.0129202,0,,4.0,,,2.0,4.0,1.0,,1.0,,2.0,1.0,1.0,,,1.0,,1.0,,,,,,,,1.0,,matheus_pereira,,,,,,,,
11067422,home,Cruzeiro,Ian Luccas,ian-luccas,Ian Luccas,M,5,187,203,M,1046496,EUR,1044921600,M,20,20,False,,17.0,11.0,,,4.0,6.0,7.0,11.0,,3.0,,69.0,25.0,6.4,10.0,0.00921147,1,,,2.0,3.0,6.0,5.0,1.0,2.0,,,1.0,,1.0,0.0392,1.0,2.0,,1.0,0.2184,,,,,,,,1.0,,,,,,,,,
11067422,home,Cruzeiro,Kaiki,kaiki,Kaiki,D,6,172,2601,M,1112484,EUR,1047081600,M,14,14,False,,2.0,2.0,,,2.0,2.0,,,,1.0,,45.0,5.0,6.2,2.0,4.445e-05,0,,,1.0,,5.0,1.0,,,1.0,,1.0,1.0,3.0,,,1.0,,,,,,,Kaiki,,,,,,1.0,,,,,,,
