match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_jerseyNumber,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_blockedScoringAttempt,stat_hitWoodwork,stat_interceptionWon,stat_errorLeadToAGoal,stat_unsuccessfulTouch,captain,stat_shotOffTarget,stat_accurateCross,stat_wonContest,stat_totalOffside,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated
12624393,home,Damac FC,Florin Niță,florin-nita,F. Niță,G,185.0,1579,M,83551,EUR,552268800,G,1,1,False,31.0,15.0,28.0,12.0,0.0,6.0,9.0,9.0,22.0,2.0,6.0,1.0,1.0,90.0,37.0,6.1,17.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624393,home,Damac FC,Ramzi Sawlan,sawlan-ramzi,R. Sawlan,D,,23,M,965309,EUR,892857600,D,51,51,False,17.0,15.0,2.0,2.0,0.0,9.0,11.0,6.0,7.0,3.0,3.0,,,75.0,41.0,7.1,8.0,1,15,1.0,1.0,8.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12624393,home,Damac FC,Abdelkader Bedrane,abdelkader-bedrane,A. Bedrane,D,185.0,1163,M,906407,EUR,702172800,D,3,3,False,28.0,23.0,8.0,4.0,0.0,17.0,19.0,6.0,9.0,12.0,4.0,,,90.0,50.0,6.4,7.0,1,3,,,1.0,3.0,,,,,,,2.0,2.0,,1.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,
12624393,home,Damac FC,Farouk Chafaï,farouk-chafai,F. Chafaï,D,182.0,329,M,880083,EUR,646099200,D,15,15,False,17.0,13.0,4.0,3.0,0.0,10.0,12.0,3.0,5.0,8.0,4.0,,,45.0,33.0,7.1,5.0,1,5,,2.0,2.0,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,1.0,True,1.0,,,,,,,,
12624393,home,Damac FC,Abdulrahman Al-Obaid,abdulrahman-al-obaid,A. Al-Obaid,D,172.0,51,M,818705,EUR,736128000,D,13,13,False,17.0,14.0,2.0,,0.0,10.0,11.0,5.0,8.0,5.0,1.0,,,90.0,34.0,6.1,8.0,1,13,2.0,2.0,3.0,,,,1.0,,,,,,,,1.0,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,
12624393,home,Damac FC,Dhari Al-Enezi,dhari-al-enezi,D. Al-Enezi,D,170.0,42,M,1214301,EUR,957571200,D,20,20,False,24.0,21.0,2.0,1.0,1.0,11.0,11.0,10.0,13.0,3.0,2.0,,,76.0,38.0,7.0,6.0,1,20,,1.0,3.0,4.0,,1.0,1.0,,,,2.0,2.0,2.0,,1.0,Dhari Al-Enezi,,,1.0,,,,1.0,,,,,,,,,,
12624393,home,Damac FC,Nicolae Stanciu,nicolae-stanciu,N. Stanciu,M,171.0,4005,M,108673,EUR,736732800,M,32,32,False,25.0,23.0,8.0,7.0,0.0,17.0,18.0,7.0,12.0,1.0,2.0,,,90.0,43.0,7.2,9.0,3,8,5.0,,5.0,4.0,2.0,1.0,2.0,2.0,1.0,,,,3.0,1.0,1.0,,,,1.0,,,,1.0,,,1.0,1.0,,,,,,
12624393,home,Damac FC,Tariq Mohammed,tariq-mohammed,T. Mohammed,M,170.0,26,M,871619,EUR,810345600,M,5,5,False,23.0,20.0,2.0,2.0,0.0,12.0,12.0,8.0,11.0,1.0,3.0,,,90.0,36.0,6.6,5.0,0,6,,1.0,5.0,3.0,2.0,1.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,,,2.0,,1.0,,,,,,,,,,
12624393,home,Damac FC,Faisal Al-Sibyani,faisal-al-sibyani,F. Al-Sibyani,M,172.0,54,M,1217924,EUR,1057536000,M,6,6,False,16.0,15.0,1.0,,0.0,4.0,4.0,11.0,12.0,1.0,2.0,,,54.0,20.0,6.6,1.0,0,6,,,2.0,2.0,,,,,,,2.0,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,
12624393,home,Damac FC,Meshari Fahad Al-Nemer,meshari-fahad-al-nemer,M. F. Al-Nemer,F,180.0,439,M,1474690,EUR,1060041600,F,94,94,False,15.0,10.0,1.0,1.0,0.0,5.0,5.0,5.0,10.0,,1.0,,,90.0,24.0,6.7,8.0,1,75,,2.0,4.0,4.0,1.0,1.0,3.0,,,,,,,,,,,1.0,,,,,2.0,,1.0,,3.0,,,,,,
