match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_wasFouled,captain,stat_aerialLost,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_outfielderBlock,stat_unsuccessfulTouch,stat_totalCross,stat_goals,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_accurateCross,stat_blockedScoringAttempt,stat_keyPass,stat_bigChanceCreated,stat_fouls,stat_penaltyWon,stat_totalOffside,stat_bigChanceMissed,stat_penaltyMiss,stat_penaltySave,stat_penaltyFaced,stat_ownGoals,stat_penaltyConceded
12476431,home,Sheffield United,Ivo Grbić,,,ivo-grbic,I. Grbić,G,13,195.0,1121,M,283847,EUR,821923200,G,13,13,False,27.0,21.0,9.0,3.0,0.0,19.0,19.0,2.0,8.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,90.0,36.0,7.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476431,home,Sheffield United,Femi Seriki,,,femi-seriki,F. Seriki,D,38,180.0,154,M,966458,EUR,1019952000,D,38,38,False,15.0,13.0,,,0.0,6.0,6.0,7.0,9.0,,1.0,,,,,,21.0,22.0,6.9,2.0,0,1.0,4.0,1.0,3.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12476431,home,Sheffield United,Harry Souttar,,,harry-souttar,H. Souttar,D,15,198.0,593,M,808680,EUR,909014400,D,6,6,False,100.0,87.0,11.0,5.0,0.0,68.0,73.0,19.0,27.0,7.0,6.0,,,,,,90.0,112.0,7.3,15.0,2,4.0,11.0,,,,,True,3.0,11.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
12476431,home,Sheffield United,Auston Trusty,,,auston-trusty,A. Trusty,D,6,188.0,826,M,822459,EUR,902880000,D,5,5,False,97.0,84.0,7.0,2.0,0.0,62.0,69.0,22.0,29.0,4.0,4.0,,,,,,90.0,112.0,7.6,15.0,1,8.0,13.0,,,,,,8.0,12.0,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
12476431,home,Sheffield United,Harry Boyes,Harry Boyes,,harry-boyes,H. Boyes,M,33,180.0,41,M,1121917,EUR,1004659200,D,43,43,False,48.0,40.0,4.0,1.0,0.0,27.0,27.0,16.0,25.0,,2.0,,,,,,70.0,77.0,6.7,18.0,1,5.0,5.0,,2.0,1.0,1.0,,1.0,2.0,3.0,,,,2.0,4.0,,2.0,1.0,,3.0,1.0,1.0,,,,,,,,,,
12476431,home,Sheffield United,Owen Hampson,,,owen-hampson,O. Hampson,M,23,,175,M,1467402,EUR,1100649600,M,44,44,False,29.0,24.0,1.0,,0.0,9.0,10.0,15.0,21.0,1.0,4.0,,,,,,80.0,44.0,6.4,10.0,1,7.0,1.0,1.0,3.0,,1.0,,3.0,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,
12476431,home,Sheffield United,Sydie Peck,,,sydie-peck,S. Peck,M,42,173.0,274,M,1391824,EUR,1095033600,M,42,42,False,68.0,64.0,3.0,3.0,1.0,29.0,30.0,39.0,45.0,,6.0,,,,,,90.0,94.0,8.8,10.0,3,6.0,11.0,,2.0,1.0,3.0,,2.0,3.0,1.0,3.0,,,1.0,7.0,,2.0,4.0,3.0,4.0,,3.0,2.0,2.0,,,,,,,,
12476431,home,Sheffield United,Ismaila Cheick Coulibaly,,,ismaila-cheick-coulibaly,I. C. Coulibaly,M,4,183.0,274,M,873632,EUR,977702400,M,29,29,False,59.0,52.0,4.0,3.0,0.0,27.0,32.0,25.0,27.0,5.0,5.0,,,,,,90.0,81.0,7.0,13.0,2,8.0,4.0,,,,1.0,,4.0,1.0,3.0,1.0,,,3.0,,,1.0,2.0,2.0,,1.0,2.0,,1.0,,,,,,,,
12476431,home,Sheffield United,Anis Ben Slimane,,,anis-ben-slimane,A. B. Slimane,M,20,188.0,2822,M,1006147,EUR,984700800,M,25,25,False,23.0,20.0,,,0.0,7.0,7.0,13.0,16.0,1.0,5.0,,,,,,90.0,46.0,7.7,15.0,2,8.0,5.0,,7.0,3.0,2.0,,2.0,,2.0,,1.0,,5.0,,1.0,,,,,1.0,3.0,1.0,,1.0,1.0,,,,,,
12476431,home,Sheffield United,Louie Marsh,,,louie-marsh,L. Marsh,F,30,176.0,95,M,1426132,EUR,1088640000,F,34,34,False,15.0,12.0,2.0,2.0,0.0,4.0,4.0,8.0,11.0,,1.0,,,,,,70.0,23.0,7.4,5.0,2,6.0,2.0,,,,1.0,,3.0,,2.0,,2.0,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,
