match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAShot,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_aerialWon,stat_duelWon,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_fouls,stat_blockedScoringAttempt,stat_wonTackle,stat_wasFouled,stat_totalCross,stat_dispossessed,stat_shotOffTarget,stat_keyPass,stat_onTargetScoringAttempt,captain,stat_clearanceOffLine,stat_outfielderBlock,stat_accurateCross,stat_hitWoodwork,stat_totalOffside,stat_punches,stat_bigChanceMissed,stat_goals,stat_bigChanceCreated
10411673,home,Monza,Michele Di Gregorio,,,michele-di-gregorio,M. Di Gregorio,G,16,187,8129,M,L'UomoTigre,844609,EUR,869961600,G,16,16,False,27.0,17.0,15.0,5.0,16.0,18.0,1.0,9.0,1.0,1.0,1.0,7.0,1.0,5.0,6.0,90.0,40.0,7.4,10.0,0.0,0.0,0.00030177,0,2.3134,,,,,,,,,,,,,,,,,,,,,,,,,,,
10411673,home,Monza,Marlon,,,marlon,Marlon,D,4,182,529,M,,331853,EUR,810432000,D,4,4,False,41.0,37.0,2.0,,28.0,29.0,9.0,12.0,4.0,1.0,2.0,5.0,,,,71.0,52.0,6.5,6.0,0.0,0.0,0.00361999,0,,1.0,3.0,5.0,2.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
10411673,home,Monza,Pablo Marí,,,pablo-mari,P. Marí,D,30,191,1707,M,,208988,EUR,746755200,D,3,3,False,72.0,64.0,14.0,9.0,46.0,51.0,18.0,21.0,4.0,1.0,3.0,6.0,,,,90.0,83.0,7.0,8.0,0.0573,0.0,0.0101836,2,,2.0,3.0,6.0,,,2.0,2.0,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
10411673,home,Monza,Armando Izzo,,,armando-izzo,A. Izzo,D,4,183,521,M,,165583,EUR,699494400,D,55,55,False,50.0,42.0,8.0,4.0,28.0,31.0,14.0,20.0,4.0,1.0,2.0,7.0,,,,90.0,66.0,6.9,12.0,0.0739,0.0,0.00967147,1,,1.0,1.0,6.0,,,2.0,3.0,,1.0,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
10411673,home,Monza,Samuele Birindelli,,,samuele-birindelli,S. Birindelli,M,19,175,231,M,,856729,EUR,932342400,M,19,19,False,26.0,18.0,3.0,1.0,13.0,16.0,5.0,13.0,3.0,1.0,4.0,1.0,,,,59.0,43.0,6.4,12.0,0.0,0.0,0.00284543,0,,2.0,1.0,2.0,1.0,1.0,,,,1.0,,,,3.0,,,,,,,,,,,,,,
10411673,home,Monza,Nicolò Rovella,,,nicolo-rovella,N. Rovella,M,6,179,2966,M,,937324,EUR,1007424000,M,6,6,False,61.0,56.0,4.0,2.0,37.0,38.0,19.0,25.0,6.0,4.0,2.0,10.0,,,,70.0,79.0,7.2,8.0,0.1189,0.123,0.132336,2,,,1.0,7.0,1.0,1.0,3.0,4.0,,2.0,1.0,3.0,1.0,2.0,,,,1.0,,,,,,,,,,
10411673,home,Monza,Matteo Pessina,,,matteo-pessina,M. Pessina,M,32,183,659,M,,350210,EUR,861580800,M,32,32,False,72.0,62.0,6.0,4.0,39.0,44.0,23.0,29.0,9.0,4.0,1.0,8.0,,,,90.0,98.0,7.8,15.0,0.0,0.0,0.0188439,0,,2.0,3.0,15.0,4.0,3.0,,6.0,2.0,1.0,,2.0,3.0,1.0,1.0,,1.0,,True,1.0,2.0,,,,,,,
10411673,home,Monza,Patrick Ciurria,,,patrick-ciurria,P. Ciurria,F,26,178,222,M,,346676,EUR,792288000,M,84,84,False,42.0,32.0,,,20.0,23.0,13.0,25.0,3.0,,,5.0,,,,90.0,68.0,7.2,20.0,0.1296,0.1262,0.0268805,3,,1.0,,5.0,1.0,,,2.0,2.0,1.0,,1.0,3.0,6.0,,2.0,1.0,1.0,,,,1.0,1.0,,,,,
10411673,home,Monza,Gianluca Caprari,,,gianluca-caprari,G. Caprari,F,24,170,457,M,,148458,EUR,743990400,F,17,17,False,33.0,28.0,3.0,2.0,13.0,14.0,15.0,24.0,5.0,1.0,,5.0,,,,90.0,56.0,6.8,15.0,0.0,0.0,0.0160791,0,,,,9.0,5.0,2.0,1.0,3.0,1.0,1.0,,2.0,4.0,5.0,,,,,,,,,,,,,,
10411673,home,Monza,Dany Mota,,,dany-mota,D. Mota,F,47,180,827,M,,838907,EUR,894067200,F,47,47,False,22.0,16.0,1.0,1.0,6.0,8.0,10.0,16.0,8.0,1.0,1.0,3.0,,,,83.0,33.0,6.6,13.0,0.0,0.0,0.0816034,0,,3.0,1.0,3.0,2.0,1.0,,,1.0,,,,1.0,2.0,3.0,,2.0,,,,,,,1.0,,,,
