match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,stat_onTargetScoringAttempt,stat_goals,stat_outfielderBlock,stat_interceptionWon,stat_bigChanceMissed,stat_shotOffTarget,captain,stat_challengeLost,stat_fouls,stat_totalOffside,stat_blockedScoringAttempt,stat_hitWoodwork,stat_goodHighClaim,stat_punches
10438165,home,Vizela,Fabijan Buntić,,,fabijan-buntic,F. Buntić,G,97,194,2915,M,827377,EUR,856742400,G,97,97,False,18.0,7.0,14.0,3.0,5.0,5.0,2.0,13.0,8.0,3.0,7.0,1.0,1.0,90.0,32.0,8.4,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438165,home,Vizela,Tomás Silva,,,tomas-silva,Tomás,D,10,172,134,M,1176102,EUR,939945600,D,82,82,False,29.0,20.0,5.0,2.0,3.0,5.0,19.0,29.0,6.0,,,,,87.0,60.0,7.7,19.0,0,1.0,5.0,2.0,2.0,4.0,4.0,9.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,,,,,,,,,,,,,,
10438165,home,Vizela,Anderson,,,anderson,Anderson,D,3,185,60,M,922629,EUR,794102400,D,5,5,False,29.0,17.0,10.0,3.0,11.0,16.0,6.0,13.0,2.0,,,,,90.0,44.0,7.9,13.0,1,,,,2.0,6.0,2.0,7.0,,,,,9.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,,,,,,,,,
10438165,home,Vizela,Ivanildo Fernandes,,,ivanildo-fernandes,I. Fernandes,D,14,193,63,M,806515,EUR,827798400,D,4,4,False,19.0,15.0,4.0,2.0,10.0,11.0,5.0,8.0,2.0,,,,,90.0,33.0,7.1,4.0,2,,,,,4.0,,6.0,,,,,7.0,2.0,1.0,,,,,,,,1.0,2.0,,,,,,,,
10438165,home,Vizela,Kiki Afonso,,,kiki-afonso,K. Afonso,D,24,181,59,M,324345,EUR,787017600,D,24,24,False,28.0,18.0,6.0,1.0,8.0,11.0,13.0,22.0,4.0,,,,,90.0,65.0,7.3,13.0,0,,5.0,3.0,4.0,2.0,7.0,6.0,,1.0,1.0,,7.0,2.0,1.0,,1.0,2.0,,,,3.0,,,True,1.0,2.0,1.0,,,,
10438165,home,Vizela,Alex Méndez,,,alex-mendez,A. Méndez,M,19,178,126,M,985125,EUR,968198400,M,19,19,False,23.0,20.0,4.0,2.0,6.0,6.0,14.0,20.0,4.0,,,,,87.0,39.0,7.2,9.0,1,,3.0,,2.0,,4.0,4.0,2.0,1.0,1.0,,1.0,3.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,
10438165,home,Vizela,Claudemir,,,claudemir,Claudemir,M,,185,38,M,34257,EUR,575424000,M,6,6,False,7.0,7.0,1.0,1.0,4.0,4.0,3.0,3.0,1.0,,,,,20.0,9.0,6.4,1.0,0,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
10438165,home,Vizela,Samu,,,samu,Samu,M,20,170,212,M,785808,EUR,830044800,M,20,20,False,32.0,26.0,4.0,3.0,8.0,8.0,18.0,24.0,5.0,,,,,90.0,51.0,6.9,10.0,3,,,,,1.0,7.0,3.0,3.0,1.0,1.0,,3.0,,,,1.0,,1.0,,,3.0,,1.0,,2.0,2.0,,1.0,,,
10438165,home,Vizela,Kiko Bondoso,,,bondoso-kiko,K. Bondoso,M,10,171,86,M,1082948,EUR,816566400,F,10,10,False,20.0,17.0,2.0,2.0,3.0,4.0,15.0,18.0,3.0,,,,,90.0,31.0,6.9,5.0,2,,2.0,1.0,2.0,,3.0,2.0,,1.0,1.0,,,,,1.0,1.0,2.0,2.0,,,,1.0,,,1.0,,1.0,,1.0,,
10438165,home,Vizela,Alexander Schmidt,,,alexander-schmidt,A. Schmidt,F,10,193,80,M,842499,EUR,885168000,F,11,11,False,14.0,5.0,,,1.0,4.0,4.0,10.0,,,,,,59.0,21.0,6.7,10.0,0,,,,6.0,2.0,8.0,3.0,1.0,,,,1.0,1.0,1.0,,,2.0,,,,,,,,,1.0,,,,,
