match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_expectedGoals,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,player_sofascoreId,stat_dispossessed,stat_wasFouled,stat_challengeLost,stat_totalContest,stat_wonContest,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_goalAssist,stat_blockedScoringAttempt,stat_totalOffside,stat_hitWoodwork,stat_goodHighClaim,stat_bigChanceCreated
11407466,home,Genoa,Josep Martínez,josep-martinez,J. Martínez,G,13,191,2817,M,845291,EUR,896227200,G,1,1,False,33.0,20.0,21.0,9.0,17.0,23.0,3.0,10.0,1.0,8.0,1.0,1.0,90.0,39.0,6.4,13.0,0.00049927,0,-0.3534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407466,home,Genoa,Alessandro Vogliacco,alessandro-vogliacco,A. Vogliacco,D,4,186,344,M,807295,EUR,905731200,D,14,14,False,47.0,31.0,9.0,3.0,16.0,23.0,17.0,26.0,4.0,11.0,,,90.0,69.0,7.6,19.0,0.0955371,1,,2.0,2.0,2.0,9.0,3.0,11.0,1.0,6.0,2.0,2.0,2.0,1.0,0.0335,2.0,,,,,,,,,,,,,,,,,,,
11407466,home,Genoa,Koni De Winter,de-winter-koni,K. De Winter,D,5,191,3255,M,1001828,EUR,1023840000,D,4,4,False,40.0,36.0,4.0,1.0,31.0,33.0,5.0,7.0,4.0,8.0,,,90.0,49.0,7.0,4.0,0.05966,0,,,,1.0,1.0,1.0,3.0,,,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,
11407466,home,Genoa,Radu Drăguşin,radu-dragusin,R. Drăguşin,D,3,191,13683,M,997103,EUR,1012694400,D,5,5,False,38.0,32.0,4.0,1.0,19.0,21.0,13.0,17.0,3.0,3.0,,,90.0,50.0,6.7,7.0,0.167939,0,,,,1.0,3.0,2.0,6.0,,,,,,,,1.0,,,,radudragusin5,1.0,3.0,,,,,,,,,,,,,
11407466,home,Genoa,Stefano Sabelli,stefano-sabelli,S. Sabelli,D,20,179,199,M,184421,EUR,726883200,M,20,20,False,25.0,13.0,4.0,,5.0,9.0,8.0,20.0,,5.0,,,83.0,45.0,6.7,17.0,0.0204403,2,,4.0,,,2.0,2.0,3.0,2.0,1.0,,,1.0,3.0,0.0741,1.0,,,,,,1.0,,,,,,,,,,,,,
11407466,home,Genoa,Ruslan Malinovskyi,ruslan-malinovskyi,R. Malinovskyi,M,17,181,4666,M,195850,EUR,736473600,M,17,17,False,30.0,23.0,2.0,1.0,14.0,19.0,9.0,13.0,,2.0,,,72.0,45.0,6.9,13.0,0.00482149,4,,2.0,,2.0,4.0,11.0,6.0,3.0,,1.0,,1.0,4.0,0.0893,,,,,malinovskyi18,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.2829,,,,,,,
11407466,home,Genoa,Milan Badelj,milan-badelj,M. Badelj,M,,186,902,M,39482,EUR,604368000,M,47,47,False,46.0,34.0,12.0,7.0,13.0,14.0,22.0,34.0,1.0,4.0,,,90.0,65.0,7.5,16.0,0.181312,1,,2.0,1.0,1.0,1.0,3.0,6.0,,2.0,1.0,1.0,2.0,1.0,0.0339,1.0,,,,,,4.0,1.0,,,,,,True,1.0,1.0,,,,
11407466,home,Genoa,Morten Frendrup,morten-frendrup,M. Frendrup,M,32,178,1679,M,918440,EUR,986601600,M,32,32,False,28.0,19.0,2.0,1.0,4.0,6.0,15.0,24.0,1.0,5.0,,,90.0,55.0,7.4,20.0,0.0309784,1,,2.0,,,2.0,4.0,10.0,,1.0,5.0,4.0,6.0,1.0,0.0759,1.0,,,1.0,,2.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,
11407466,home,Genoa,Johan Vásquez,johan-vasquez,J. Vásquez,D,22,185,4788,M,889785,EUR,909014400,M,22,22,False,22.0,16.0,3.0,1.0,10.0,12.0,7.0,15.0,2.0,,,,72.0,45.0,6.8,12.0,0.0311256,1,,5.0,1.0,1.0,1.0,5.0,2.0,,3.0,,,1.0,2.0,0.0449,2.0,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,1.0,1.0,,,
11407466,home,Genoa,Junior Messias,junior-messias,J. Messias,F,10,179,1230,M,888219,EUR,674092800,F,10,10,False,23.0,18.0,2.0,1.0,6.0,8.0,14.0,18.0,,3.0,,,66.0,44.0,7.5,11.0,0.136026,3,,3.0,2.0,1.0,,5.0,8.0,2.0,,4.0,3.0,1.0,,0.1988,4.0,,,,,,1.0,1.0,6.0,3.0,,,,,,1.0,2.0,1.0,,
11407466,home,Genoa,Mateo Retegui,mateo-retegui,M. Retegui,F,32,186,15837,M,914501,EUR,925344000,F,19,19,False,13.0,7.0,,,4.0,5.0,3.0,8.0,,4.0,,,90.0,25.0,7.0,11.0,0.00051678,5,,,,2.0,3.0,3.0,5.0,4.0,,1.0,,3.0,,0.3244,,,,,mateoretegui,1.0,1.0,,,,,,,,,1.0,,,,
11407466,home,Genoa,Berkan Kutlu,berkan-kutlu,B. Kutlu,M,18,186,2160,M,992912,EUR,885686400,M,25,25,True,9.0,7.0,1.0,,1.0,1.0,9.0,14.0,,1.0,,,24.0,23.0,6.9,7.0,0.196329,1,,6.0,3.0,1.0,,5.0,3.0,,,1.0,1.0,,2.0,0.0167,2.0,,,,,2.0,2.0,,,,,,,,,1.0,,,,
11407466,home,Genoa,Ridgeciano Haps,ridgeciano-haps,R. Haps,D,5,175,339,M,250501,EUR,739843200,D,55,55,True,8.0,6.0,1.0,1.0,1.0,2.0,6.0,8.0,,1.0,,,18.0,13.0,6.9,4.0,0.0345751,0,,2.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
