match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_firstName,player_lastName,stat_totalCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_interceptionWon,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_aerialWon,stat_onTargetScoringAttempt,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_keyPass,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_bigChanceMissed,captain,stat_accurateCross,stat_goals,stat_totalOffside,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_savedShotsFromInsideTheBox
12116987,home,Flamengo,Agustín Rossi,agustin-rossi,A. Rossi,G,1,195,10864,M,AgustinRossi,1140986,EUR,808963200,G,1,1,False,42.0,31.0,24.0,13.0,0.0,28.0,34.0,3.0,8.0,7.0,2.0,2.0,1.0,1.0,90.0,52.0,7.1,12.0,0.00068959,0,0.0389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12116987,home,Flamengo,Guillermo Varela,guillermo-varela,G. Varela,D,2,171,7450,M,,311456,EUR,732931200,D,2,2,False,31.0,25.0,3.0,,0.0,17.0,20.0,8.0,12.0,4.0,,,,,90.0,48.0,6.4,10.0,0.00250103,0,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
12116987,home,Flamengo,Fabrício Bruno,fabricio-bruno,F. Bruno,D,15,192,6526,M,fabriciobruno96,840220,EUR,824083200,D,15,15,False,66.0,57.0,13.0,7.0,0.0,44.0,46.0,13.0,20.0,4.0,,,,,90.0,80.0,7.4,9.0,0.00394977,1,,,,,,1.0,5.0,,,2.0,1.0,2.0,1.0,7.0,2.0,1.0,1.0,0.0389,0.346,,,,,,,,,,,,,,
12116987,home,Flamengo,Léo Pereira,leo-pereira,L. Pereira,D,4,189,8450,M,leopereira4,358548,EUR,823046400,D,4,4,False,56.0,43.0,16.0,10.0,0.0,32.0,38.0,11.0,18.0,4.0,,,,,90.0,62.0,7.1,13.0,0.144257,0,,,,,,,3.0,2.0,,,,1.0,,1.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,
12116987,home,Flamengo,Ayrton Lucas,ayrton-lucas,A. Lucas,D,6,180,7146,M,AyrtonLucas,818473,EUR,866678400,D,6,6,False,24.0,20.0,2.0,2.0,0.0,9.0,12.0,11.0,14.0,5.0,,,,,90.0,53.0,6.4,13.0,0.00472415,1,,,,2.0,2.0,9.0,7.0,,1.0,1.0,1.0,3.0,,3.0,,2.0,1.0,0.0151,,,1.0,4.0,2.0,1.0,1.0,,,,,,,,
12116987,home,Flamengo,Erick Pulgar,erick-pulgar,E. Pulgar,M,5,186,12411,M,erick05,590262,EUR,758592000,M,5,5,False,42.0,37.0,1.0,1.0,0.0,18.0,22.0,19.0,20.0,2.0,,,,,90.0,50.0,6.3,6.0,0.0343533,1,,,,,,8.0,3.0,1.0,,,3.0,1.0,1.0,,,2.0,1.0,0.1956,0.532,,4.0,1.0,,,,1.0,,,,,,,
12116987,home,Flamengo,Allan,allan,Allan,M,29,172,5267,M,,828839,EUR,857347200,M,21,21,False,37.0,32.0,1.0,,0.0,18.0,19.0,14.0,18.0,,,,,,80.0,48.0,6.6,7.0,0.0122184,0,,,,,1.0,5.0,3.0,1.0,,2.0,2.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,
12116987,home,Flamengo,Bruno Henrique,bruno-henrique,B. Henrique,F,27,184,33811,M,B.henrique,795291,EUR,662515200,M,27,27,False,23.0,17.0,1.0,1.0,0.0,8.0,8.0,10.0,16.0,8.0,,,,,76.0,44.0,7.2,11.0,0.103565,2,,,,1.0,2.0,7.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,,,,0.0466,0.0512,1.0,,1.0,2.0,1.0,1.0,,True,1.0,,,,,
12116987,home,Flamengo,Nicolás de la Cruz,nicolas-de-la-cruz,N. de la Cruz,M,18,167,16989,M,nicodelacruz10,877513,EUR,865123200,M,18,18,False,31.0,21.0,2.0,1.0,1.0,5.0,9.0,16.0,25.0,5.0,,,,,77.0,48.0,8.7,14.0,0.0716448,2,,,,3.0,,4.0,9.0,,1.0,3.0,2.0,2.0,1.0,,,3.0,3.0,0.7572,0.2565,2.0,2.0,,1.0,1.0,1.0,,,,1.0,,,,
12116987,home,Flamengo,Everton,everton,Everton,M,11,174,12386,M,Evertons,386198,EUR,827452800,M,11,11,False,1.0,1.0,,,0.0,,,1.0,1.0,1.0,,,,,13.0,4.0,6.6,1.0,0.00011795,0,,Everton,,,,1.0,2.0,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,,
