match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_blockedScoringAttempt,stat_expectedGoals,stat_wonContest,stat_wasFouled,stat_shotOffTarget,player_firstName,player_lastName,player_sofascoreId,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,captain,stat_penaltyWon,stat_totalOffside,stat_penaltyConceded,stat_penaltyFaced,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceMissed,stat_bigChanceCreated,stat_errorLeadToAShot
11409140,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,26.0,12.0,16.0,2.0,11.0,12.0,1.0,14.0,2.0,9.0,1.0,4.0,7.0,1.0,90.0,39.0,8.5,15.0,0.00021513,0,0.7976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11409140,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,28.0,22.0,4.0,2.0,13.0,17.0,10.0,12.0,5.0,3.0,,,,,90.0,66.0,6.8,16.0,0.0988688,0,,1.0,1.0,4.0,2.0,10.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,
11409140,home,SC Farense,Gonçalo Silva,goncalo-silva,G. Silva,D,37,184,75,M,169729,EUR,675993600,D,37,37,False,30.0,23.0,7.0,4.0,18.0,21.0,5.0,9.0,4.0,4.0,,,,,90.0,42.0,7.2,10.0,0.00889065,0,,,,2.0,1.0,4.0,3.0,,,,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,
11409140,home,SC Farense,Zach Muscat,zach-muscat,Z. Muscat,D,22,184,90,M,97622,EUR,745977600,D,6,6,False,41.0,30.0,10.0,3.0,26.0,29.0,4.0,12.0,6.0,2.0,,,,,90.0,56.0,7.7,11.0,0.00366406,1,,,,2.0,4.0,2.0,4.0,,,,5.0,,,,,,1.0,1.0,0.0159,,,,,,,,,,,,,,,,,,,
11409140,home,SC Farense,Talocha,talocha,Talocha,D,31,180,43,M,778216,EUR,620438400,D,31,31,False,36.0,25.0,7.0,2.0,9.0,14.0,17.0,27.0,4.0,4.0,,,,,90.0,74.0,7.3,23.0,0.0367747,1,,5.0,1.0,2.0,3.0,4.0,8.0,,,1.0,,2.0,3.0,1.0,3.0,2.0,1.0,1.0,0.0279,1.0,1.0,,,,,,,,,,,,,,,,,
11409140,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,21.0,15.0,4.0,3.0,8.0,10.0,7.0,11.0,1.0,1.0,,,,,65.0,31.0,7.0,6.0,0.00406023,1,,,,1.0,,2.0,3.0,,,,1.0,2.0,3.0,1.0,,1.0,,,0.1593,,,1.0,,,,,,,,,,,,,,,,
11409140,home,SC Farense,Mohamed Belloumi,mohamed-belloumi,M. Belloumi,F,10,174,4940,M,1125839,EUR,1022889600,M,62,62,False,18.0,11.0,3.0,1.0,4.0,5.0,7.0,15.0,3.0,4.0,,,,,82.0,45.0,7.0,17.0,0.112193,1,,2.0,,2.0,1.0,7.0,6.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,,1.0,0.0965,3.0,,,,,b.m.belooumi.10,,,,,,,,,,,,,
11409140,home,SC Farense,Mattheus,mattheus,Mattheus,M,,182,151,M,243575,EUR,773539200,M,27,27,False,35.0,30.0,7.0,5.0,15.0,16.0,16.0,23.0,,8.0,,,,,65.0,51.0,7.8,10.0,0.154674,2,,4.0,1.0,,,2.0,6.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,0.8057,1.0,4.0,,,,,1.0,1.0,0.9949,,,,,,,,,,
11409140,home,SC Farense,Vítor Gonçalves,vitor-goncalves,V. Gonçalves,M,8,174,14,M,170483,EUR,701827200,M,80,80,False,27.0,20.0,,,10.0,14.0,11.0,14.0,3.0,7.0,,,,,82.0,45.0,7.2,11.0,0.0466062,1,,1.0,1.0,2.0,5.0,7.0,12.0,1.0,1.0,2.0,,,4.0,3.0,1.0,2.0,1.0,,0.0267,1.0,2.0,1.0,,,,,,,,,,,,,,,,
11409140,home,SC Farense,Marco Matias,marco-matias,M. Matias,F,77,177,35,M,77929,EUR,610761600,M,77,77,False,26.0,22.0,3.0,3.0,9.0,10.0,13.0,17.0,,5.0,,,,,58.0,34.0,6.7,9.0,0.0148406,0,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,3.0,1.0,,,,1.0,,,,,,,,,True,,,,,,,,,
