match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_sofascoreId,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_dispossessed,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_totalContest,stat_wonContest,stat_blockedScoringAttempt,stat_bigChanceCreated,stat_totalOffside,stat_bigChanceMissed,stat_hitWoodwork,stat_penaltyConceded,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_ownGoals,stat_penaltyWon,stat_goals
11761783,home,Corinthians,Cássio,cassio,Cássio,G,1,195,4592,M,rcassio12,27756,EUR,549936000,G,12,12,False,True,18.0,13.0,13.0,8.0,11.0,13.0,2.0,5.0,1.0,6.0,1.0,1.0,90.0,23.0,6.4,5.0,0.00019627,0,0.1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11761783,home,Corinthians,Fagner,fagner,Fagner,D,23,168,3781,M,Fagner,25554,EUR,613526400,D,23,23,False,,46.0,31.0,8.0,4.0,12.0,17.0,22.0,38.0,,5.0,,,72.0,77.0,6.9,27.0,0.109194,0,,9.0,3.0,2.0,6.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
11761783,home,Corinthians,Gil,gil,Gil,D,4,191,1081,M,,106402,EUR,550454400,D,4,4,False,,28.0,24.0,4.0,2.0,15.0,17.0,9.0,11.0,1.0,6.0,,,90.0,40.0,7.6,5.0,0.00487447,3,,,,3.0,7.0,8.0,,3.0,3.0,,,3.0,,,,5.0,1.0,1.0,2.0,1.0,1.0,1.0,0.1168,0.4319,,,,,,,,,,,,,
11761783,home,Corinthians,Lucas Veríssimo,lucas-verissimo,L. Veríssimo,D,28,188,1027,M,,826343,EUR,804643200,D,3,3,False,,30.0,27.0,1.0,1.0,19.0,20.0,8.0,10.0,2.0,3.0,,,90.0,37.0,7.1,3.0,0.00315235,1,,,,1.0,1.0,3.0,,,,,,,,,,3.0,,1.0,,,3.0,1.0,0.0723,,,,,,,,,,,,,,
11761783,home,Corinthians,Fábio Santos,fabio-santos,Fábio Santos,D,6,179,356,,,35519,EUR,495676800,D,6,6,False,,68.0,56.0,8.0,4.0,23.0,24.0,33.0,48.0,3.0,6.0,,,90.0,87.0,6.5,18.0,0.0310883,0,,4.0,,3.0,4.0,3.0,,1.0,,2.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
11761783,home,Corinthians,Fausto Vera,fausto-vera,F. Vera,M,8,181,1966,M,,930690,EUR,954028800,M,5,5,False,,35.0,28.0,3.0,2.0,13.0,16.0,15.0,20.0,1.0,2.0,,,45.0,45.0,7.2,8.0,0.0375476,1,,1.0,,2.0,3.0,6.0,,4.0,1.0,,,3.0,,,,2.0,,,1.0,,,2.0,0.0161,0.1857,,,,,,,,,,,,,
11761783,home,Corinthians,Maycon,maycon,Maycon,M,8,175,3568,M,,831778,EUR,868924800,M,7,7,False,,56.0,49.0,5.0,4.0,16.0,16.0,33.0,40.0,1.0,6.0,,,90.0,67.0,7.2,8.0,0.0160882,0,,,,1.0,3.0,3.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,
11761783,home,Corinthians,Giuliano,giuliano,Giuliano,M,,172,929,M,,90862,EUR,644112000,M,20,20,False,,37.0,31.0,2.0,,13.0,13.0,18.0,24.0,1.0,7.0,,,87.0,56.0,7.3,9.0,0.0265092,5,,,,1.0,5.0,7.0,2.0,5.0,3.0,3.0,1.0,2.0,,,,1.0,,3.0,1.0,,,1.0,0.3738,0.2617,,,1.0,,,,,,,,,,
11761783,home,Corinthians,Renato Augusto,renato-augusto,R. Augusto,M,7,185,1895,M,,34152,EUR,571276800,M,8,8,False,,37.0,32.0,4.0,3.0,9.0,11.0,27.0,34.0,1.0,2.0,,,81.0,59.0,7.9,13.0,0.231391,3,,8.0,4.0,2.0,2.0,4.0,,3.0,2.0,2.0,,,5.0,,,,,2.0,1.0,,,,0.0765,0.058,1.0,1.0,,,,,,,,,,,
11761783,home,Corinthians,Ángel Romero,angel-romero,Á. Romero,F,29,177,10605,M,ÁRomero,1197041,EUR,710208000,M,11,11,False,,31.0,26.0,,,8.0,9.0,20.0,27.0,1.0,1.0,,,72.0,45.0,7.5,9.0,0.281892,2,,5.0,2.0,1.0,3.0,6.0,,1.0,1.0,,3.0,1.0,4.0,,,2.0,,2.0,,,,,0.0731,,1.0,,,1.0,1.0,,,,,,,,
