match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,player_sofascoreId,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_keyPass,stat_aerialWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_unsuccessfulTouch,stat_fouls,stat_wonContest,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_expectedGoals,stat_shotValueNormalized,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_goals,stat_bigChanceMissed,stat_shotOffTarget,stat_outfielderBlock,stat_lastManTackle
14065720,home,Paris Saint-Germain,Lucas Chevalier,,,chevalier-lucas,L. Chevalier,G,30,188,21320,M,996953,EUR,1005004800,G,30,30,False,26.0,25.0,4.0,3.0,0.0,23.0,23.0,2.0,3.0,9.0,1.0,2.0,3.0,90.0,38.0,7.6,2.0,0.00035826,0.2747,0,0.4011,0.07,0.01,0.37,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14065720,home,Paris Saint-Germain,Achraf Hakimi,,,hakimi-achraf,A. Hakimi,D,2,181,124757,M,814594,EUR,910137600,D,2,2,False,66.0,62.0,1.0,,0.0,26.0,29.0,36.0,37.0,3.0,,,,90.0,81.0,6.6,7.0,0.0369133,,0,,0.07,-0.51,0.18,,AHakimi,True,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14065720,home,Paris Saint-Germain,Ilya Zabarnyi,,,illia-zabarnyi,I. Zabarnyi,D,6,189,17027,M,1023567,EUR,1030838400,D,6,6,False,87.0,78.0,5.0,1.0,0.0,56.0,61.0,22.0,26.0,3.0,,,,90.0,101.0,6.9,11.0,0.00550496,,0,,0.12,0.06,0.14,,IlliaZabarnyi,,,,1.0,3.0,2.0,1.0,,1.0,,,,1.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,
14065720,home,Paris Saint-Germain,Lucas Beraldo,Lucas Beraldo,,lucas-beraldo,L. Beraldo,D,4,182,17502,M,1108441,EUR,1069632000,D,4,4,False,83.0,81.0,2.0,1.0,0.0,66.0,66.0,15.0,17.0,5.0,,,,70.0,87.0,7.0,2.0,0.00909434,,0,,0.27,0.05,-0.14,,lberaldo,,,,,1.0,2.0,,,2.0,1.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,
14065720,home,Paris Saint-Germain,Lucas Hernández,,,lucas-hernandez,L. Hernández,D,21,183,10246,M,352370,EUR,824256000,D,21,21,False,89.0,88.0,2.0,2.0,0.0,57.0,58.0,31.0,31.0,,,,,90.0,102.0,6.9,3.0,0.0157544,,0,,0.23,0.01,0.14,,lucashernandez21,,,,1.0,5.0,1.0,1.0,1.0,,,1.0,1.0,,,2.0,,,2.0,,,,,,,,,,,,
14065720,home,Paris Saint-Germain,Warren Zaïre-Emery,,,warren-zaire-emery,W. Zaïre-Emery,M,33,178,16154,M,1142672,EUR,1141776000,M,33,33,False,64.0,59.0,1.0,,0.0,30.0,30.0,29.0,34.0,1.0,,,,71.0,79.0,7.0,9.0,0.0203692,,0,,-0.13,0.21,-0.02,,wzairemery6,,,,,4.0,8.0,2.0,4.0,3.0,3.0,1.0,,,1.0,,,2.0,1.0,4.0,,,,,,,,,,,
14065720,home,Paris Saint-Germain,Vitinha,,,vitinha,Vitinha,M,17,172,50484,M,902029,EUR,950400000,M,17,17,False,147.0,140.0,13.0,11.0,2.0,68.0,70.0,72.0,77.0,7.0,,,,90.0,165.0,9.1,13.0,0.274973,,2,,0.71,0.59,0.0,,vitinha,,3.0,,,4.0,4.0,2.0,3.0,,,2.0,4.0,,1.0,1.0,1.0,,,2.0,1.0,2.0,0.0905,-0.32,,,,,,,
14065720,home,Paris Saint-Germain,Kang-in Lee,,,kang-in-lee,K. Lee,M,19,173,19307,M,917087,EUR,982540800,M,19,19,False,31.0,27.0,1.0,1.0,0.0,10.0,12.0,17.0,19.0,6.0,,,,57.0,41.0,6.6,6.0,0.051588,,2,,0.06,-0.39,-0.04,,kanginlee,,1.0,1.0,,3.0,3.0,,2.0,1.0,1.0,1.0,,,,1.0,,1.0,2.0,1.0,,1.0,0.0741,0.01,1.0,0.0331,,,,,
14065720,home,Paris Saint-Germain,Khvicha Kvaratskhelia,,,khvicha-kvaratskhelia,K. Kvaratskhelia,F,7,183,97764,M,889259,EUR,981936000,F,7,7,False,16.0,14.0,1.0,,0.0,5.0,5.0,9.0,11.0,,,,,30.0,24.0,6.4,5.0,0.188845,,0,,-0.37,0.17,-0.05,,Kvaradona,,1.0,,,3.0,2.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,
14065720,home,Paris Saint-Germain,Gonçalo Ramos,,,goncalo-ramos,G. Ramos,F,9,185,23725,M,934510,EUR,992995200,F,9,9,False,23.0,19.0,,,0.0,6.0,7.0,13.0,16.0,1.0,,,,90.0,31.0,6.4,7.0,0.0148529,,2,,-0.27,0.11,0.15,,goncaloramos88,,,,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,1.0,,3.0,2.0,1.0,,,0.2607,0.12,2.0,0.8236,,,,,
