match_id,text,homeScore,awayScore,isLive,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,id,isHome,incidentClass,player_id,player_name,playerName,rescinded,injury,length,confirmed,reason
11369958,FT,3.0,1.0,False,90,999.0,5400.0,1,0.0,2700.0,period,,,,,,,,,,,
11369958,,3.0,1.0,,90,8.0,,1,,,goal,177728682.0,True,regular,281283.0,Patrick Pflücke,,,,,,
11369958,,2.0,1.0,,90,6.0,,1,,,goal,177728573.0,True,regular,133164.0,Rob Schoofs,,,,,,
11369958,,,,,90,4.0,,1,,,card,121115998.0,False,yellow,588996.0,Philipe Sampaio,Philipe Sampaio,False,,,,
11369958,,,,,90,1.0,,1,,,substitution,122371171.0,True,regular,,,,,False,,,
11369958,,,,,90,1.0,,1,,,substitution,122371173.0,False,regular,,,,,False,,,
11369958,,,,,90,,,1,,,substitution,122371172.0,False,regular,,,,,False,,,
11369958,,,,,90,0.0,,1,,,injuryTime,,,,,,,,,7.0,,
11369958,,1.0,1.0,,86,,,5,,,goal,177728243.0,False,regular,1410231.0,Pathé Mboup,,,,,,
11369958,,,,,78,,,13,,,substitution,122371074.0,False,regular,,,,,False,,,
11369958,,,,,78,,,13,,,varDecision,23036.0,True,goalAwarded,338869.0,Kerim Mrabti,,,,,False,
11369958,,1.0,0.0,,72,,,19,,,goal,177727928.0,True,regular,281283.0,Patrick Pflücke,,,,,,
11369958,,,,,70,,,21,,,varDecision,23034.0,False,penaltyNotAwarded,1397747.0,Ilay Camara,,,,,True,
11369958,,,,,65,,,26,,,substitution,122371053.0,True,regular,,,,,False,,,
11369958,,,,,65,,,26,,,substitution,122371054.0,True,regular,,,,,False,,,
11369958,,,,,56,,,35,,,substitution,122371042.0,False,regular,,,,,False,,,
11369958,HT,0.0,0.0,False,45,999.0,2700.0,1,0.0,2700.0,period,,,,,,,,,,,
11369958,,,,,45,0.0,,1,,,injuryTime,,,,,,,,,3.0,,
11369958,,,,,36,,,10,,,card,121115802.0,False,yellow,941164.0,Makhtar Gueye,Makhtar Gueye,False,,,,Time wasting
11369958,,,,,4,,,42,,,card,121115721.0,False,red,794269.0,Jeff Reine-Adélaïde,Jeff Reine-Adélaïde,False,,,,Foul
11369958,,,,,4,,,42,,,varDecision,23027.0,False,cardUpgrade,794269.0,Jeff Reine-Adélaïde,,,,,False,
