match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_errorLeadToAGoal,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,player_firstName,player_lastName,stat_shotOffTarget,stat_expectedGoals,player_sofascoreId,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_unsuccessfulTouch,stat_expectedGoalsOnTarget,stat_bigChanceCreated,stat_accurateCross,stat_blockedScoringAttempt,stat_hitWoodwork,stat_outfielderBlock,captain,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_errorLeadToAShot
12450965,home,Stade Rennais,Brice Samba,brice-samba,B. Samba,G,30,186.0,2098,M,164055,EUR,767232000,G,1,1,False,31.0,26.0,8.0,3.0,0.0,24.0,24.0,2.0,7.0,1.0,8.0,1.0,1.0,1.0,90.0,39.0,6.3,5.0,0.00186715,0,-0.8518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12450965,home,Stade Rennais,Hans Hateboer,hans-hateboer,H. Hateboer,D,33,185.0,622,M,356352,EUR,758073600,D,33,33,False,81.0,67.0,3.0,2.0,0.0,36.0,42.0,31.0,40.0,7.0,5.0,,,,90.0,102.0,7.0,17.0,0.0130363,0,,1.0,3.0,3.0,6.0,6.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
12450965,home,Stade Rennais,Leo Østigård,leo-ostigard,L. Østigård,D,5,182.0,1809,M,879746,EUR,943747200,D,55,55,False,54.0,46.0,3.0,2.0,0.0,30.0,32.0,16.0,22.0,3.0,6.0,,,,65.0,62.0,7.0,8.0,0.00555044,1,,,2.0,4.0,2.0,5.0,,,,,,1.0,1.0,,,,,,1.0,0.0198,,,,,,,,,,,,,,,
12450965,home,Stade Rennais,Christopher Wooh,christopher-wooh,C. Wooh,D,3,190.0,3805,M,930231,EUR,1000771200,D,4,4,False,77.0,67.0,4.0,1.0,0.0,35.0,37.0,32.0,40.0,3.0,3.0,,,,90.0,96.0,7.3,14.0,0.0473175,2,,,2.0,10.0,4.0,12.0,,1.0,2.0,1.0,4.0,,,1.0,1.0,,,,,0.4291,chriswooh,1.0,2.0,2.0,0.7197,,,,,,,,,,
12450965,home,Stade Rennais,Lorenz Assignon,lorenz-assignon,L. Assignon,M,22,179.0,641,M,1009334,EUR,961632000,M,22,22,False,57.0,47.0,1.0,1.0,0.0,21.0,25.0,26.0,33.0,1.0,5.0,,,,90.0,101.0,6.4,23.0,0.66722,2,,1.0,,1.0,13.0,7.0,2.0,2.0,11.0,4.0,,,,2.0,2.0,2.0,,,2.0,0.1372,,1.0,,3.0,,1.0,,,,,,,,,
12450965,home,Stade Rennais,Jordan James,jordan-james,J. James,M,6,190.0,940,M,1136409,EUR,1083024000,M,17,17,False,31.0,29.0,,,0.0,12.0,12.0,18.0,21.0,3.0,4.0,,,,58.0,43.0,6.9,4.0,0.148807,2,,2.0,,1.0,7.0,5.0,1.0,1.0,,,,3.0,2.0,1.0,5.0,2.0,,,,0.0392,,,,,,,1.0,2.0,1.0,,,,,,
12450965,home,Stade Rennais,Azor Matusiwa,azor-matusiwa,A. Matusiwa,M,5,173.0,458,M,856495,EUR,893721600,M,6,6,False,48.0,40.0,1.0,1.0,0.0,21.0,22.0,19.0,26.0,3.0,8.0,,,,90.0,70.0,7.7,12.0,0.0347386,0,,,3.0,4.0,7.0,14.0,1.0,2.0,3.0,3.0,1.0,6.0,5.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,1.0,,,,,
12450965,home,Stade Rennais,Adrien Truffert,truffert-adrien,A. Truffert,M,3,176.0,1506,M,999028,EUR,1006214400,M,3,3,False,49.0,43.0,1.0,,0.0,18.0,18.0,26.0,37.0,2.0,6.0,,,,88.0,69.0,6.8,13.0,0.0445203,1,,6.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,,,,,,,,1.0,0.0479,,,,,,,1.0,,,1.0,True,,,,
12450965,home,Stade Rennais,Ludovic Blas,ludovic-blas,L. Blas,F,10,180.0,1176,M,806076,EUR,883526400,F,11,11,False,43.0,33.0,4.0,3.0,0.0,7.0,9.0,29.0,40.0,,3.0,,,,90.0,78.0,9.2,22.0,0.279034,5,,6.0,2.0,,9.0,10.0,,4.0,10.0,8.0,1.0,1.0,,1.0,1.0,6.0,,,1.0,0.2367,,,4.0,3.0,0.8594,1.0,3.0,,,,,1.0,1.0,,
12450965,home,Stade Rennais,Seko Fofana,seko-fofana,S. Fofana,M,42,184.0,11416,M,191188,EUR,799804800,F,75,75,False,63.0,59.0,1.0,,0.0,19.0,21.0,41.0,43.0,1.0,5.0,,,,90.0,77.0,7.5,6.0,0.245312,3,,1.0,1.0,3.0,4.0,6.0,,2.0,1.0,1.0,,2.0,2.0,,1.0,3.0,,,1.0,0.1794,sekofofana,,,,,,1.0,2.0,,,,,,,
