match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_punches,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalContest,stat_bigChanceCreated,stat_shotOffTarget,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_totalTackle,stat_wonTackle,stat_fouls,stat_keyPass,stat_shotValueNormalized,stat_interceptionWon,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_totalProgressiveBallCarriesDistance,stat_progressiveBallCarriesCount,stat_dispossessed,stat_wonContest,stat_goals,stat_outfielderBlock,stat_lastManTackle,stat_penaltyConceded,stat_totalOffside,player_sofascoreId,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_penaltyWon
15197264,home,Ipswich Town,Alex Palmer,,,alex-palmer,A. Palmer,G,1,190.0,226,M,796143,EUR,839635200.0,G,1,1,False,21.0,20.0,3.0,2.0,0.0,19.0,20.0,1.0,1.0,1.0,2.0,3.0,7.0,1.0,2.0,1.0,2.0,2.0,90.0,32.0,6.7,1.0,23.774647474003,4.0,3.045,4.725,0.0164,0,0.04,0.0,-0.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15197264,home,Ipswich Town,Ashley Young,,,ashley-young,A. Young,D,15,180.0,1704,M,10589,EUR,489715200.0,D,15,15,False,78.0,74.0,5.0,3.0,1.0,28.0,28.0,46.0,50.0,,4.0,1.0,2.0,1.0,,,,,90.0,99.0,7.8,6.0,151.66722520928,26.0,63.735,14.175,,3,0.97,0.16,-0.23,,True,7.0,6.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,7.0,0.02,,,,,,,,,,,,,,,,
15197264,home,Ipswich Town,Cédric Kipré,,,cedric-kipre,C. Kipré,D,4,196.0,667,M,886802,EUR,850089600.0,D,4,4,False,97.0,91.0,7.0,4.0,0.0,29.0,29.0,62.0,68.0,,1.0,3.0,3.0,1.0,,,,,90.0,107.0,7.5,8.0,452.06892618491,53.0,312.69,27.09,,2,0.67,0.38,-0.29,,,,,3.0,3.0,,,,1.0,1.0,,,,,,-0.34,1.0,1.0,2.0,103.55835653004,5.0,,,,,,,,,,,
15197264,home,Ipswich Town,Jacob Greaves,,,jacob-greaves,J. Greaves,D,24,193.0,528,M,990821,EUR,968716800.0,D,24,24,False,100.0,93.0,6.0,2.0,0.0,40.0,42.0,53.0,58.0,2.0,8.0,3.0,5.0,,,,,,90.0,124.0,8.2,12.0,432.70432702162,47.0,160.02,15.54,,3,0.41,0.29,0.3,,,2.0,1.0,1.0,3.0,,1.0,,2.0,1.0,,5.0,5.0,1.0,1.0,0.38,2.0,,2.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,
15197264,home,Ipswich Town,Ben Johnson,,,ben-johnson,B. Johnson,D,18,182.0,611,M,914412,EUR,948672000.0,D,18,18,False,55.0,50.0,3.0,2.0,1.0,19.0,20.0,31.0,35.0,1.0,5.0,1.0,6.0,,,,,,89.0,78.0,7.5,12.0,252.80350149287,26.0,71.19,21.42,,3,0.38,0.19,0.16,,,4.0,2.0,,2.0,,2.0,,3.0,,,3.0,2.0,,4.0,0.0,1.0,,3.0,86.219176124765,5.0,1.0,1.0,,,,,,,,,
15197264,home,Ipswich Town,Azor Matusiwa,,,azor-matusiwa,A. Matusiwa,M,5,173.0,453,M,856495,EUR,893721600.0,M,5,5,False,49.0,47.0,2.0,2.0,0.0,17.0,17.0,30.0,32.0,,1.0,1.0,4.0,,,,,,90.0,54.0,7.0,3.0,156.46480568125,21.0,40.74,32.55,,0,0.3,0.25,-0.03,,,,,,1.0,,1.0,,,,,,,1.0,,,,,1.0,32.886431305327,1.0,,1.0,,,,,,,,,
15197264,home,Ipswich Town,Jack Taylor,,,jack-taylor,J. Taylor,M,14,185.0,327,M,856669,EUR,898560000.0,M,14,14,False,47.0,41.0,,,0.0,17.0,18.0,24.0,29.0,2.0,4.0,1.0,3.0,1.0,,,,,90.0,63.0,6.4,9.0,136.68609153266,16.0,101.115,33.6,,6,-0.11,0.27,0.23,,,,,,1.0,,,,3.0,1.0,2.0,1.0,1.0,2.0,2.0,-0.6,,,3.0,33.689059114199,1.0,,,,2.0,,,,,,,
15197264,home,Ipswich Town,Wes Burns,,,wes-burns,W. Burns,M,7,173.0,185,M,305302,EUR,784684800.0,M,7,7,False,17.0,15.0,1.0,,0.0,3.0,3.0,12.0,14.0,2.0,2.0,1.0,,,,,,,73.0,28.0,6.7,9.0,88.304061208363,10.0,49.98,19.425,,3,-0.11,0.15,0.14,,,5.0,,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,0.03,,,2.0,33.264995299168,2.0,,,,,,,,,,,
15197264,home,Ipswich Town,Jack Clarke,,,jack-clarke,J. Clarke,M,47,181.0,1602,M,921005,EUR,974937600.0,M,47,47,False,36.0,35.0,3.0,3.0,0.0,4.0,4.0,31.0,32.0,,3.0,,7.0,1.0,,,,,73.0,48.0,7.4,7.0,265.05818231679,22.0,102.795,38.325,,2,0.32,0.51,0.15,,,5.0,,,1.0,,1.0,,,,2.0,1.0,1.0,,4.0,-0.29,,,,91.19469549185,5.0,1.0,1.0,,,,,,,,,
15197264,home,Ipswich Town,Jaden Philogene-Bidace,,,jaden-philogene-bidace,J. Philogene-Bidace,M,11,181.0,4489,M,1014461,EUR,1013126400.0,M,11,11,False,50.0,44.0,5.0,4.0,0.0,11.0,11.0,33.0,39.0,,7.0,1.0,3.0,2.0,,,,,73.0,84.0,7.8,21.0,256.01996283803,29.0,32.445,13.755,,6,0.04,0.46,-0.04,,,4.0,,,11.0,1.0,6.0,,2.0,2.0,2.0,3.0,3.0,3.0,2.0,0.51,,,3.0,75.966039843242,6.0,3.0,2.0,1.0,,,,,,,,
