match_id,side,team,player_name,player_firstName,player_lastName,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_unsuccessfulTouch,stat_keyPass,player_sofascoreId,captain,stat_fouls,stat_outfielderBlock,stat_onTargetScoringAttempt,stat_goals,stat_wonTackle,stat_blockedScoringAttempt,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim,stat_penaltyFaced,stat_bigChanceMissed,stat_penaltyConceded
10438069,home,Benfica,Odysseas Vlachodimos,,,odysseas-vlachodimos,O. Vlachodimos,G,1,191,2909,M,138149,EUR,767318400,G,99,99,False,26.0,22.0,7.0,3.0,20.0,23.0,2.0,3.0,1.0,2.0,5.0,2.0,3.0,5.0,88.0,38.0,7.7,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10438069,home,Benfica,Alexander Bah,,,alexander-bah,A. Bah,D,6,183,2276,M,850976,EUR,881625600,D,6,6,False,49.0,36.0,3.0,1.0,13.0,16.0,24.0,37.0,1.0,4.0,6.0,,,,72.0,76.0,7.2,20.0,0,1.0,4.0,1.0,2.0,6.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,
10438069,home,Benfica,Nicolás Otamendi,,,nicolas-otamendi,N. Otamendi,D,30,183,17844,M,74915,EUR,571622400,D,30,30,False,92.0,84.0,7.0,2.0,59.0,61.0,25.0,31.0,1.0,1.0,5.0,,,,90.0,98.0,6.9,8.0,0,,,,1.0,2.0,,,,,,3.0,,,,,Notamendi30,True,1.0,,,,,,,,,,,
10438069,home,Benfica,Morato,,,morato,F. Morato,D,4,190,2248,M,985086,EUR,993859200,D,91,91,False,84.0,78.0,4.0,1.0,59.0,62.0,19.0,22.0,1.0,3.0,8.0,2.0,,,90.0,88.0,7.1,6.0,0,,,,,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
10438069,home,Benfica,Alejandro Grimaldo,,,alejandro-grimaldo,A. Grimaldo,M,20,171,13008,M,177177,EUR,811555200,D,3,3,False,56.0,49.0,4.0,2.0,21.0,22.0,28.0,39.0,1.0,9.0,5.0,2.0,,,90.0,85.0,7.8,16.0,1,,5.0,,1.0,5.0,3.0,,5.0,4.0,,,1.0,2.0,3.0,2.0,grimaldo35,,,,1.0,1.0,1.0,,,,,,,
10438069,home,Benfica,João Neves,,,joao-neves,J. Neves,M,87,174,37142,M,1190933,EUR,1096243200,M,87,87,False,89.0,78.0,8.0,5.0,38.0,39.0,40.0,51.0,1.0,11.0,9.0,3.0,,,90.0,105.0,7.3,14.0,0,,1.0,,,7.0,2.0,2.0,,,,1.0,1.0,7.0,,,joao_neves,,3.0,,,,4.0,,,,,,,
10438069,home,Benfica,Florentino Luís,,,florentino-luis,F. Luís,M,16,184,3615,M,855845,EUR,935020800,M,61,61,False,66.0,63.0,2.0,2.0,24.0,24.0,39.0,42.0,2.0,11.0,3.0,1.0,,,73.0,88.0,8.1,7.0,1,,,,,2.0,1.0,,4.0,4.0,,1.0,3.0,4.0,4.0,4.0,,,1.0,,,,3.0,1.0,,,,,,
10438069,home,Benfica,João Mário,,,joao-mario,J. Mário,M,10,179,3804,M,97001,EUR,727401600,M,20,20,False,58.0,55.0,1.0,1.0,24.0,25.0,31.0,33.0,,4.0,9.0,1.0,,,90.0,69.0,7.1,6.0,1,1.0,,,1.0,6.0,,1.0,2.0,,,,,3.0,,2.0,JoaoMario,,2.0,,,,3.0,,1.0,,,,,
10438069,home,Benfica,Rafa Silva,,,rafa-silva,R. Silva,M,27,170,16782,M,252577,EUR,737596800,M,27,27,False,33.0,28.0,1.0,,6.0,6.0,22.0,28.0,,3.0,4.0,1.0,,,68.0,43.0,7.3,8.0,3,,1.0,,1.0,4.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,Rafa_Silva,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,
10438069,home,Benfica,Fredrik Aursnes,,,fredrik-aursnes,F. Aursnes,M,8,179,3950,M,228364,EUR,818553600,M,8,8,False,47.0,41.0,2.0,2.0,13.0,13.0,28.0,34.0,,1.0,2.0,,,,90.0,53.0,6.5,8.0,1,,,,1.0,7.0,2.0,1.0,,,,,,1.0,1.0,,,,3.0,,1.0,,1.0,,,,,,,
