match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_bigChanceCreated,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_keyPass,stat_totalShots,stat_goalsPrevented,player_firstName,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_totalClearance,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_totalOffside,stat_challengeLost,stat_outfielderBlock,stat_interceptionWon,stat_unsuccessfulTouch,player_lastName,player_sofascoreId,stat_onTargetScoringAttempt,stat_bigChanceMissed,stat_shotOffTarget,stat_blockedScoringAttempt,captain,stat_goalAssist,stat_goals
11369299,home,Girona FC,Paulo Gazzaniga,paulo-gazzaniga,P. Gazzaniga,G,13,196,1913,M,164343,EUR,694310400,G,13,13,False,38.0,30.0,17.0,9.0,22.0,23.0,8.0,15.0,1.0,1.0,1.0,12.0,2.0,3.0,5.0,90.0,49.0,8.5,8.0,0.0,0.0,0.00140872,1.0,0,1.6154,,,,,,,,,,,,,,,,,,,,,,,,,,,
11369299,home,Girona FC,Arnau Martínez,arnau-martinez,A. Martínez,D,4,181,1573,M,1084081,EUR,1051228800,D,4,4,False,28.0,22.0,,,13.0,15.0,10.0,14.0,,3.0,,3.0,,,,61.0,49.0,7.0,9.0,0.0,0.0,0.172066,1.0,0,,Arnau Martinez,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
11369299,home,Girona FC,David López,david-lopez,D. López,D,5,185,551,M,135116,EUR,623894400,D,5,5,False,52.0,51.0,,,42.0,43.0,9.0,9.0,,3.0,,10.0,,,,90.0,65.0,7.4,3.0,0.0,0.0,0.00455978,1.0,0,,,,,1.0,5.0,,1.0,1.0,3.0,2.0,2.0,,2.0,,2.0,2.0,1.0,2.0,,,,,,,,,
11369299,home,Girona FC,Daley Blind,daley-blind,D. Blind,D,17,180,2785,M,44864,EUR,636940800,D,17,17,False,49.0,45.0,3.0,2.0,37.0,38.0,8.0,11.0,2.0,5.0,,3.0,,,,90.0,58.0,7.2,5.0,0.0,0.0,0.0043489,,0,,,,,,2.0,,,,3.0,3.0,2.0,,,,2.0,1.0,,1.0,,,,,,,,,
11369299,home,Girona FC,Miguel Gutiérrez,miguel-gutierrez,M. Gutiérrez,D,3,180,4281,M,908716,EUR,996192000,D,3,3,False,31.0,24.0,2.0,,15.0,17.0,10.0,16.0,1.0,5.0,,4.0,,,,90.0,51.0,7.1,13.0,0.0205,0.0849,0.0419312,1.0,1,,,2.0,1.0,1.0,5.0,,7.0,3.0,1.0,1.0,1.0,,,,,,2.0,,,MGutiérrez,1.0,,,,,,
11369299,home,Girona FC,Aleix García,aleix-garcia,A. García,M,24,173,4524,M,796047,EUR,867456000,M,14,14,False,60.0,49.0,11.0,8.0,31.0,37.0,18.0,25.0,1.0,5.0,,6.0,,,,90.0,77.0,7.5,14.0,0.0,0.0,0.0198117,,0,,,2.0,,,1.0,,,,1.0,2.0,,2.0,1.0,,,1.0,4.0,1.0,,AlexGarcia97,,,,,,,
11369299,home,Girona FC,Viktor Tsygankov,viktor-tsygankov,V. Tsygankov,M,15,178,5432,M,319735,EUR,879552000,M,8,8,False,19.0,16.0,,,5.0,6.0,11.0,18.0,2.0,5.0,,1.0,,,,74.0,38.0,6.8,14.0,0.2521,0.2351,0.0955231,1.0,2,,,5.0,,,3.0,,4.0,2.0,1.0,,,2.0,1.0,1.0,,,,2.0,,viktortsygankov,1.0,1.0,1.0,,,,
11369299,home,Girona FC,Yangel Herrera,yangel-herrera,Y. Herrera,M,12,184,4247,M,839585,EUR,884131200,M,21,21,False,21.0,21.0,,,7.0,7.0,14.0,14.0,,2.0,,2.0,,,,61.0,30.0,6.7,2.0,0.1184,0.0,0.02517,,2,,,,,1.0,4.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,YangelHerrera8,,,1.0,1.0,,,
11369299,home,Girona FC,Iván Martín,ivan-martin,I. Martín,M,23,178,895,M,973699,EUR,918950400,M,23,23,False,41.0,36.0,2.0,1.0,13.0,15.0,23.0,27.0,,6.0,,7.0,,,,90.0,55.0,7.3,10.0,0.0706,0.0304,0.0568225,1.0,1,,,1.0,,3.0,7.0,,2.0,2.0,,4.0,2.0,,3.0,,1.0,,,3.0,,,1.0,,,,,,
11369299,home,Girona FC,Savinho,savio,Savinho,M,26,176,52457,M,1046795,EUR,1081555200,M,16,16,False,17.0,16.0,1.0,,4.0,4.0,12.0,16.0,,7.0,,4.0,,,,72.0,35.0,7.1,9.0,0.1343,0.0685,0.0923378,1.0,1,,,3.0,,1.0,6.0,,9.0,6.0,,1.0,1.0,,2.0,,,,,1.0,,Savinho,1.0,,,,,,
