match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalBallCarriesDistance,stat_ballCarriesCount,stat_totalProgression,stat_bestBallCarryProgression,stat_keeperSaveValue,stat_totalShots,stat_goalsPrevented,stat_passValueNormalized,stat_dribbleValueNormalized,stat_defensiveValueNormalized,stat_goalkeeperValueNormalized,captain,stat_totalCross,stat_aerialLost,stat_duelLost,stat_dispossessed,stat_totalContest,stat_wonContest,stat_clearanceOffLine,stat_outfielderBlock,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_challengeLost,stat_blockedScoringAttempt,stat_fouls,stat_expectedGoals,stat_shotValueNormalized,stat_accurateCross,stat_keyPass,player_firstName,player_lastName,stat_aerialWon,stat_errorLeadToAGoal,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_shotOffTarget,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_bigChanceCreated,stat_bigChanceMissed,stat_goals
14573084,home,FC Drita,Faton Maloku,faton-maloku,F. Maloku,G,1,188,75,M,921157,EUR,676598400,G,1,1,False,34.0,20.0,21.0,7.0,0.0,18.0,23.0,2.0,11.0,1.0,1.0,8.0,1.0,4.0,5.0,90.0,44.0,6.8,15.0,0.00079003,5.5393574537125,1.0,4.935,4.935,0.5437,0,-0.0856,-0.01,0.0,-0.24,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14573084,home,FC Drita,Besnik Krasniqi,besnik-krasniqi,B. Krasniqi,D,2,181,35,M,1030954,EUR,633830400,D,2,2,False,22.0,15.0,6.0,2.0,0.0,12.0,15.0,3.0,7.0,5.0,6.0,3.0,3.0,,,90.0,55.0,7.1,12.0,0.0046683,45.87914502142,8.0,-26.355,6.405,,0,,0.01,0.04,-0.1,,True,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14573084,home,FC Drita,Egzon Bejtulai,egzon-bejtulai,E. Bejtulai,D,15,182,36,M,167541,EUR,757900800,D,15,15,False,43.0,29.0,18.0,5.0,0.0,23.0,29.0,6.0,14.0,1.0,5.0,1.0,,,,90.0,54.0,5.9,16.0,0.00331387,34.928519103266,5.0,-9.24,3.15,,0,,0.01,-0.02,-0.4,,,1.0,,1.0,,,,,2.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
14573084,home,FC Drita,Jorgo Pëllumbi,pellumbi-jorgo,P. Jorgo,D,32,186,54,M,2125619,EUR,963619200,D,32,32,False,26.0,24.0,3.0,1.0,0.0,22.0,22.0,2.0,4.0,1.0,2.0,1.0,,,,90.0,31.0,5.9,2.0,0.00072257,32.173537120592,3.0,25.515,19.425,,1,,0.03,0.15,-0.43,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,0.011,-0.13,,,,,,,,,,,,,,
14573084,home,FC Drita,Raddy Ovouka,raddy-ovouka,R. Ovouka,D,26,183,93,M,1111213,EUR,944524800,D,26,26,False,15.0,6.0,6.0,,0.0,3.0,5.0,3.0,10.0,3.0,,4.0,,,,81.0,32.0,5.6,18.0,0.0203911,50.156895847744,5.0,39.375,22.155,,0,,0.07,0.04,-0.44,,,2.0,,8.0,5.0,1.0,,,,,3.0,2.0,1.0,2.0,,1.0,,,1.0,2.0,,,,,,,,,,,,
14573084,home,FC Drita,Almir Ajzeraj,almir-ajzeraj,A. Ajzeraj,M,7,173,32,M,942921,EUR,876009600,M,7,7,False,13.0,10.0,,,0.0,6.0,7.0,4.0,6.0,4.0,,3.0,3.0,,,62.0,27.0,6.6,9.0,0.0169957,44.12985405403,5.0,8.925,11.97,,0,,-0.05,-0.3,-0.09,,,3.0,,2.0,,2.0,,,,,1.0,1.0,2.0,,,,,,1.0,1.0,,,,,,,,,,,,
14573084,home,FC Drita,Albert Dabiqaj,albert-dabiqaj,A. Dabiqaj,M,14,182,37,M,986321,EUR,836956800,M,14,14,False,22.0,16.0,2.0,1.0,0.0,10.0,13.0,6.0,9.0,5.0,3.0,4.0,,,,90.0,31.0,6.6,6.0,0.00858698,65.540165020995,7.0,3.15,14.385,,0,,0.02,0.08,-0.08,,,,3.0,4.0,,,,,1.0,,3.0,2.0,,1.0,,,,,,1.0,,,2.0,,,,,,,,,
14573084,home,FC Drita,Vesel Limaj,vesel-limaj,V. Limaj,M,8,183,22,M,801023,EUR,849398400,M,8,8,False,15.0,12.0,2.0,,0.0,7.0,7.0,5.0,8.0,1.0,2.0,2.0,,,,62.0,24.0,5.6,5.0,0.0110712,48.623887124799,2.0,-15.855,-5.145,,1,,0.1,0.01,-0.5,,,,,6.0,2.0,,,,,,1.0,,,1.0,1.0,4.0,0.0511,0.02,,,,,,1.0,,,,,,,,
14573084,home,FC Drita,Kristal Abazaj,abazaj-kristal,K. Abazaj,F,77,183,59,M,900127,EUR,836611200,M,77,77,False,5.0,3.0,1.0,,0.0,2.0,2.0,1.0,3.0,1.0,,1.0,,,,45.0,11.0,6.2,3.0,0.00064874,16.821253811126,2.0,14.49,13.44,,1,,0.02,0.04,-0.07,,,,2.0,4.0,1.0,,,,,,1.0,,,1.0,,,0.0163,-0.13,,,,,,,1.0,0.1267,,,,,,
14573084,home,FC Drita,Blerton Sheji,blerton-sheji,B. Sheji,D,3,180,15,M,1065117,EUR,972086400,M,3,3,False,23.0,13.0,10.0,2.0,0.0,6.0,8.0,7.0,15.0,10.0,2.0,5.0,2.0,,,90.0,48.0,6.8,14.0,0.0341692,39.630542623097,6.0,17.115,6.51,,0,,0.17,0.06,-0.13,,,1.0,2.0,7.0,2.0,2.0,1.0,,,2.0,5.0,3.0,,1.0,,1.0,,,1.0,1.0,,,2.0,,,,,,,,,
