match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_penaltyFaced,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_keyPass,stat_totalShots,player_firstName,player_lastName,stat_goalAssist,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_fouls,stat_outfielderBlock,stat_wasFouled,stat_totalContest,stat_wonContest,stat_totalTackle,stat_wonTackle,stat_penaltyConceded,stat_totalCross,stat_accurateCross,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_unsuccessfulTouch,captain,stat_dispossessed,player_sofascoreId,stat_shotOffTarget,stat_goals,stat_totalOffside,stat_goodHighClaim,stat_punches
10407224,home,Cercle Brugge,Radosław Majecki,radoslaw-majecki,R. Majecki,G,1,191,1537,M,849114,EUR,942710400,G,1,1,False,25.0,9.0,22.0,6.0,3.0,4.0,6.0,21.0,12.0,1.0,1.0,1.0,90.0,30.0,6.5,16.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10407224,home,Cercle Brugge,Boris Popović,boris-popovic,B. Popović,D,5,189,111,M,902050,EUR,951523200,D,5,5,False,39.0,20.0,13.0,3.0,7.0,12.0,13.0,27.0,4.0,,,,90.0,43.0,6.6,19.0,1.0,0,,,1.0,3.0,8.0,5.0,8.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
10407224,home,Cercle Brugge,Christiaan Ravych,ravych-christiaan,C. Ravych,D,66,187,206,M,1191212,EUR,1027987200,D,66,66,False,18.0,11.0,3.0,1.0,8.0,13.0,3.0,5.0,5.0,,,,82.0,31.0,7.0,7.0,,0,,,,1.0,2.0,1.0,3.0,,3.0,5.0,,1.0,1.0,,,,,,,,,,,,,,,,,,
10407224,home,Cercle Brugge,Jesper Daland,jesper-daland,J. Daland,D,2,188,224,M,958915,EUR,947116800,D,4,4,False,44.0,29.0,11.0,5.0,14.0,20.0,15.0,24.0,12.0,,,,90.0,57.0,6.4,16.0,,0,,,,1.0,5.0,3.0,8.0,1.0,5.0,,2.0,,,3.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
10407224,home,Cercle Brugge,Hugo Siquet,hugo-siquet,H. Siquet,D,41,180,607,M,983041,EUR,1026172800,M,41,41,False,33.0,18.0,6.0,2.0,4.0,8.0,16.0,34.0,10.0,,,,90.0,58.0,7.4,23.0,2.0,2,,,,1.0,2.0,5.0,8.0,,1.0,2.0,4.0,,2.0,1.0,1.0,3.0,3.0,,9.0,2.0,1.0,1.0,1.0,,,,,,,,
10407224,home,Cercle Brugge,Abu Francis,francis-abu,A. Francis,M,17,182,1501,M,988801,EUR,988329600,M,17,17,False,44.0,29.0,5.0,,8.0,12.0,21.0,32.0,14.0,,,,82.0,61.0,6.7,17.0,1.0,2,,,,1.0,,7.0,8.0,3.0,,1.0,3.0,,3.0,,,5.0,1.0,,,,,2.0,1.0,,,,,,,,
10407224,home,Cercle Brugge,Charles Vanhoutte,charles-vanhoutte,C. Vanhoutte,M,24,182,634,M,928033,EUR,905904000,M,14,14,False,37.0,23.0,3.0,1.0,5.0,8.0,18.0,29.0,11.0,,,,87.0,63.0,6.6,21.0,1.0,0,,,,1.0,2.0,11.0,9.0,5.0,,1.0,2.0,2.0,1.0,1.0,,6.0,4.0,,,,,,4.0,True,2.0,,,,,,
10407224,home,Cercle Brugge,Olivier Deman,deman-olivier,O. Deman,D,2,181,445,M,960114,EUR,954979200,M,23,23,False,22.0,14.0,5.0,2.0,4.0,6.0,11.0,21.0,7.0,,,,90.0,66.0,7.0,27.0,2.0,0,,,,1.0,3.0,10.0,11.0,4.0,2.0,3.0,1.0,,2.0,4.0,2.0,4.0,2.0,,5.0,1.0,,,4.0,,2.0,,,,,,
10407224,home,Cercle Brugge,Thibo Somers,somers-thibo,T. Somers,F,24,183,225,M,1002804,EUR,921542400,F,34,34,False,16.0,5.0,1.0,,,2.0,6.0,16.0,3.0,,,,75.0,30.0,6.6,15.0,,0,,,,8.0,3.0,12.0,7.0,3.0,,,,,1.0,1.0,1.0,2.0,1.0,,2.0,1.0,,,2.0,,1.0,,,,,,
10407224,home,Cercle Brugge,Ayase Ueda,ueda-ayase,A. Ueda,F,9,182,7469,M,985823,EUR,904262400,F,36,36,False,14.0,7.0,1.0,1.0,2.0,3.0,5.0,11.0,3.0,,,,90.0,35.0,7.3,14.0,1.0,4,,,,4.0,1.0,12.0,4.0,2.0,1.0,,2.0,,1.0,2.0,1.0,1.0,,,,,1.0,1.0,3.0,,3.0,bee18,2.0,1.0,1.0,,
