match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_aerialLost,stat_duelLost,stat_duelWon,stat_dispossessed,stat_totalContest,stat_totalClearance,stat_outfielderBlock,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,player_firstName,player_lastName,captain,stat_aerialWon,stat_shotOffTarget,stat_interceptionWon,stat_challengeLost,stat_wonContest,player_sofascoreId,stat_unsuccessfulTouch,stat_keyPass,stat_totalCross,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_hitWoodwork,stat_goals,stat_totalOffside,stat_accurateCross,stat_goodHighClaim,stat_penaltyFaced,stat_punches,stat_bigChanceMissed,stat_goalAssist,stat_bigChanceCreated,stat_penaltyConceded
10389956,home,Nice,Kasper Schmeichel,kasper-schmeichel,K. Schmeichel,G,1,189,3913,M,1076,EUR,531532800,G,1,1,False,29.0,25.0,11.0,8.0,22.0,25.0,3.0,4.0,2.0,1.0,3.0,1.0,1.0,90.0,32.0,6.9,4.0,0.0,0.0,0.00534256,0,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10389956,home,Nice,Jean-Clair Todibo,jean-clair-todibo,J-C. Todibo,D,25,189,2607,M,945217,EUR,946512000,D,25,25,False,77.0,69.0,11.0,5.0,48.0,52.0,21.0,25.0,6.0,,,,,90.0,91.0,6.9,10.0,0.0,0.0,0.0125082,0,,1.0,4.0,4.0,1.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
10389956,home,Nice,Dante,dante,Dante,D,4,188,1257,M,3577,EUR,435283200,D,4,4,False,82.0,77.0,10.0,8.0,59.0,60.0,18.0,22.0,6.0,,,,,90.0,92.0,7.2,7.0,0.0405,0.0,0.0100787,1,,,1.0,4.0,,1.0,3.0,1.0,1.0,1.0,,,,,True,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
10389956,home,Nice,Mattia Viti,mattia-viti,M. Viti,D,2,190,528,M,1009268,EUR,1011830400,D,42,42,False,40.0,32.0,3.0,,24.0,28.0,8.0,12.0,2.0,,,,,62.0,47.0,6.0,10.0,0.0,0.0,0.00946916,0,,3.0,7.0,,1.0,1.0,3.0,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
10389956,home,Nice,Jordan Lotomba,jordan-lotomba,J. Lotomba,D,30,177,509,M,796279,EUR,907027200,M,23,23,False,23.0,18.0,,,10.0,12.0,8.0,11.0,1.0,,,,,45.0,34.0,6.9,6.0,0.0,0.0,0.00563016,0,,,,2.0,,1.0,,,1.0,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,
10389956,home,Nice,Khéphren Thuram,khephren-thuram,K. Thuram,M,19,191,11655,M,904832,EUR,985564800,M,19,19,False,40.0,36.0,2.0,1.0,18.0,19.0,18.0,21.0,2.0,,,,,62.0,48.0,6.8,7.0,0.0,0.0,0.112311,0,,1.0,3.0,1.0,1.0,,,,1.0,1.0,,1.0,,,,,,,,,k_thuram,2.0,3.0,,,,,,,,,,,,,,
10389956,home,Nice,Mario Lemina,mario-lemina,M. Lemina,M,99,184,8756,M,307284,EUR,746841600,M,99,99,False,76.0,68.0,11.0,5.0,39.0,40.0,29.0,37.0,9.0,,,,,90.0,84.0,6.7,11.0,0.0,0.0,0.0172723,0,,1.0,4.0,2.0,1.0,1.0,1.0,,2.0,2.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,
10389956,home,Nice,Joe Bryan,joe-bryan,J. Bryan,D,23,170,92,M,205028,EUR,748224000,M,15,15,False,39.0,32.0,,,15.0,16.0,17.0,25.0,8.0,,,,,70.0,55.0,6.6,12.0,0.0253,0.0,0.0334836,1,,2.0,4.0,2.0,,,,,2.0,1.0,,2.0,,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,,,,
10389956,home,Nice,Nicolas Pépé,nicolas-pepe,N. Pépé,F,19,183,12582,M,593526,EUR,801705600,F,29,29,False,36.0,30.0,2.0,1.0,9.0,10.0,21.0,28.0,5.0,,,,,90.0,67.0,7.0,22.0,0.9156,0.9919,0.0298624,3,,,13.0,8.0,7.0,8.0,,,3.0,1.0,1.0,1.0,,,,1.0,2.0,,,3.0,nicolas_pepe19,2.0,,2.0,,1.0,1.0,1.0,,,,,,,,,
10389956,home,Nice,Gaëtan Laborde,gaetan-laborde,G. Laborde,F,9,181,848,M,149730,EUR,767923200,F,24,24,False,23.0,18.0,2.0,,8.0,8.0,10.0,17.0,2.0,,,,,90.0,37.0,7.1,11.0,0.151,0.1117,0.0301549,2,,,2.0,6.0,2.0,2.0,,,1.0,1.0,1.0,,,,,2.0,,,,2.0,,2.0,1.0,2.0,,2.0,,,2.0,,,,,,,,
10389956,home,Nice,Ross Barkley,ross-barkley,R. Barkley,M,6,188,2411,M,98435,EUR,755049600,F,11,11,False,28.0,20.0,2.0,1.0,11.0,14.0,10.0,18.0,4.0,,,,,62.0,42.0,6.9,16.0,0.1794,0.165,0.0682682,3,,2.0,8.0,1.0,4.0,,,,1.0,,,,,,,,,,2.0,,,1.0,1.0,4.0,1.0,2.0,,,,1.0,,,,,,,
