match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_goodHighClaim,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_duelWon,stat_totalContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_errorLeadToAShot,stat_unsuccessfulTouch,stat_wasFouled,stat_keyPass,player_firstName,player_lastName,stat_challengeLost,stat_shotOffTarget,stat_expectedGoals,stat_aerialWon,stat_outfielderBlock,stat_wonContest,stat_dispossessed,stat_fouls,stat_blockedScoringAttempt,stat_onTargetScoringAttempt,stat_goals,stat_expectedGoalsOnTarget,player_sofascoreId,stat_totalOffside
12514063,home,SC Farense,Ricardo Velho,ricardo-velho,R. Velho,G,24,188,499,M,845792,EUR,903571200,G,33,33,False,True,31.0,17.0,22.0,8.0,0.0,13.0,17.0,4.0,14.0,1.0,10.0,3.0,2.0,5.0,1.0,1.0,1.0,90.0,48.0,7.3,14.0,0.00623018,0,-0.2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514063,home,SC Farense,Pastor,pastor,Pastor,D,2,176,138,M,1046354,EUR,951004800,D,28,28,False,,28.0,22.0,2.0,,1.0,14.0,18.0,9.0,15.0,3.0,8.0,,,,,,,90.0,54.0,6.9,12.0,0.14527,0,,5.0,1.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
12514063,home,SC Farense,Marco Moreno,marco-moreno,M. Moreno,D,21,190,81,M,997094,EUR,982627200,D,3,3,False,,30.0,26.0,6.0,5.0,0.0,20.0,23.0,6.0,7.0,3.0,1.0,,,,,,,90.0,39.0,6.4,6.0,0.190207,1,,,,2.0,3.0,1.0,,,,,,,2.0,1.0,,,,1.0,1.0,0.2164,,,,,,,,,,,
12514063,home,SC Farense,Artur Jorge,artur-jorge,A. Jorge,D,44,186,53,M,310800,EUR,776822400,D,4,4,False,,8.0,6.0,2.0,,0.0,4.0,4.0,2.0,4.0,8.0,,,,,,,,75.0,17.0,6.5,2.0,0.00033906,0,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
12514063,home,SC Farense,Lucas Áfrico,lucas-africo,L. Áfrico,D,40,188,120,M,939792,EUR,791942400,D,44,44,False,,30.0,22.0,4.0,1.0,0.0,21.0,24.0,1.0,6.0,7.0,5.0,,,,,,,90.0,48.0,6.5,8.0,0.00095582,0,,,,3.0,5.0,2.0,,,1.0,2.0,1.0,,,,,,,2.0,,,,1.0,,,,,,,,,
12514063,home,SC Farense,Paulo Victor,paulo-victor,P. Victor,D,64,180,200,M,1108505,EUR,987120000,D,2,2,False,,23.0,12.0,3.0,,0.0,10.0,15.0,3.0,9.0,2.0,5.0,,,,,,,90.0,46.0,6.4,14.0,0.0217037,0,,1.0,1.0,2.0,5.0,6.0,5.0,,,2.0,1.0,,1.0,1.0,1.0,Paulo Victor,,1.0,,,,,3.0,,,,,,,,
12514063,home,SC Farense,Miguel Menino,menino-miguel,M. Menino,M,8,181,78,M,1163100,EUR,1042156800,M,93,93,False,,13.0,10.0,2.0,1.0,0.0,5.0,5.0,6.0,9.0,1.0,2.0,,,,,,,63.0,29.0,6.5,9.0,0.0123365,1,,1.0,1.0,,5.0,4.0,2.0,,,2.0,1.0,,2.0,,1.0,,,2.0,1.0,0.0857,1.0,,1.0,2.0,,,,,,,
12514063,home,SC Farense,Claudio Falcão,claudio-falcao,C. Falcão,D,29,187,132,M,845699,EUR,773193600,M,29,29,False,,17.0,12.0,3.0,3.0,0.0,6.0,10.0,6.0,8.0,1.0,5.0,,,,,,,63.0,24.0,6.7,6.0,0.00482945,1,,1.0,,,2.0,2.0,,,2.0,2.0,1.0,1.0,,,1.0,,,,1.0,0.0094,,,,,2.0,,,,,,
12514063,home,SC Farense,Neto,neto,Neto,M,8,181,91,M,843358,EUR,683769600,M,6,6,False,,37.0,33.0,6.0,3.0,0.0,14.0,15.0,19.0,22.0,3.0,6.0,,,,,,,90.0,51.0,6.5,6.0,0.0177151,2,,,,,6.0,2.0,1.0,,1.0,,,,1.0,,,,,1.0,,0.0931,2.0,2.0,,,5.0,2.0,,,,,
12514063,home,SC Farense,Elves Baldé,elves-balde,E. Baldé,F,21,168,195,M,846040,EUR,938822400,M,7,7,False,,10.0,8.0,,,0.0,4.0,5.0,4.0,8.0,1.0,3.0,,,,,,,63.0,22.0,6.4,8.0,0.0113417,0,,3.0,,1.0,5.0,4.0,3.0,,,,,,,1.0,,,,,,,1.0,,2.0,2.0,1.0,,,,,,
