match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_totalOppositionHalfPasses,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedGoals,stat_expectedGoalsOnTarget,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_sofascoreId,captain,stat_accurateOppositionHalfPasses,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_aerialWon,stat_duelLost,stat_duelWon,stat_challengeLost,stat_totalContest,stat_wonContest,stat_shotOffTarget,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_keyPass,player_firstName,player_lastName,stat_outfielderBlock,stat_fouls,stat_dispossessed,stat_bigChanceMissed,stat_onTargetScoringAttempt,stat_wasFouled,stat_bigChanceCreated,stat_blockedScoringAttempt,stat_goals,stat_goalAssist,stat_hitWoodwork,stat_penaltyWon,stat_penaltyFaced,stat_errorLeadToAGoal,stat_penaltyConceded
11407394,home,Napoli,Alex Meret,alex-meret,A. Meret,G,1,190.0,4366,M,592794,EUR,858988800,G,1,1,False,28.0,27.0,5.0,4.0,27.0,27.0,1.0,1.0,5.0,1.0,2.0,90.0,33.0,6.8,1.0,0.0,0.0,7.906e-05,0,0.0286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11407394,home,Napoli,Giovanni Di Lorenzo,giovanni-di-lorenzo,G. Di Lorenzo,D,22,182.0,6986,M,153257,EUR,744422400,D,22,22,False,68.0,63.0,2.0,2.0,41.0,43.0,29.0,1.0,9.0,,,90.0,95.0,7.4,12.0,0.0214,0.0,0.0891742,1,,dilorenzo22,True,23.0,4.0,1.0,1.0,1.0,4.0,6.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,
11407394,home,Napoli,Leo Østigård,leo-ostigard,L. Østigård,D,5,182.0,1809,M,879746,EUR,943747200,D,55,55,False,52.0,47.0,4.0,1.0,37.0,40.0,12.0,4.0,7.0,,,90.0,64.0,6.8,7.0,0.0,0.0,0.00157979,0,,,,10.0,,,2.0,1.0,4.0,4.0,1.0,,,,1.0,3.0,,1.0,,,,2.0,1.0,,,,,,,,,,,,,
11407394,home,Napoli,Natan,natan,Natan,D,4,188.0,3251,M,1015287,EUR,981417600,D,3,3,False,65.0,59.0,10.0,5.0,50.0,53.0,12.0,4.0,4.0,,,90.0,76.0,6.9,8.0,0.0,0.0,0.00214911,0,,,,9.0,,,1.0,,2.0,2.0,1.0,,,,1.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,
11407394,home,Napoli,Mário Rui,mario-rui,M. Rui,D,,168.0,1034,M,99546,EUR,675302400,D,6,6,False,63.0,55.0,10.0,7.0,35.0,39.0,27.0,1.0,3.0,,,90.0,92.0,7.2,13.0,0.0827,0.1556,0.0203285,1,,,,20.0,3.0,,2.0,1.0,6.0,8.0,,,,,3.0,5.0,2.0,1.0,2.0,,,,3.0,1.0,1.0,1.0,2.0,,,,,,,,,
11407394,home,Napoli,Frank Anguissa,frank-anguissa,F. Anguissa,M,99,184.0,12968,M,787941,EUR,816480000,M,99,99,False,60.0,57.0,2.0,2.0,23.0,24.0,36.0,,4.0,,,83.0,70.0,6.9,6.0,0.0223,0.0,0.0324897,1,,anguiss_29,,34.0,,,,1.0,6.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,
11407394,home,Napoli,Stanislav Lobotka,stanislav-lobotka,S. Lobotka,M,68,170.0,4661,M,150383,EUR,785721600,M,68,68,False,74.0,72.0,4.0,3.0,39.0,40.0,34.0,,11.0,,,90.0,85.0,7.0,4.0,0.0,0.0,0.108173,0,,StanLobotka,,33.0,,,,,5.0,3.0,4.0,1.0,,,1.0,2.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,
11407394,home,Napoli,Piotr Zieliński,piotr-zielinski,P. Zieliński,M,7,180.0,18478,M,138605,EUR,769392000,M,20,20,False,48.0,40.0,3.0,,15.0,16.0,35.0,2.0,2.0,,,71.0,62.0,8.3,11.0,0.8879,0.9948,0.163191,3,,zielu_94,,26.0,3.0,1.0,,1.0,2.0,6.0,1.0,3.0,2.0,1.0,,3.0,3.0,,3.0,,,,,,,1.0,,1.0,1.0,1.0,,,,,,
11407394,home,Napoli,Matteo Politano,matteo-politano,M. Politano,F,21,171.0,4493,M,235672,EUR,744336000,F,21,21,False,34.0,27.0,5.0,3.0,8.0,12.0,24.0,,1.0,,,63.0,44.0,8.2,9.0,0.0,0.0,0.368008,0,,,,20.0,2.0,1.0,,,2.0,5.0,1.0,3.0,3.0,,1.0,1.0,1.0,1.0,4.0,,,,1.0,,,,1.0,2.0,,,1.0,,,,,
11407394,home,Napoli,Victor Osimhen,victor-osimhen,V. Osimhen,F,45,186.0,227771,M,822471,EUR,914889600,F,9,9,False,9.0,6.0,,,1.0,1.0,9.0,,1.0,,,63.0,18.0,6.9,5.0,0.8295,2.1025,0.00459308,5,,Osimhen9,,5.0,1.0,,1.0,1.0,2.0,2.0,,,,2.0,,,,1.0,,,,,1.0,,2.0,3.0,1.0,,,1.0,,,,,,
