match_id,side,team,player_name,player_slug,player_shortName,player_position,player_height,player_userCount,player_gender,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,captain,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_totalClearance,stat_ballRecovery,stat_savedShotsFromInsideTheBox,stat_saves,stat_punches,stat_totalKeeperSweeper,stat_accurateKeeperSweeper,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_expectedAssists,stat_totalShots,stat_goalsPrevented,player_jerseyNumber,stat_goalAssist,stat_totalCross,stat_accurateCross,stat_duelLost,stat_totalContest,stat_wonContest,stat_bigChanceCreated,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_wasFouled,stat_fouls,stat_keyPass,stat_aerialLost,stat_challengeLost,stat_outfielderBlock,stat_unsuccessfulTouch,player_firstName,player_lastName,stat_dispossessed,stat_shotOffTarget,stat_blockedScoringAttempt,stat_expectedGoals,stat_onTargetScoringAttempt,stat_expectedGoalsOnTarget,stat_bigChanceMissed,stat_goals,stat_goodHighClaim,stat_totalOffside,player_sofascoreId,stat_hitWoodwork
11406854,home,Sassuolo,Andrea Consigli,andrea-consigli,A. Consigli,G,189,262,M,38618,EUR,538704000,G,47,47,False,True,29.0,18.0,17.0,6.0,14.0,15.0,4.0,14.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,90.0,33.0,6.6,11.0,0.00107778,0,-0.1893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11406854,home,Sassuolo,Marcus Pedersen,marcus-pedersen,M. Pedersen,D,178,644,M,934409,EUR,963705600,D,3,3,False,,35.0,28.0,8.0,2.0,12.0,14.0,19.0,29.0,,5.0,1.0,7.0,,,,,,90.0,60.0,7.8,14.0,0.117233,0,,16,1.0,8.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
11406854,home,Sassuolo,Martin Erlić,martin-erlic,M. Erlić,D,192,1953,M,789234,EUR,885600000,D,5,5,False,,41.0,34.0,8.0,5.0,21.0,23.0,13.0,18.0,5.0,6.0,4.0,7.0,,,,,,89.0,52.0,6.9,8.0,0.00883513,0,,6,,,,6.0,,,,,1.0,1.0,1.0,3.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11406854,home,Sassuolo,Mattia Viti,mattia-viti,M. Viti,D,190,528,M,1009268,EUR,1011830400,D,21,21,False,,50.0,42.0,7.0,4.0,29.0,30.0,13.0,20.0,,1.0,3.0,7.0,,,,,,90.0,59.0,6.7,10.0,0.00425414,0,,2,,,,6.0,1.0,,,1.0,1.0,1.0,,2.0,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
11406854,home,Sassuolo,Josh Doig,josh-doig,J. Doig,D,189,836,M,989276,EUR,1021680000,D,43,43,False,,23.0,17.0,4.0,1.0,8.0,9.0,9.0,15.0,2.0,4.0,1.0,2.0,,,,,,89.0,48.0,6.7,13.0,0.0101007,0,,3,,1.0,,5.0,,,,,1.0,1.0,1.0,3.0,1.0,,1.0,2.0,1.0,,,1.0,,,,,,,,,,,
11406854,home,Sassuolo,Matheus Henrique,matheus-henrique,M. Henrique,M,175,2961,M,912786,EUR,882489600,M,7,7,False,,40.0,31.0,5.0,3.0,7.0,8.0,24.0,32.0,,5.0,,6.0,,,,,,90.0,51.0,7.2,10.0,0.0467797,2,,8,,,,3.0,,,,2.0,3.0,2.0,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,0.0379,,,,,,,,
11406854,home,Sassuolo,Luca Lipani,luca-lipani,L. Lipani,M,185,442,M,1154898,EUR,1116374400,M,35,35,False,,29.0,22.0,5.0,4.0,11.0,12.0,11.0,18.0,,1.0,1.0,5.0,,,,,,72.0,35.0,7.0,8.0,0.00734849,0,,35,,1.0,,2.0,,,,3.0,1.0,1.0,,,1.0,2.0,,,,Luca Lipani,,,,,,,,,,,,,
11406854,home,Sassuolo,Nedim Bajrami,nedim-bajrami,N. Bajrami,M,179,1671,M,825861,EUR,920160000,M,11,11,False,,20.0,15.0,1.0,1.0,,2.0,17.0,21.0,,3.0,,2.0,,,,,,73.0,35.0,7.1,12.0,0.0620081,1,,14,,3.0,2.0,3.0,2.0,2.0,,,1.0,,,1.0,3.0,,1.0,,3.0,,,1.0,,,0.031,1.0,0.4146,,,,,,
11406854,home,Sassuolo,Kristian Thorstvedt,kristian-thorstvedt,K. Thorstvedt,M,187,1387,M,924973,EUR,921283200,M,42,42,False,,31.0,22.0,3.0,2.0,8.0,11.0,14.0,22.0,2.0,4.0,2.0,1.0,,,,,,90.0,42.0,6.9,12.0,0.0136324,1,,42,,2.0,,3.0,,,,,,,3.0,,1.0,2.0,1.0,,1.0,,,,1.0,,0.0499,,,,,,,,
11406854,home,Sassuolo,Armand Laurienté,armand-lauriente,A. Laurienté,M,177,2531,M,932643,EUR,912729600,M,45,45,False,,26.0,20.0,1.0,,6.0,7.0,14.0,23.0,1.0,2.0,,1.0,,,,,,90.0,48.0,6.4,22.0,0.450742,3,,45,,4.0,,12.0,2.0,1.0,,,,,,2.0,1.0,1.0,2.0,,4.0,,,6.0,1.0,,0.0675,2.0,0.3315,,,,,,
