match_id,side,team,player_name,player_slug,player_shortName,player_position,player_jerseyNumber,player_height,player_userCount,player_id,player_marketValueCurrency,player_dateOfBirthTimestamp,position,shirtNumber,jerseyNumber,substitute,stat_totalPass,stat_accuratePass,stat_totalLongBalls,stat_accurateLongBalls,stat_goalAssist,stat_accurateOwnHalfPasses,stat_totalOwnHalfPasses,stat_accurateOppositionHalfPasses,stat_totalOppositionHalfPasses,stat_aerialWon,stat_duelWon,stat_ballRecovery,stat_wasFouled,stat_savedShotsFromInsideTheBox,stat_saves,stat_minutesPlayed,stat_touches,stat_rating,stat_possessionLostCtrl,stat_totalShots,player_firstName,player_gender,stat_totalCross,stat_accurateCross,stat_aerialLost,stat_duelLost,stat_challengeLost,stat_totalClearance,stat_interceptionWon,stat_totalTackle,stat_wonTackle,stat_unsuccessfulTouch,stat_fouls,stat_keyPass,stat_outfielderBlock,stat_totalContest,stat_wonContest,player_lastName,stat_dispossessed,stat_onTargetScoringAttempt,stat_blockedScoringAttempt,stat_goals,captain,stat_shotOffTarget,stat_totalOffside,stat_goodHighClaim
13444506,home,Portland Hearts of Pine,Titus Washington,titus-washington,T. Washington,F,14,185.0,10,2052922,EUR,965779200,F,14,14,False,27.0,17.0,5.0,1.0,1.0,5.0,7.0,12.0,20.0,3.0,8.0,6.0,1.0,,,90.0,52.0,7.4,25.0,2,Titus Washington,,3.0,1.0,,5.0,,,,2.0,2.0,8.0,1.0,2.0,,5.0,2.0,,1.0,1.0,,,,1.0,,
13444506,home,Portland Hearts of Pine,Jake Keegan,jake-keegan,J. Keegan,F,,176.0,4,543882,EUR,672192000,F,12,12,True,9.0,8.0,,,0.0,3.0,3.0,5.0,6.0,,1.0,,1.0,,,18.0,13.0,6.6,1.0,1,,M,,,1.0,4.0,,1.0,,,,,3.0,,,,,,,,1.0,,,,,
13444506,home,Portland Hearts of Pine,Evan Southern,evan-southern,E. Southern,F,,178.0,2,2052917,EUR,996624000,F,11,11,True,4.0,3.0,,,0.0,,,3.0,4.0,,,,,,,18.0,8.0,6.6,4.0,0,Evan Southern,,3.0,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,
13444506,home,Portland Hearts of Pine,Samuel Mahlamäki,samuel-mahlamaki,C. S. Mahlamaki,D,,181.0,19,877079,EUR,828489600,D,4,4,True,,,,,0.0,,,,,,,,,,,7.0,4.0,,,0,,M,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
13444506,home,Portland Hearts of Pine,Shandon Wright,shandon-wright,S. Wright,D,19,187.0,13,1484719,EUR,955843200,D,19,19,True,4.0,2.0,1.0,,0.0,1.0,2.0,1.0,2.0,,,,,,,10.0,6.0,6.3,3.0,0,Shandon Wright,M,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
13444506,home,Portland Hearts of Pine,Khalid Hersi,khalid-hersi,K. Hersi,M,90,188.0,6,2052920,EUR,1099267200,F,90,90,True,6.0,6.0,,,0.0,2.0,2.0,4.0,4.0,,,1.0,,,,10.0,7.0,6.4,1.0,0,Khalid Hersi,,,,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,
13444506,home,Portland Hearts of Pine,Kashope Oladapo,kashope-oladapo,K. Oladapo,G,23,185.0,5,1025364,EUR,1020211200,G,23,23,True,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
13444506,home,Portland Hearts of Pine,Michael Reilly,michael-reilly,M. Reilly,M,17,178.0,8,2052921,EUR,1007683200,M,17,17,True,,,,,,,,,,,,,,,,,,,,0,Michael Reilly,,,,,,,,,,,,,,,,,,,,,,,,,
13444506,away,CD Faialense,Lucas Verge,lucas-verge,L. Verge,M,1,,1,2073834,EUR,815529600,G,1,1,False,29.0,17.0,20.0,9.0,0.0,11.0,12.0,6.0,17.0,,1.0,6.0,,,2.0,90.0,36.0,6.0,13.0,0,Lucas Verge,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
13444506,away,CD Faialense,Taj Salawu,taj-salawu,T. Salawu,D,2,,1,1481122,EUR,951350400,D,2,2,False,20.0,11.0,6.0,1.0,0.0,10.0,12.0,1.0,8.0,,1.0,4.0,,,,90.0,44.0,5.9,15.0,0,Taj Salawu,M,,,1.0,2.0,1.0,6.0,,,,1.0,,,,1.0,1.0,,,,,,,,,
